Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
A0A2U1LIM9	reviewed	Artemisia annua (Sweet wormwood)	NADPH--cytochrome P450 reductase 1 (CPR 1) (P450R 1) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
Q0J705	reviewed	Oryza sativa subsp. japonica (Rice)	NADPH--cytochrome P450 reductase 2 (CPR) (OsCPR2) (P450R) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
Q9SB48	reviewed	Arabidopsis thaliana (Mouse-ear cress)	NADPH--cytochrome P450 reductase 1 (AtCPR1) (CPR 1) (P450R 1) (EC 1.6.2.4) (Cytochrome P450 73 A5)	1.6.2.4	RHEA:24040
Q9SUM3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	NADPH--cytochrome P450 reductase 2 (CPR 2) (P450R 2) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
A0A2U1KZS6	reviewed	Artemisia annua (Sweet wormwood)	NADPH--cytochrome P450 reductase 2 (CPR 2) (P450R 2) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
A0A7T9QPQ1	reviewed	Piper nigrum (Black pepper)	NADPH--cytochrome P450 reductase (CPR) (P450R) (PnCPR) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
C5YJG8	reviewed	Sorghum bicolor (Sorghum) (Sorghum vulgare)	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4) (SbCPR)	1.6.2.4	RHEA:24040
Q653S9	reviewed	Oryza sativa subsp. japonica (Rice)	NADPH--cytochrome P450 reductase 3 (CPR) (P450R) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
Q7X7K8	reviewed	Oryza sativa subsp. japonica (Rice)	NADPH--cytochrome P450 reductase 1 (CPR) (OsCPR1) (P450R) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
P37116	reviewed	Vigna radiata var. radiata (Mung bean) (Phaseolus aureus)	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
Q05001	reviewed	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	1.6.2.4	RHEA:24040
