Entry	Rhea ID	Organism	Protein names
A0A0D3LQY6	RHEA:17533 RHEA:33131 RHEA:25152 RHEA:15093 RHEA:13053 RHEA:14097	Atropa belladonna (Belladonna) (Deadly nightshade)	Aromatic amino acid aminotransferase 4 (Ab-ArAT4) (Phenylalanine:4-hydroxyphenylpyruvate aminotransferase) (EC 2.6.1.57) (EC 2.6.1.58) (EC 2.6.1.70)
A0A0I9QGZ2	RHEA:10508	Geobacillus stearothermophilus (Bacillus stearothermophilus)	Transketolase (TK) (EC 2.2.1.1)
D4GTL3	RHEA:13245	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)
F4IW47	RHEA:10508	Arabidopsis thaliana (Mouse-ear cress)	Transketolase-2, chloroplastic (TK) (EC 2.2.1.1)
O14734	RHEA:14541 RHEA:31511 RHEA:20289 RHEA:40111 RHEA:40799 RHEA:40115 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:16645 RHEA:30139 RHEA:40219 RHEA:15673 RHEA:40103 RHEA:11516 RHEA:40575 RHEA:40583 RHEA:40587 RHEA:40591 RHEA:40595 RHEA:40135 RHEA:40131 RHEA:40139 RHEA:40143 RHEA:40147 RHEA:40151 RHEA:40223 RHEA:59952 RHEA:16305 RHEA:59936 RHEA:59940 RHEA:59948	Homo sapiens (Human)	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (HIV-Nef-associated acyl-CoA thioesterase) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)
O20250	RHEA:10508	Spinacia oleracea (Spinach)	Transketolase, chloroplastic (TK) (EC 2.2.1.1)
O43708	RHEA:14817 RHEA:16437	Homo sapiens (Human)	Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18)
O50078	RHEA:13245	Hyphomicrobium methylovorum	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)
O85746	RHEA:15093 RHEA:15093 RHEA:47084 RHEA:17533 RHEA:21824	Klebsiella pneumoniae	Tyrosine aminotransferase (TyrAT) (EC 2.6.1.5) (Aromatic-amino-acid transaminase) (EC 2.6.1.57) (Aspartate aminotransferase) (EC 2.6.1.1)
O87198	RHEA:12929 RHEA:16845	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	Homocitrate synthase (HCS) (EC 2.3.3.14)
P04694	RHEA:15093	Rattus norvegicus (Rat)	Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase)
P0A9B6	RHEA:12056	Escherichia coli (strain K12)	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)
P0A9G6	RHEA:13245	Escherichia coli (strain K12)	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)
P0AES2	RHEA:14573 RHEA:35619	Escherichia coli (strain K12)	Glucarate dehydratase (GDH) (GlucD) (EC 4.2.1.40) (D-glucarate dehydratase)
P17735	RHEA:15093	Homo sapiens (Human)	Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase)
P22976	RHEA:10508	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	Probable transketolase (TK) (EC 2.2.1.1)
P23254	RHEA:10508	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Transketolase 1 (TK 1) (EC 2.2.1.1)
P25526	RHEA:13213 RHEA:57832	Escherichia coli (strain K12)	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79) (Glutarate-semialdehyde dehydrogenase) (EC 1.2.1.-)
P25553	RHEA:14277 RHEA:20001	Escherichia coli (strain K12)	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)
P27302	RHEA:10508	Escherichia coli (strain K12)	Transketolase 1 (TK 1) (EC 2.2.1.1)
P28240	RHEA:13245 RHEA:16809	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Isocitrate lyase (ICL) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase)
P28298	RHEA:13245 RHEA:16809	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	Isocitrate lyase (ICL) (Isocitrase) (Isocitratase) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase)
P29401	RHEA:10508	Homo sapiens (Human)	Transketolase (TK) (EC 2.2.1.1)
P33570	RHEA:10508	Escherichia coli (strain K12)	Transketolase 2 (TK 2) (EC 2.2.1.1)
P33752	RHEA:12961 RHEA:27806	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)	Acetoacetyl-CoA:acetate/butyrate CoA transferase alpha subunit (EC 2.8.3.9) (Butyrate--acetoacetate CoA-transferase subunit A) (Coat A)
P34736	RHEA:10508	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	Transketolase (TK) (EC 2.2.1.1)
P38067	RHEA:13217 RHEA:13213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Succinate-semialdehyde dehydrogenase [NADP(+)] (SSA dehydrogenase) (SSADH) (SSDH) (EC 1.2.1.16)
P40142	RHEA:10508	Mus musculus (Mouse)	Transketolase (TK) (EC 2.2.1.1) (P68)
