Entry	Rhea ID	Organism	Protein names
A0A2U8QPE6	RHEA:13781 RHEA:60996 RHEA:61244 RHEA:61248	Micrurus mipartitus (Red-tailed coral snake)	L-amino acid oxidase (LAO) (MipLAAO1) (EC 1.4.3.2)
A1XWY7	RHEA:64616 RHEA:36151 RHEA:64624 RHEA:64628 RHEA:64620	Petunia hybrida (Petunia)	Coniferyl alcohol acyltransferase (PhCFAT) (EC 2.3.1.-) ((E)-cinnamyl alcohol acyltransferase) (EC 2.3.1.224) ((E)-sinapoyl alcohol acyltransferase) (EC 2.3.1.-) (Geraniol acyltransferase) (EC 2.3.1.-) (Octan-1-ol acyltransferase) (EC 2.3.1.-)
A8QL52	RHEA:13781 RHEA:60996 RHEA:61240 RHEA:61244 RHEA:61236 RHEA:61232 RHEA:51404 RHEA:19025 RHEA:61228 RHEA:61224 RHEA:61248 RHEA:61260 RHEA:61264 RHEA:14437 RHEA:20728	Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	L-amino-acid oxidase (Bf-LAAO) (LAO) (EC 1.4.3.2)
G8XQX1	RHEA:13781 RHEA:60996 RHEA:61240 RHEA:61244 RHEA:61236 RHEA:61248	Daboia russelii (Russel's viper) (Vipera russelii)	L-amino-acid oxidase (DrLAO) (LAAO) (EC 1.4.3.2)
J7H670	RHEA:13781 RHEA:60996 RHEA:61240 RHEA:61244 RHEA:61236 RHEA:61232 RHEA:61248	Lachesis muta (South American bushmaster)	L-amino acid oxidase Lm29 (LmLAAO) (LAO) (EC 1.4.3.2)
O09046	RHEA:13781 RHEA:61244 RHEA:61240 RHEA:61248 RHEA:51404	Mus musculus (Mouse)	L-amino-acid oxidase (LAAO) (LAO) (EC 1.4.3.2) (EC 1.4.3.25) (Interleukin-4-induced protein 1) (IL4-induced protein 1) (mIL4I1) (Protein Fig-1) (mFIG1)
O18956	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64896 RHEA:64900 RHEA:64876	Bos taurus (Bovine)	Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)
O35795	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:64896 RHEA:64900 RHEA:64876	Rattus norvegicus (Rat)	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.5) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)
O55026	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64896 RHEA:64900 RHEA:64876 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156	Mus musculus (Mouse)	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.5) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)
O75355	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:64896 RHEA:64900 RHEA:64876	Homo sapiens (Human)	Ectonucleoside triphosphate diphosphohydrolase 3 (NTPDase 3) (eNTPDase-3) (EC 3.6.1.5) (CD39 antigen-like 3) (Ecto-ATP diphosphohydrolase 3) (Ecto-ATPDase 3) (Ecto-ATPase 3) (Ecto-apyrase 3) (HB6)
P0ADR8	RHEA:13425 RHEA:20129 RHEA:52708 RHEA:30075 RHEA:20469 RHEA:52704 RHEA:52712	Escherichia coli (strain K12)	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase (EC 3.2.2.-) (EC 3.2.2.10) (AMP nucleosidase) (EC 3.2.2.4) (CMP nucleosidase) (GMP nucleosidase) (IMP nucleosidase) (UMP nucleosidase) (dTMP nucleosidase)
P0AGG2	RHEA:16781 RHEA:40119 RHEA:55044 RHEA:30135 RHEA:65172 RHEA:40059 RHEA:30143 RHEA:40115 RHEA:55052 RHEA:40111 RHEA:55064 RHEA:55084 RHEA:55096 RHEA:16645 RHEA:30139 RHEA:40139 RHEA:65204 RHEA:65208 RHEA:65212 RHEA:65216 RHEA:65232	Escherichia coli (strain K12)	Acyl-CoA thioesterase 2 (EC 3.1.2.20) (Thioesterase II) (TEII)
P0AGG3	RHEA:16781 RHEA:40119 RHEA:55044 RHEA:30135 RHEA:65172 RHEA:40059 RHEA:30143 RHEA:40115 RHEA:55052 RHEA:40111 RHEA:55064 RHEA:55084 RHEA:55096 RHEA:16645 RHEA:30139 RHEA:40139 RHEA:65204 RHEA:65208 RHEA:65212 RHEA:65216 RHEA:65232	Escherichia coli O157:H7	Acyl-CoA thioesterase 2 (EC 3.1.2.20) (Thioesterase II) (TEII)
P0CC17	RHEA:13781 RHEA:60996 RHEA:61240 RHEA:61244 RHEA:61236 RHEA:61232 RHEA:61248	Bothrops atrox (Barba amarilla) (Fer-de-lance)	L-amino-acid oxidase (BatroxLAAO) (LAO) (EC 1.4.3.2)
P49961	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64896 RHEA:64900 RHEA:64876	Homo sapiens (Human)	Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)
P55772	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64896 RHEA:64900 RHEA:64876	Mus musculus (Mouse)	Ectonucleoside triphosphate diphosphohydrolase 1 (NTPDase 1) (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)
P79784	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:64896 RHEA:64900 RHEA:64876	Gallus gallus (Chicken)	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.5) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)
P81383	RHEA:13781 RHEA:60996 RHEA:61240 RHEA:61244 RHEA:61236 RHEA:61232 RHEA:51404 RHEA:61228 RHEA:61248 RHEA:61284 RHEA:14437	Ophiophagus hannah (King cobra) (Naja hannah)	L-amino-acid oxidase (LAO) (Oh-LAAO) (EC 1.4.3.2)
P97687	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64896 RHEA:64900 RHEA:64876	Rattus norvegicus (Rat)	Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)
Q15800	RHEA:55220 RHEA:55244 RHEA:47056 RHEA:62768 RHEA:62776 RHEA:62780 RHEA:62820	Homo sapiens (Human)	Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylsterol oxidase) (Sterol-C4-methyl oxidase)
Q3SWX2	RHEA:40111 RHEA:40103 RHEA:16645 RHEA:30143 RHEA:40059 RHEA:40119 RHEA:40223 RHEA:66984 RHEA:40799	Bos taurus (Bovine)	Acyl-coenzyme A thioesterase 9, mitochondrial (Acyl-CoA thioesterase 9) (EC 3.1.2.-) (EC 3.1.2.2) (Acyl-CoA thioester hydrolase 9)
Q3U2V3	RHEA:32063 RHEA:35219 RHEA:35223 RHEA:62356 RHEA:47944 RHEA:48128 RHEA:68008 RHEA:70503 RHEA:70507 RHEA:82355	Mus musculus (Mouse)	8-oxo-dGDP phosphatase NUDT18 (EC 3.6.1.58) (EC 3.6.1.68) (EC 3.6.1.76) (2-hydroxy-dADP phosphatase) (7,8-dihydro-8-oxoguanine phosphatase) (Nucleoside diphosphate-linked moiety X motif 18) (Nudix motif 18)
Q568Q0	RHEA:32063 RHEA:35219 RHEA:35223 RHEA:62356 RHEA:47944 RHEA:48128 RHEA:68008 RHEA:70503 RHEA:70507 RHEA:82355	Danio rerio (Zebrafish) (Brachydanio rerio)	8-oxo-dGDP phosphatase NUDT18 (EC 3.6.1.58) (EC 3.6.1.68) (EC 3.6.1.76) (2-hydroxy-dADP phosphatase) (7,8-dihydro-8-oxoguanine phosphatase) (Nucleoside diphosphate-linked moiety X motif 18) (Nudix motif 18)
