Entry	Rhea ID	Organism	Protein names
A0A0A7GEY4	RHEA:22408 RHEA:19361 RHEA:17653	Geoglobus acetivorans	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)
A0A1U8QLG8	RHEA:22408 RHEA:19361 RHEA:17653	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	Geranylgeranyl pyrophosphate synthase AN1592 (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10) (Pimaradiene biosynthesis cluster protein AN1592)
A0A3L7I2I8	RHEA:15801 RHEA:36231 RHEA:41223 RHEA:38779 RHEA:40811 RHEA:40427 RHEA:40519 RHEA:40431 RHEA:63304 RHEA:15177 RHEA:40435 RHEA:40831 RHEA:40827 RHEA:41067 RHEA:40479 RHEA:16645 RHEA:40463 RHEA:40467 RHEA:52812 RHEA:63256	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (2-lysophosphatidylcholine acylhydrolase) (EC 3.1.1.5) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (PLA2G6) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)
A0A3S5XFG0	RHEA:22408 RHEA:19361 RHEA:17653	Aspergillus versicolor	Geranylgeranyl pyrophosphate synthase cle6 (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (15-deoxyoxalicine B biosynthesis cluster protein C) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Diterpenoid pyrone biosynthesis cluster protein D) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)
A0A6N3IN21	RHEA:19169 RHEA:22108 RHEA:12813	Rattus norvegicus (Rat)	Serine dehydratase-like (Glutamate racemase) (EC 5.1.1.3) (L-serine deaminase) (EC 4.3.1.17) (L-serine dehydratase/L-threonine deaminase) (L-threonine dehydratase) (TDH) (EC 4.3.1.19)
A0A858E6N7	RHEA:22408 RHEA:19361 RHEA:17653	Melampsora lini (Rust fungus) (Xyloma lini)	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)
A0A858E7G0	RHEA:22408 RHEA:19361 RHEA:17653	Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus)	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)
A0A8T9EMC0	RHEA:16153 RHEA:77907 RHEA:77923 RHEA:77927 RHEA:69132 RHEA:25625 RHEA:25820 RHEA:25804 RHEA:18273	Heliotropium indicum (Indian heliotrope)	Homospermidine oxidase (HiHSO) (EC 1.4.3.27) (Copper amine oxidase 1) (CuAO1) (EC 1.4.3.21) (Diamine oxidase) (EC 1.4.3.22) (Polyamine oxidase) (EC 1.5.3.14) (Putrescine oxidase) (EC 1.4.3.10) (Spermine oxidase) (EC 1.5.3.16)
A0A8T9EMJ1	RHEA:16153 RHEA:18273 RHEA:69132 RHEA:25625	Heliotropium indicum (Indian heliotrope)	Copper amine oxidase 2 (CuAO2) (EC 1.4.3.21) (Histamine oxidase) (EC 1.4.3.22) (Putrescine oxidase) (EC 1.4.3.10)
A0JNI4	RHEA:10980 RHEA:19169 RHEA:40663 RHEA:13977 RHEA:43008	Bos taurus (Bovine)	Serine racemase (EC 5.1.1.18) (D-serine ammonia-lyase) (D-serine dehydratase) (EC 4.3.1.18) (L-serine ammonia-lyase) (L-serine dehydratase) (EC 4.3.1.17)
A1A4L1	RHEA:16645 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:40139 RHEA:40151	Bos taurus (Bovine)	Acyl-coenzyme A thioesterase THEM4 (Acyl-CoA thioesterase THEM4) (EC 3.1.2.2) (Thioesterase superfamily member 4)
A2QTW5	RHEA:18033	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	Benzoate 4-monooxygenase bphA (EC 1.14.14.92) (Benzoate-para-hydroxylase A) (BpH) (Cytochrome P450 monooxygenase cyp53A1)
A5CAL1	RHEA:29839 RHEA:27818 RHEA:18657 RHEA:10992 RHEA:18229 RHEA:62968 RHEA:16369	Vitis vinifera (Grape)	Glyoxylate/hydroxypyruvate/pyruvate reductase 2KGR (EC 1.1.1.26) (EC 1.1.1.28) (EC 1.1.1.79) (2-keto-L-gulonate reductase) (Vv2KGR) (EC 1.1.1.-)
B1XJV9	RHEA:22408 RHEA:19361 RHEA:17653	Picosynechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum)	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPS) (EC 2.5.1.29) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)
B2DBE9	RHEA:22408 RHEA:19361 RHEA:17653	Diaporthe amygdali (Fusicoccum amygdali)	Geranylgeranyl pyrophosphate synthase D (GGPP synthase D) (GGPPSase) ((2E,6E)-farnesyl diphosphate synthase D) (Dimethylallyltranstransferase D) (EC 2.5.1.1) (Farnesyl diphosphate synthase D) (Farnesyltranstransferase D) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase D) (Geranyltranstransferase D) (EC 2.5.1.10)
D4A1J4	RHEA:13601 RHEA:20521	Rattus norvegicus (Rat)	Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.-) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (EC 1.1.1.30) (4-oxo-L-proline reductase) (EC 1.1.1.104) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1)
E9F5E9	RHEA:22408 RHEA:19361 RHEA:17653	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23))	Geranylgeranyl pyrophosphate synthase subD (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10) (Subglutinol biosynthesis cluster protein D)
F4HU51	RHEA:16781 RHEA:30135 RHEA:40119 RHEA:30139 RHEA:40131 RHEA:40151 RHEA:16645 RHEA:40139 RHEA:40143	Arabidopsis thaliana (Mouse-ear cress)	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)
G5EGH6	RHEA:19721 RHEA:36931 RHEA:36951 RHEA:36935	Caenorhabditis elegans	Delta(9)-fatty-acid desaturase fat-7 (FAT-7) (EC 1.14.19.-) (EC 1.14.19.1) (Fatty-acid desaturase 7) (Stearoyl-CoA desaturase fat-7)
