Entry	Rhea ID	Organism	Protein names
A0A9J9HGY6	RHEA:80051 RHEA:80055 RHEA:80059 RHEA:80063 RHEA:80067 RHEA:80071 RHEA:80075	Rhizorhabdus wittichii (strain DSM 6014 / CCUG 31198 / JCM 15750 / NBRC 105917 / EY 4224 / RW1) (Sphingomonas wittichii)	Hydroxypyruvate/pyruvate aldolase (HPA/PA aldolase) (EC 4.1.2.-) (Hydroxy ketoacid aldolase) (SwHKA)
D3KY99	RHEA:80555 RHEA:80663 RHEA:83651 RHEA:19941 RHEA:80655	Carapichea ipecacuanha (Ipecac) (Callicocca ipecacuanha)	7'-O-demethylcephaeline 7'-O-methyltransferase IpeOMT2 (Cephaeline synthase IpeOMT2) (EC 2.1.1.395) ((R,S)-norcoclaurine 6-O-methyltransferase IpeOMT2) (Coclaurine synthase IpeOMT2) (EC 2.1.1.128) (Ipecac/benzylisoquinoline alkaloid O-methyltransferase 2) (IpeOMT2) (IpeOMT7) (EC 2.1.1.-) (N-deacetylipecoside 7-O-methyltransferase IpeOMT2) (EC 2.1.1.-) (N-deacetylisoipecoside 6-O-methyltransferase IpeOMT2) (EC 2.1.1.-) (N-deacetylisoipecoside 7-O-methyltransferase IpeOMT2) (EC 2.1.1.-) (Oripavine 3-O-methyltransferase IpeOMT2) (EC 2.1.1.-)
P07872	RHEA:38959 RHEA:78847 RHEA:85319 RHEA:85323 RHEA:78631 RHEA:40319 RHEA:83115 RHEA:83047 RHEA:39135 RHEA:39119 RHEA:78851 RHEA:78851 RHEA:78571 RHEA:78587 RHEA:38971 RHEA:38971 RHEA:40167 RHEA:40167 RHEA:40167 RHEA:40183 RHEA:40183 RHEA:83059 RHEA:86155 RHEA:86167 RHEA:86487 RHEA:86591 RHEA:86107 RHEA:87099 RHEA:87103 RHEA:87107 RHEA:84735 RHEA:84211 RHEA:84859 RHEA:69643 RHEA:84907 RHEA:84723 RHEA:84911 RHEA:84727 RHEA:84731 RHEA:78855 RHEA:78855 RHEA:40171 RHEA:40171 RHEA:40179 RHEA:40175 RHEA:40311 RHEA:40275 RHEA:40315	Rattus norvegicus (Rat)	Peroxisomal acyl-coenzyme A oxidase 1 (ACO) (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Peroxisomal fatty acyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]
P16549	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Sus scrofa (Pig)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)
P17636	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Oryctolagus cuniculus (Rabbit)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (FMO 1A1) (FMO form 1) (FMO 1) (Hepatic flavin-containing monooxygenase 1) (Trimethylamine monooxygenase)
P23522	RHEA:27726 RHEA:10268 RHEA:80043 RHEA:80055 RHEA:35583	Escherichia coli (strain K12)	5-keto-4-deoxy-D-glucarate aldolase (KDGluc aldolase) (KDGlucA) (EC 4.1.2.20) (2-dehydro-3-deoxy-D-glucarate aldolase) (2-keto-3-deoxy-D-glucarate aldolase) (5-dehydro-4-deoxy-D-glucarate aldolase) (Alpha-keto-beta-deoxy-D-glucarate aldolase)
P36365	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Rattus norvegicus (Rat)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)
P40939	RHEA:16105 RHEA:52656 RHEA:35839 RHEA:78591 RHEA:78603 RHEA:31163 RHEA:31171 RHEA:31075 RHEA:31191 RHEA:31199 RHEA:30547 RHEA:83067 RHEA:47424 RHEA:47436 RHEA:47452 RHEA:83027 RHEA:82923 RHEA:82995 RHEA:82959 RHEA:83147 RHEA:83211 RHEA:83359 RHEA:83375 RHEA:83391 RHEA:84395 RHEA:84399 RHEA:84403 RHEA:84407 RHEA:84627 RHEA:84631 RHEA:84655 RHEA:84659 RHEA:84663 RHEA:84667 RHEA:85127 RHEA:78731 RHEA:78739 RHEA:31159 RHEA:31167 RHEA:31179 RHEA:31187 RHEA:31195 RHEA:31143 RHEA:83079 RHEA:47428 RHEA:47440 RHEA:47456 RHEA:83031 RHEA:82931 RHEA:82999 RHEA:83003 RHEA:83139 RHEA:83215 RHEA:83363 RHEA:83379 RHEA:83395 RHEA:84427 RHEA:84411 RHEA:84415 RHEA:84419 RHEA:84671 RHEA:84675 RHEA:84679 RHEA:84683 RHEA:84687 RHEA:84691 RHEA:85131 RHEA:43680 RHEA:43676 RHEA:43672	Homo sapiens (Human)	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (MLCL AT) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (LCEH) (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (LCHAD) (EC 1.1.1.211)]
P50285	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Mus musculus (Mouse)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)
P51659	RHEA:26526 RHEA:32711 RHEA:45812 RHEA:39235 RHEA:39223 RHEA:39211 RHEA:39199 RHEA:83119 RHEA:39271 RHEA:84379 RHEA:79187 RHEA:78871 RHEA:85335 RHEA:85339 RHEA:78635 RHEA:78563 RHEA:83123 RHEA:86175 RHEA:84383 RHEA:79191 RHEA:78931 RHEA:39187 RHEA:39175 RHEA:39155 RHEA:39159 RHEA:78643 RHEA:39259 RHEA:39247 RHEA:86491 RHEA:86587 RHEA:86595 RHEA:87091 RHEA:87095 RHEA:87111 RHEA:87115 RHEA:39327 RHEA:39463 RHEA:39315 RHEA:39451 RHEA:84915 RHEA:84807 RHEA:84919 RHEA:84811 RHEA:84823 RHEA:78935 RHEA:78579 RHEA:78595 RHEA:78607 RHEA:40243 RHEA:78667 RHEA:86171 RHEA:86179 RHEA:86183 RHEA:86187 RHEA:86191 RHEA:86195 RHEA:86199 RHEA:86203 RHEA:86207 RHEA:84387 RHEA:84307 RHEA:84867 RHEA:84795 RHEA:84871 RHEA:84803 RHEA:84875 RHEA:84815 RHEA:84831 RHEA:78867 RHEA:44024 RHEA:45992 RHEA:40187 RHEA:78875 RHEA:78671 RHEA:45832 RHEA:40191 RHEA:40255 RHEA:40263 RHEA:18933 RHEA:47088	Homo sapiens (Human)	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) (Short chain dehydrogenase/reductase family 8C member 1) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]
P51660	RHEA:18933 RHEA:47088 RHEA:26526 RHEA:32711 RHEA:45812 RHEA:39235 RHEA:39223 RHEA:39211 RHEA:39199 RHEA:83119 RHEA:39271 RHEA:84379 RHEA:79187 RHEA:78871 RHEA:85335 RHEA:85339 RHEA:78635 RHEA:78563 RHEA:83123 RHEA:86175 RHEA:84383 RHEA:79191 RHEA:78931 RHEA:39187 RHEA:39175 RHEA:39155 RHEA:39159 RHEA:78643 RHEA:39259 RHEA:39247 RHEA:86491 RHEA:86587 RHEA:86595 RHEA:87091 RHEA:87095 RHEA:87111 RHEA:87115 RHEA:39327 RHEA:39463 RHEA:39315 RHEA:39451 RHEA:84915 RHEA:84807 RHEA:84919 RHEA:84811 RHEA:84823 RHEA:78935 RHEA:78579 RHEA:78595 RHEA:78607 RHEA:40243 RHEA:78667 RHEA:86171 RHEA:86179 RHEA:86183 RHEA:86187 RHEA:86191 RHEA:86195 RHEA:86199 RHEA:86203 RHEA:86207 RHEA:84387 RHEA:84307 RHEA:84867 RHEA:84795 RHEA:84871 RHEA:84803 RHEA:84875 RHEA:84815 RHEA:84831 RHEA:78867 RHEA:44024 RHEA:45992 RHEA:40187 RHEA:78875 RHEA:78671 RHEA:45832 RHEA:40191 RHEA:40255 RHEA:40263	Mus musculus (Mouse)	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]
P76469	RHEA:25784 RHEA:80047 RHEA:80043 RHEA:80051 RHEA:80055 RHEA:35583	Escherichia coli (strain K12)	2-keto-3-deoxy-L-rhamnonate aldolase (KDR aldolase) (EC 4.1.2.53) (2-dehydro-3-deoxyrhamnonate aldolase) (2-keto-3-deoxy acid sugar aldolase)
P97852	RHEA:26526 RHEA:32711 RHEA:45812 RHEA:39235 RHEA:39223 RHEA:39211 RHEA:39199 RHEA:83119 RHEA:39271 RHEA:84379 RHEA:79187 RHEA:78871 RHEA:85335 RHEA:85339 RHEA:78635 RHEA:78563 RHEA:83123 RHEA:86175 RHEA:84383 RHEA:79191 RHEA:78931 RHEA:39187 RHEA:39175 RHEA:39155 RHEA:39159 RHEA:78643 RHEA:39259 RHEA:39247 RHEA:86491 RHEA:86587 RHEA:86595 RHEA:87091 RHEA:87095 RHEA:87111 RHEA:87115 RHEA:39327 RHEA:39463 RHEA:39315 RHEA:39451 RHEA:84915 RHEA:84807 RHEA:84919 RHEA:84811 RHEA:84823 RHEA:78935 RHEA:78579 RHEA:78595 RHEA:78607 RHEA:40243 RHEA:78667 RHEA:86171 RHEA:86179 RHEA:86183 RHEA:86187 RHEA:86191 RHEA:86195 RHEA:86199 RHEA:86203 RHEA:86207 RHEA:84387 RHEA:84307 RHEA:84867 RHEA:84795 RHEA:84871 RHEA:84803 RHEA:84875 RHEA:84815 RHEA:84831 RHEA:78867 RHEA:44024 RHEA:45992 RHEA:40187 RHEA:78875 RHEA:78671 RHEA:45832 RHEA:40191 RHEA:40255 RHEA:40263 RHEA:18933 RHEA:47088	Rattus norvegicus (Rat)	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]
Q01740	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Homo sapiens (Human)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Fetal hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)
Q15067	RHEA:38959 RHEA:38959 RHEA:78847 RHEA:85319 RHEA:85323 RHEA:78631 RHEA:40319 RHEA:83115 RHEA:83047 RHEA:39135 RHEA:39119 RHEA:78851 RHEA:78851 RHEA:78571 RHEA:78587 RHEA:38971 RHEA:40167 RHEA:40167 RHEA:40183 RHEA:40183 RHEA:83059 RHEA:86155 RHEA:86167 RHEA:86487 RHEA:86487 RHEA:86591 RHEA:86591 RHEA:86107 RHEA:87099 RHEA:87103 RHEA:87107 RHEA:84735 RHEA:84211 RHEA:84859 RHEA:69643 RHEA:69643 RHEA:84907 RHEA:84723 RHEA:84911 RHEA:84911 RHEA:84727 RHEA:84727 RHEA:84731 RHEA:84731 RHEA:78855 RHEA:78855 RHEA:40171 RHEA:40171 RHEA:40179 RHEA:40179 RHEA:40175 RHEA:40175 RHEA:40311 RHEA:40275 RHEA:40275 RHEA:40315	Homo sapiens (Human)	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Peroxisomal fatty acyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) (SCOX) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]
