Entry	Rhea ID	Organism	Protein names
A1A4L1	RHEA:16645 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:40139 RHEA:40151	Bos taurus (Bovine)	Acyl-coenzyme A thioesterase THEM4 (Acyl-CoA thioesterase THEM4) (EC 3.1.2.2) (Thioesterase superfamily member 4)
A6H730	RHEA:15017 RHEA:39835 RHEA:10684 RHEA:12484	Bos taurus (Bovine)	Prostatic acid phosphatase (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Fluoride-resistant acid phosphatase) (FRAP) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase)
B0YJ81	RHEA:45812 RHEA:39159 RHEA:39155 RHEA:39175 RHEA:39187 RHEA:39199 RHEA:39211	Homo sapiens (Human)	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)
D3ZI76	RHEA:15325 RHEA:19709 RHEA:37131 RHEA:37443 RHEA:37463	Rattus norvegicus (Rat)	Glycerol-3-phosphate acyltransferase 2, mitochondrial (EC 2.3.1.15) (1-acylglycerol-3-phosphate O-acyltransferase GPAT2) (EC 2.3.1.51)
F4HU51	RHEA:16781 RHEA:30135 RHEA:40119 RHEA:30139 RHEA:40131 RHEA:40151 RHEA:16645 RHEA:40139 RHEA:40143	Arabidopsis thaliana (Mouse-ear cress)	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)
O00154	RHEA:67680 RHEA:16645 RHEA:30143 RHEA:30135 RHEA:40139 RHEA:40119 RHEA:40059 RHEA:30139	Homo sapiens (Human)	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)
O02767	RHEA:38959 RHEA:86699 RHEA:86619 RHEA:40459 RHEA:46728 RHEA:40179 RHEA:40167	Oryctolagus cuniculus (Rabbit)	Peroxisomal acyl-coenzyme A oxidase 2 (EC 1.3.3.6) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase) (Branched-chain acyl-CoA oxidase 2) (Trihydroxycoprostanoyl-CoA oxidase) (THCA-CoA oxidase) (THCCox)
O08564	RHEA:27429 RHEA:43236 RHEA:43244 RHEA:46736 RHEA:50884 RHEA:33155 RHEA:39835 RHEA:27449 RHEA:27518 RHEA:33743 RHEA:62040 RHEA:62160 RHEA:41255	Rattus norvegicus (Rat)	Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a)
O14494	RHEA:27429 RHEA:43236 RHEA:43244 RHEA:46736 RHEA:50884 RHEA:33155 RHEA:39835 RHEA:27449 RHEA:27518 RHEA:33743 RHEA:62040 RHEA:62160 RHEA:41255	Homo sapiens (Human)	Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a)
O14734	RHEA:14541 RHEA:31511 RHEA:20289 RHEA:40111 RHEA:40799 RHEA:40115 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:16645 RHEA:30139 RHEA:40219 RHEA:15673 RHEA:40103 RHEA:11516 RHEA:40575 RHEA:40583 RHEA:40587 RHEA:40591 RHEA:40595 RHEA:40135 RHEA:40131 RHEA:40139 RHEA:40143 RHEA:40147 RHEA:40151 RHEA:40223 RHEA:59952 RHEA:16305 RHEA:59936 RHEA:59940 RHEA:59948	Homo sapiens (Human)	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (HIV-Nef-associated acyl-CoA thioesterase) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)
O15120	RHEA:19709 RHEA:37131 RHEA:37143 RHEA:37155 RHEA:37159 RHEA:37171 RHEA:37175 RHEA:33187 RHEA:37187 RHEA:37139 RHEA:37179 RHEA:37183 RHEA:35907 RHEA:35915 RHEA:35903 RHEA:35899 RHEA:37603	Homo sapiens (Human)	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta)
O15254	RHEA:38959 RHEA:40459 RHEA:40179 RHEA:40167 RHEA:40319 RHEA:40275	Homo sapiens (Human)	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)
O35083	RHEA:19709 RHEA:37131 RHEA:37143 RHEA:37155 RHEA:37147 RHEA:37159 RHEA:37171 RHEA:37175 RHEA:33187 RHEA:37139 RHEA:37179 RHEA:37183 RHEA:37187 RHEA:37443 RHEA:37591 RHEA:37607 RHEA:37603 RHEA:40195	Mus musculus (Mouse)	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 1) (1-AGP acyltransferase 1) (1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha) (LPAAT-alpha)
O55137	RHEA:16645 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:30139 RHEA:40147 RHEA:40139 RHEA:40131 RHEA:40723	Mus musculus (Mouse)	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)
O55171	RHEA:16645 RHEA:40119 RHEA:30139 RHEA:40147 RHEA:40059 RHEA:30135 RHEA:40139 RHEA:40131 RHEA:40723 RHEA:40143	Rattus norvegicus (Rat)	Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (ARTISt/p43) (Acyl coenzyme A thioester hydrolase) (MTE-I) (Very-long-chain acyl-CoA thioesterase)
O62140	RHEA:38987 RHEA:40171 RHEA:38959 RHEA:66204 RHEA:66208 RHEA:66200 RHEA:40167 RHEA:66232 RHEA:66236 RHEA:66212 RHEA:66216 RHEA:66220 RHEA:66224 RHEA:66228	Caenorhabditis elegans	Acyl-coenzyme A oxidase acox-1.1 (EC 1.3.3.-) (EC 1.3.3.6)
O88267	RHEA:16645 RHEA:30135 RHEA:40119 RHEA:40059 RHEA:30139 RHEA:40147 RHEA:40139 RHEA:40131 RHEA:40723	Rattus norvegicus (Rat)	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (LACH2) (ACH2) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)
