Entry	Rhea ID	Organism	Protein names
A0A1R4LHH9	RHEA:50944 RHEA:79503 RHEA:79507 RHEA:79511	Vibrio ruber (strain DSM 16370 / JCM 11486 / BCRC 17186 / CECT 7878 / LMG 23124 / VR1)	NADH:(hydroxy)cinnamate reductase subunit CrdB (EC 1.3.1.-) (NADH:cinnamate reductase subunit CrdB)
A2AJ88	RHEA:15177 RHEA:40807 RHEA:40895 RHEA:40499 RHEA:40435 RHEA:49092	Mus musculus (Mouse)	Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-) (EC 3.1.1.5) (Neuropathy target esterase-related esterase) (NRE) (NTE-related esterase)
D3ZRC4	RHEA:15801 RHEA:18689 RHEA:44604 RHEA:44068 RHEA:15177 RHEA:40643 RHEA:40651 RHEA:40427 RHEA:40819 RHEA:38779 RHEA:40811 RHEA:40639 RHEA:40647 RHEA:40431 RHEA:40571 RHEA:40823 RHEA:41063 RHEA:40579 RHEA:67156 RHEA:40435 RHEA:52812 RHEA:67272	Rattus norvegicus (Rat)	Calcium-independent phospholipase A2-gamma (EC 3.1.1.-) (EC 3.1.1.5) (Intracellular membrane-associated calcium-independent phospholipase A2 gamma) (iPLA2-gamma) (Patatin-like phospholipase domain-containing protein 8)
H8WR05	RHEA:47320 RHEA:47324	Variovorax paradoxus	Beta-phenylalanine transaminase (EC 2.6.1.-) (Aromatic beta-amino acid aminotransferase) (Beta-phenylalanine aminotransferase) (VpAT)
I6Y778	RHEA:19913 RHEA:42048 RHEA:45828 RHEA:45832	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	3-oxoacyl-[acyl-carrier-protein] reductase [NADH] (EC 1.1.1.212) (Beta-ketoacyl CoA reductase) (FASII-like 3-oxoacyl-thioester reductase) (HMwFabG)
O08564	RHEA:27429 RHEA:43236 RHEA:43244 RHEA:46736 RHEA:50884 RHEA:33155 RHEA:39835 RHEA:27449 RHEA:27518 RHEA:33743 RHEA:62040 RHEA:62160 RHEA:41255	Rattus norvegicus (Rat)	Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a)
O08984	RHEA:46456 RHEA:18561 RHEA:46812	Rattus norvegicus (Rat)	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (Lamin-B receptor) (NBP60) (Sterol C14-reductase)
O14494	RHEA:27429 RHEA:43236 RHEA:43244 RHEA:46736 RHEA:50884 RHEA:33155 RHEA:39835 RHEA:27449 RHEA:27518 RHEA:33743 RHEA:62040 RHEA:62160 RHEA:41255	Homo sapiens (Human)	Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a)
O15254	RHEA:38959 RHEA:40459 RHEA:40179 RHEA:40167 RHEA:40319 RHEA:40275	Homo sapiens (Human)	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)
O43175	RHEA:12641 RHEA:49612 RHEA:21432	Homo sapiens (Human)	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)
