Entry	Rhea ID	Organism	Protein names
A0A0P0ZD79	RHEA:17653 RHEA:25694 RHEA:78287 RHEA:78291	Emericella variicolor (Aspergillus stellatus)	Variediene synthase (VS) [Includes: Terpene cyclase (EC 4.2.3.218) (EC 4.2.3.219); Geranylgeranyl diphosphate synthase (GGDP synthase) (GGS) (EC 2.5.1.29); Geranylfarnesyl diphosphate synthase (GFDP synthase) (EC 2.5.1.81)]
A0A0U3BRC5	RHEA:25694 RHEA:66852 RHEA:66856 RHEA:66860	Leucosceptrum canum (Hairy white-wand) (Clerodendron leucosceptrum)	Geranylfarnesyl diphosphate synthase, chloroplastic (LcGFDPS) (EC 2.5.1.81)
D3ZMY7	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Rattus norvegicus (Rat)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
O46411	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Bos taurus (Bovine)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
P0C9E0	RHEA:22408 RHEA:19361 RHEA:17653 RHEA:25694	African swine fever virus (isolate Tick/South Africa/Pretoriuskop Pr4/1996) (ASFV)	Trans-prenyltransferase (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranyltranstransferase) (EC 2.5.1.10) (Polyprenyl-diphosphate synthase)
P0C9E1	RHEA:22408 RHEA:19361 RHEA:17653 RHEA:25694	African swine fever virus (isolate Warthog/Namibia/Wart80/1980) (ASFV)	Trans-prenyltransferase (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranyltranstransferase) (EC 2.5.1.10) (Polyprenyl-diphosphate synthase)
P0C9E2	RHEA:22408 RHEA:19361 RHEA:17653 RHEA:25694	African swine fever virus (isolate Pig/Kenya/KEN-50/1950) (ASFV)	Trans-prenyltransferase (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranyltranstransferase) (EC 2.5.1.10) (Polyprenyl-diphosphate synthase)
P14604	RHEA:16105 RHEA:45228 RHEA:45736 RHEA:26558 RHEA:31079 RHEA:26518 RHEA:45584 RHEA:31175 RHEA:30547 RHEA:31191	Rattus norvegicus (Rat)	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)
P23522	RHEA:27726 RHEA:10268 RHEA:80043 RHEA:80055 RHEA:35583	Escherichia coli (strain K12)	5-keto-4-deoxy-D-glucarate aldolase (KDGluc aldolase) (KDGlucA) (EC 4.1.2.20) (2-dehydro-3-deoxy-D-glucarate aldolase) (2-keto-3-deoxy-D-glucarate aldolase) (5-dehydro-4-deoxy-D-glucarate aldolase) (Alpha-keto-beta-deoxy-D-glucarate aldolase)
P30084	RHEA:16105 RHEA:45228 RHEA:45736 RHEA:26558 RHEA:31079 RHEA:26518 RHEA:45584 RHEA:31175 RHEA:30547 RHEA:31191	Homo sapiens (Human)	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)
P35914	RHEA:24404	Homo sapiens (Human)	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
P38060	RHEA:24404	Mus musculus (Mouse)	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
P49902	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Homo sapiens (Human)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic 5'-nucleotidase II) (cN-II) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77) (High Km 5'-nucleotidase)
P70752	RHEA:26077	Methylosulfonomonas methylovora	Methanesulfonate monooxygenase ferredoxin subunit (Methanesulfonic acid monooxygenase electron transfer subunit) (Methanesulfonic acid monooxygenase ferredoxin subunit) (MSA monooxygenase ferredoxin subunit) (MSAMO ferredoxin subunit) (EC 1.14.13.111)
P76491	RHEA:36167 RHEA:29371 RHEA:29379 RHEA:11080 RHEA:29355 RHEA:29383 RHEA:29363	Escherichia coli (strain K12)	5'-deoxynucleotidase YfbR (EC 3.1.3.89) (5'-deoxyribonucleotidase) (Nucleoside 5'-monophosphate phosphohydrolase)
P77444	RHEA:43892 RHEA:11632 RHEA:28278	Escherichia coli (strain K12)	Cysteine desulfurase (EC 2.8.1.7) (Cysteine sulfinate desulfinase) (CSD) (EC 3.13.1.-) (Selenocysteine beta-lyase) (SCL) (Selenocysteine lyase) (EC 4.4.1.16) (Selenocysteine reductase)
P97519	RHEA:24404	Rattus norvegicus (Rat)	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)
Q3V1L4	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29379 RHEA:29383 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Mus musculus (Mouse)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
Q46925	RHEA:43892 RHEA:11632 RHEA:28278	Escherichia coli (strain K12)	Cysteine desulfurase CsdA (EC 2.8.1.7) (Cysteine sulfinate desulfinase) (CSD) (EC 3.13.1.-) (Selenocysteine lyase) (EC 4.4.1.16)
Q58DM8	RHEA:16105 RHEA:45228 RHEA:45736 RHEA:26558 RHEA:31079 RHEA:26518 RHEA:45584 RHEA:31175 RHEA:30547 RHEA:31191	Bos taurus (Bovine)	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)
Q5EBF1	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
Q5EU90	RHEA:18177 RHEA:52572 RHEA:52576 RHEA:33763 RHEA:27906 RHEA:44956	Euglena gracilis	Trans-2-enoyl-CoA reductase (TER1) (EC 1.3.1.38) (EC 1.3.1.44) (EC 1.3.1.86)
Q5R646	RHEA:16105 RHEA:45228 RHEA:45736 RHEA:26558 RHEA:31079 RHEA:26518 RHEA:45584 RHEA:31175 RHEA:30547 RHEA:31191	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)
Q5RA22	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
