Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
P28012	reviewed	Medicago sativa (Alfalfa)	Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6)	5.5.1.6	
P41088	reviewed	Arabidopsis thaliana (Mouse-ear cress)	Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6) (Protein TRANSPARENT TESTA 5)	5.5.1.6	
A0A2U7XUH7	reviewed	Humulus lupulus (European hop)	Chalcone isomerase-like protein 1 (HlCHIL1) (EC 5.5.1.6)	5.5.1.6	
A2IBF8	reviewed	Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
A0A2I2F2J6	reviewed	Aspergillus candidus	Chalcone isomerase cfoK (CHI cfoK) (EC 5.5.1.6) (Chlorflavonin biosynthesis cluster protein K)	5.5.1.6	
A0A2U7XUE3	reviewed	Humulus lupulus (European hop)	Chalcone isomerase-like protein 2 (HlCHIL2) (EC 5.5.1.6)	5.5.1.6	
O22651	reviewed	Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
O65333	reviewed	Elaeagnus umbellata (Autumn olive) (Elaeagnus crispa)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
P11650	reviewed	Petunia hybrida (Petunia)	Chalcone--flavanone isomerase A (CHI-A) (Chalcone isomerase A) (EC 5.5.1.6)	5.5.1.6	
Q08704	reviewed	Zea mays (Maize)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q33DL3	reviewed	Nicotiana tabacum (Common tobacco)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q43056	reviewed	Pueraria montana var. lobata (Kudzu vine) (Pueraria lobata)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q53B70	reviewed	Glycine max (Soybean) (Glycine hispida)	Chalcone--flavanone isomerase 1B-2 (Chalcone isomerase 1B-2) (EC 5.5.1.6)	5.5.1.6	
Q53B74	reviewed	Glycine max (Soybean) (Glycine hispida)	Chalcone--flavanone isomerase 2-A (Chalcone isomerase 2-A) (EC 5.5.1.6)	5.5.1.6	
Q565D8	reviewed	Gentiana triflora (Clustered gentian)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q6QHK0	reviewed	Allium cepa (Onion)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q8H0F6	reviewed	Lotus japonicus (Lotus corniculatus var. japonicus)	Chalcone--flavanone isomerase 3 (Chalcone isomerase 3) (EC 5.5.1.6)	5.5.1.6	
Q8H0G1	reviewed	Lotus japonicus (Lotus corniculatus var. japonicus)	Chalcone--flavanone isomerase 2 (Chalcone isomerase 2) (EC 5.5.1.6)	5.5.1.6	
Q8H0G2	reviewed	Lotus japonicus (Lotus corniculatus var. japonicus)	Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6)	5.5.1.6	
Q8LKP9	reviewed	Saussurea medusa (Saw-wort)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q8S3X0	reviewed	Hordeum vulgare (Barley)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q8VZW3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	Probable chalcone--flavanone isomerase 3 (Chalcone isomerase 3) (EC 5.5.1.6) (Chalcone isomerase-like 1)	5.5.1.6	
Q93XE6	reviewed	Glycine max (Soybean) (Glycine hispida)	Chalcone--flavanone isomerase 1A (Chalcone isomerase 1A) (EC 5.5.1.6)	5.5.1.6	
Q9FKW3	reviewed	Arabidopsis thaliana (Mouse-ear cress)	Chalcone--flavanone isomerase 2 (Chalcone isomerase 2) (EC 5.5.1.6)	5.5.1.6	
Q9ZWR1	reviewed	Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
A1E260	reviewed	Chrysanthemum morifolium (Florist's daisy) (Dendranthema grandiflorum)	Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6) (DgCHI1)	5.5.1.6	
A1E261	reviewed	Chrysanthemum morifolium (Florist's daisy) (Dendranthema grandiflorum)	Chalcone--flavanone isomerase 2 (Chalcone isomerase 2) (EC 5.5.1.6) (DgCHI2)	5.5.1.6	
A2XNF0	reviewed	Oryza sativa subsp. indica (Rice)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
A4F1Q8	reviewed	Clitoria ternatea (Butterfly pea)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
A5ANT9	reviewed	Vitis vinifera (Grape)	Chalcone--flavanone isomerase 2 (Chalcone isomerase 2) (EC 5.5.1.6)	5.5.1.6	
A5HBK6	reviewed	Pyrus communis (Pear) (Pyrus domestica)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
A7ISP5	reviewed	Glycine max (Soybean) (Glycine hispida)	Chalcone--flavanone isomerase 2-B (Chalcone isomerase 2-B) (EC 5.5.1.6)	5.5.1.6	
A7ISP6	reviewed	Glycine max (Soybean) (Glycine hispida)	Chalcone--flavanone isomerase 3 (Chalcone isomerase 3) (EC 5.5.1.6)	5.5.1.6	
O22604	reviewed	Ipomoea purpurea (Common morning glory) (Pharbitis purpurea)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
P11651	reviewed	Petunia hybrida (Petunia)	Chalcone--flavanone isomerase B (CHI-B) (Chalcone isomerase B) (EC 5.5.1.6)	5.5.1.6	
P14298	reviewed	Phaseolus vulgaris (Kidney bean) (French bean)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
P41089	reviewed	Pisum sativum (Garden pea) (Lathyrus oleraceus)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
P51117	reviewed	Vitis vinifera (Grape)	Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6)	5.5.1.6	
Q2PF16	reviewed	Verbena hybrida (Garden vervain) (Verbena hortensis)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q3Y4F4	reviewed	Canna generalis (Canna lily) (Canna glauca x Canna indica)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q43754	reviewed	Dianthus caryophyllus (Carnation) (Clove pink)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q45QI7	reviewed	Camellia sinensis (Tea plant) (Thea sinensis)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q4AE11	reviewed	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6)	5.5.1.6	
Q4AE12	reviewed	Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	Chalcone--flavanone isomerase 2 (Chalcone isomerase 2) (EC 5.5.1.6)	5.5.1.6	
Q53B75	reviewed	Glycine max (Soybean) (Glycine hispida)	Chalcone--flavanone isomerase 1B-1 (Chalcone isomerase 1B-1) (EC 5.5.1.6)	5.5.1.6	
Q6BEH3	reviewed	Eustoma russellianum (Showy prairie gentian) (Eustoma grandiflorum)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q84T92	reviewed	Oryza sativa subsp. japonica (Rice)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q8S911	reviewed	Ipomoea batatas (Sweet potato) (Convolvulus batatas)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q9LKC3	reviewed	Arabidopsis lyrata subsp. petraea (Northern rock-cress) (Cardaminopsis petraea)	Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6)	5.5.1.6	
Q9M5B3	reviewed	Petunia hybrida (Petunia)	Chalcone--flavanone isomerase C (CHI-C) (Chalcone isomerase C) (EC 5.5.1.6)	5.5.1.6	
