Entry	Rhea ID	Organism	Protein names
A0A0H2X5R2	RHEA:16149	Xanthomonas campestris pv. campestris (strain 8004)	Nicotinamide phosphoribosyltransferase (NAM phosphoribosyltransferase) (NAMPT) (EC 2.4.2.12)
O75891	RHEA:10180	Homo sapiens (Human)	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)
P28037	RHEA:10180	Rattus norvegicus (Rat)	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1) (FBP-CI)
P32528	RHEA:20896 RHEA:19029	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Urea amidolyase [Includes: Urea carboxylase (EC 6.3.4.6); Allophanate hydrolase (EC 3.5.1.54)]
P43490	RHEA:16149	Homo sapiens (Human)	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)
Q3SY69	RHEA:10180	Homo sapiens (Human)	Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2)
Q80Z29	RHEA:16149	Rattus norvegicus (Rat)	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1 homolog) (PBEF) (Visfatin)
Q8K009	RHEA:10180	Mus musculus (Mouse)	Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2)
Q8R0Y6	RHEA:10180	Mus musculus (Mouse)	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)
Q99KQ4	RHEA:16149	Mus musculus (Mouse)	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1 homolog) (PBEF) (Visfatin)
A5H0J2	RHEA:20896 RHEA:19029	Lachancea kluyveri (Yeast) (Saccharomyces kluyveri)	Urea amidolyase (Pyrimidine-degrading protein 13,15) (Uracil catabolism protein 3,5) [Includes: Urea carboxylase (EC 6.3.4.6); Allophanate hydrolase (EC 3.5.1.54)]
P0A9I1	RHEA:10760 RHEA:20812	Escherichia coli (strain K12)	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)
P17725	RHEA:10760 RHEA:20812	Klebsiella pneumoniae	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)
P75726	RHEA:10760 RHEA:19405	Escherichia coli (strain K12)	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)
Q5RFM9	RHEA:10180	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)
Q63ZT8	RHEA:10180	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)
Q6FDK2	RHEA:16149	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	Nicotinamide phosphoribosyltransferase (NAmPRTase) (NMPRT) (Nampt) (EC 2.4.2.12)
Q6GNL7	RHEA:10180	Xenopus laevis (African clawed frog)	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)
Q936X2	RHEA:19029	Pseudomonas sp. (strain ADP)	Allophanate hydrolase (EC 3.5.1.54)
O53078	RHEA:10760 RHEA:20812	Leuconostoc mesenteroides subsp. cremoris	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)
O53079	RHEA:10760 RHEA:19405	Leuconostoc mesenteroides subsp. cremoris	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)
P0A9I2	RHEA:10760 RHEA:20812	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)
P38095	RHEA:20896	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	Putative urea carboxylase (EC 6.3.4.6) (Lactam utilization protein lamA) (Urea amidolyase)
P44459	RHEA:10760 RHEA:19405	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)
P44460	RHEA:10760 RHEA:20812	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)
P45413	RHEA:10760 RHEA:19405	Klebsiella pneumoniae	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)
Q52I78	RHEA:16149	Sus scrofa (Pig)	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1 homolog) (PBEF) (Visfatin)
P47283	RHEA:16149	Mycoplasmoides genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasma genitalium)	Nicotinamide phosphoribosyltransferase (NAmPRTase) (NMPRT) (Nampt) (EC 2.4.2.12)
P75067	RHEA:16149	Mycoplasmoides pneumoniae (strain ATCC 29342 / M129 / Subtype 1) (Mycoplasma pneumoniae)	Nicotinamide phosphoribosyltransferase (NAmPRTase) (NMPRT) (Nampt) (EC 2.4.2.12)
