Entry	Rhea ID	Organism	Protein names
A0A1E3P8S6	RHEA:55972 RHEA:20289 RHEA:58148	Wickerhamomyces anomalus (strain ATCC 58044 / CBS 1984 / NCYC 433 / NRRL Y-366-8) (Yeast) (Hansenula anomala)	Ethanol acetyltransferase 1 (EC 2.3.1.268) (Acetyl-CoA hydrolase) (EC 3.1.2.1) (Acetyl-CoA thioesterase) (Alcohol acetyltransferase) (AAT) (Ethyl acetate esterase) (EC 3.1.1.-)
A0A248QE08	RHEA:18969 RHEA:56060 RHEA:77243 RHEA:77375 RHEA:77379 RHEA:77383	Chlorella variabilis (Green alga)	Fatty acid photodecarboxylase, chloroplastic (CvFAP) (EC 4.1.1.106)
F4HXL0	RHEA:13189 RHEA:18689 RHEA:38783 RHEA:56448 RHEA:40823 RHEA:56636 RHEA:56640 RHEA:38787	Arabidopsis thaliana (Mouse-ear cress)	Phospholipase A1 PLIP2, chloroplastic (EC 3.1.1.32) (Galactolipase PLIP2) (EC 3.1.1.26) (Protein PLASTID LIPASE 2)
F4IDU4	RHEA:12937 RHEA:37387 RHEA:37391 RHEA:56408 RHEA:32995 RHEA:33191	Arabidopsis thaliana (Mouse-ear cress)	Lysophospholipid acyltransferase 1 (AtLPLAT1) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylcholine acyltransferase 1) (LPCAT1) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lysophosphatidylglycerol acyltransferase) (LPGAT) (Lysophosphatidylserine acyltransferase) (LPSAT)
I0JWN7	RHEA:51008 RHEA:56272 RHEA:51004	Methylacidiphilum fumariolicum (strain SolV)	Lanthanide-dependent methanol dehydrogenase (Lanthanide-dependent MDH) (Ln(3+)-dependent MDH) (Ln-MDH) (EC 1.1.2.10)
P0DPQ7	RHEA:57424 RHEA:57432 RHEA:57428 RHEA:57436 RHEA:57440	Amycolatopsis sp. (strain ATCC 39116 / 75iv2)	Aromatic O-demethylase, cytochrome P450 subunit (EC 1.14.14.-)
P53208	RHEA:55972 RHEA:20289 RHEA:58148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Ethanol acetyltransferase 1 (EC 2.3.1.268) (Acetyl-CoA hydrolase) (EC 3.1.2.1) (Acetyl-CoA thioesterase) (Alcohol acetyltransferase) (AAT) (Ethyl acetate esterase) (EC 3.1.1.-)
P53816	RHEA:15801 RHEA:18689 RHEA:41223 RHEA:40487 RHEA:38783 RHEA:38779 RHEA:40427 RHEA:40571 RHEA:40815 RHEA:45164 RHEA:40431 RHEA:41348 RHEA:53496 RHEA:53500 RHEA:53524 RHEA:53528 RHEA:54544 RHEA:56432 RHEA:56436 RHEA:56440 RHEA:56444 RHEA:40811 RHEA:40971 RHEA:56448 RHEA:41384 RHEA:40923 RHEA:41360 RHEA:56428	Homo sapiens (Human)	Phospholipase A and acyltransferase 3 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HRAS-like suppressor 3) (HRSL3) (HREV107-3) (Renal carcinoma antigen NY-REN-65)
P53817	RHEA:15801 RHEA:18689 RHEA:41223 RHEA:40487 RHEA:38783 RHEA:38779 RHEA:40427 RHEA:40571 RHEA:40815 RHEA:45164 RHEA:40431 RHEA:41348 RHEA:53496 RHEA:53500 RHEA:53524 RHEA:53528 RHEA:54544 RHEA:56432 RHEA:56436 RHEA:56440 RHEA:56444 RHEA:40811 RHEA:40971 RHEA:56448 RHEA:41384 RHEA:40923 RHEA:41360 RHEA:56428	Rattus norvegicus (Rat)	Phospholipase A and acyltransferase 3 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (Group XVI phospholipase A2) (H-rev 107 protein homolog) (HRAS-like suppressor 3) (HRSL3) (Rat LRAT-like protein-3) (RLP-3)
Q06086	RHEA:55528 RHEA:55524	Petroselinum crispum (Parsley) (Petroselinum hortense)	4-hydroxyphenylacetaldehyde synthase (HPAA synthase) (EC 4.1.1.108) (3,4-dihydroxyphenylacetaldehyde synthase) (DHPAA synthase) (EC 4.1.1.107) (Aromatic acetaldehyde synthase) (PcAAS)
