Entry	Rhea ID	Organism	Protein names
A0A2I7G3B0	RHEA:16185 RHEA:11888 RHEA:59904 RHEA:60708 RHEA:60716 RHEA:60720 RHEA:60724 RHEA:60728 RHEA:60732 RHEA:60736 RHEA:60740	Tanacetum cinerariifolium (Dalmatian daisy) (Chrysanthemum cinerariifolium)	Aldehyde dehydrogenase 1 (TcALDH1) (EC 1.2.1.5) (Trans-chrysanthemic acid synthase) (EC 1.2.1.-)
A0A2I7G3B3	RHEA:60668 RHEA:60672 RHEA:60676 RHEA:10664 RHEA:58848 RHEA:34347	Tanacetum cinerariifolium (Dalmatian daisy) (Chrysanthemum cinerariifolium)	Alcohol dehydrogenase 2 (TcADH2) (EC 1.1.1.144) (EC 1.1.1.347) (Trans-chrysanthemal synthase) (EC 1.1.1.-)
A0A4D6Q414	RHEA:55448 RHEA:10592 RHEA:18797 RHEA:61104 RHEA:61096 RHEA:61100 RHEA:61108 RHEA:61112 RHEA:61116 RHEA:61120 RHEA:61124 RHEA:61128	Crocosmia x crocosmiiflora (Montbretia) (Crocosmia aurea x Crocosmia pottsii)	Flavonoid 3',5'-hydroxylase CYP75B138 (F3'5'H) (EC 1.14.14.81) (Cytochrome P450 2) (CcCYP2) (Cytochrome P450 75B132)
H6U1I8	RHEA:60744 RHEA:60748 RHEA:60752 RHEA:60756 RHEA:60760 RHEA:60764	Tanacetum cinerariifolium (Dalmatian daisy) (Chrysanthemum cinerariifolium)	GDSL lipase (TcGLIP) (EC 3.1.1.-) (Pyrethrin type I synthase)
O04773	RHEA:55448 RHEA:10592 RHEA:18797 RHEA:61104 RHEA:61096 RHEA:61100 RHEA:79895 RHEA:86495 RHEA:61108 RHEA:61112 RHEA:61116 RHEA:61120 RHEA:61124 RHEA:61128	Campanula medium (Canterbury bells)	Flavonoid 3',5'-hydroxylase (F3'5'H) (EC 1.14.14.81) (Cytochrome P450 75A6)
P00330	RHEA:10736 RHEA:10740 RHEA:25290 RHEA:12168 RHEA:50704 RHEA:33199 RHEA:60972 RHEA:24528 RHEA:24620 RHEA:64560 RHEA:41984 RHEA:64692	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1)
P00331	RHEA:10736 RHEA:10740 RHEA:25290 RHEA:33199 RHEA:60972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (ADHII) (YADH-2)
P07246	RHEA:10736 RHEA:10740 RHEA:25290 RHEA:33199 RHEA:60972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (ADHIII) (YADH-3)
P08319	RHEA:21284 RHEA:42052 RHEA:39803 RHEA:39799 RHEA:60660	Homo sapiens (Human)	All-trans-retinol dehydrogenase [NAD(+)] ADH4 (EC 1.1.1.105) (Alcohol dehydrogenase 2) (Alcohol dehydrogenase 4) (Alcohol dehydrogenase class II pi chain)
P0CE80	RHEA:60652 RHEA:60648 RHEA:60700 RHEA:60704 RHEA:60656	Loxosceles intermedia (Brown spider)	Dermonecrotic toxin LiSicTox-alphaIA1a (EC 4.6.1.-) (Dermonecrotic toxin 1) (DT1) (LiRecDT1) (P1) (Phospholipase D) (PLD) (Sphingomyelin phosphodiesterase D 1) (SMD 1) (SMase D 1) (Sphingomyelinase D 1)
