Entry	Rhea ID	Organism	Protein names
A0A5A4PXL6	RHEA:82187 RHEA:82215 RHEA:82191 RHEA:36247 RHEA:73287	Acorus calamus (Sweet flag)	Resveratrol 4'-O-methyltransferase (EC 2.1.1.399) (O-methyltransferase 1) (AcOMT1) (Trans-anol O-methyltransferase) (EC 2.1.1.279)
F5L3T2	RHEA:85699 RHEA:12673 RHEA:85603 RHEA:85659	Caldalkalibacillus thermarum (strain TA2.A1)	Cobalt-containing nitrile hydratase subunit alpha (NHase) (Nitrilase) (EC 4.2.1.84)
O80476	RHEA:32919 RHEA:55372 RHEA:33611 RHEA:85503	Arabidopsis thaliana (Mouse-ear cress)	Methylesterase 2 (AtMES2) (EC 3.1.1.-) (Protein METHYLESTERASE 8) (AtME8)
P43353	RHEA:11888 RHEA:16185 RHEA:10652 RHEA:69763 RHEA:44100 RHEA:69759 RHEA:33739 RHEA:59920 RHEA:69767 RHEA:67248 RHEA:36135 RHEA:11840 RHEA:80815 RHEA:59908 RHEA:59904 RHEA:80819 RHEA:59916 RHEA:60692 RHEA:59912 RHEA:21660	Homo sapiens (Human)	Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7) (Long-chain fatty aldehyde dehydrogenase) (EC 1.2.1.48) (Medium-chain fatty aldehyde dehydrogenase)
Q1JPA0	RHEA:16185 RHEA:10652 RHEA:69763 RHEA:44100 RHEA:69759 RHEA:33739 RHEA:59920 RHEA:69767 RHEA:67248 RHEA:36135 RHEA:11840 RHEA:11888 RHEA:80815 RHEA:59908 RHEA:59904 RHEA:80819 RHEA:59916 RHEA:60692 RHEA:59912 RHEA:21660	Bos taurus (Bovine)	Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7) (Long-chain fatty aldehyde dehydrogenase) (EC 1.2.1.48) (Medium-chain fatty aldehyde dehydrogenase)
Q5XI42	RHEA:16185 RHEA:10652 RHEA:69763 RHEA:44100 RHEA:69759 RHEA:33739 RHEA:59920 RHEA:69767 RHEA:67248 RHEA:36135 RHEA:11840 RHEA:11888 RHEA:80815 RHEA:59908 RHEA:59904 RHEA:80819 RHEA:59916 RHEA:60692 RHEA:59912 RHEA:21660	Rattus norvegicus (Rat)	Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7) (Long-chain fatty aldehyde dehydrogenase) (EC 1.2.1.48) (Medium-chain fatty aldehyde dehydrogenase)
Q7SID2	RHEA:85699 RHEA:12673 RHEA:85611 RHEA:85655 RHEA:85659 RHEA:85667	Pseudonocardia thermophila	Cobalt-containing nitrile hydratase subunit alpha (L-NHase) (L-nitrilase) (EC 4.2.1.84)
Q80VQ0	RHEA:16185 RHEA:10652 RHEA:69763 RHEA:44100 RHEA:69759 RHEA:33739 RHEA:59920 RHEA:69767 RHEA:67248 RHEA:36135 RHEA:11840 RHEA:11888 RHEA:80815 RHEA:59908 RHEA:59904 RHEA:80819 RHEA:59916 RHEA:60692 RHEA:59912 RHEA:21660	Mus musculus (Mouse)	Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7) (Long-chain fatty aldehyde dehydrogenase) (EC 1.2.1.48) (Medium-chain fatty aldehyde dehydrogenase)
Q9BPX1	RHEA:81515 RHEA:81519 RHEA:81523	Homo sapiens (Human)	L-fucose dehydrogenase (EC 1.1.1.122) (17-beta-hydroxysteroid dehydrogenase DHRS10) (Dehydrogenase/reductase SDR family member 10) (Retinal short-chain dehydrogenase/reductase retSDR3) (Short chain dehydrogenase/reductase family 47C member 1)
Q9V3S0	RHEA:83563 RHEA:83559	Drosophila melanogaster (Fruit fly)	Cytochrome P450 4g1 (EC 1.14.-.-) (Cytochrome P450 hydroxylase) (P450hyd)
A0A3B6XRA5	RHEA:85411	Atropa belladonna (Belladonna) (Deadly nightshade)	Littorine synthase (AbLS) (EC 2.4.1.400)
A0A8I6GJ95	RHEA:81515 RHEA:81519 RHEA:81523	Rattus norvegicus (Rat)	L-fucose dehydrogenase (EC 1.1.1.122) (Hydroxysteroid 17-beta dehydrogenase 14)
A0AAT9JA24	RHEA:81515 RHEA:81519 RHEA:81523	Oryctolagus cuniculus (Rabbit)	L-fucose dehydrogenase (EC 1.1.1.122) (Hydroxysteroid 17-beta dehydrogenase 14)
A8DY23	RHEA:83563 RHEA:83559	Musca domestica (House fly)	Cytochrome P450 4g1-like (Cytochrome P450 CYP4G2v1)
E9Q3D4	RHEA:81515 RHEA:81519 RHEA:81523	Mus musculus (Mouse)	L-fucose dehydrogenase (EC 1.1.1.122) (Hydroxysteroid 17-beta dehydrogenase 14)
O24770	RHEA:81407 RHEA:81411 RHEA:81415	Priestia megaterium (Bacillus megaterium)	4'-phospho-dehydrooxetanocin synthase (EC 5.3.99.13) (Cobalamin-dependent S-adenosylmethionine radical enzyme OxsB) (dAMP isomerase (4'-phospho-dehydrooxetanocin-forming))
P0DO80	RHEA:80899	Strychnos nux-vomica (Poison nut) (Strychnine tree)	Norfluorocurarine synthase 1 (SnvNS1) (EC 3.1.1.123)
P0DO81	RHEA:80899	Strychnos nux-vomica (Poison nut) (Strychnine tree)	Norfluorocurarine synthase 2 (SnvNS2) (EC 3.1.1.123)
Q83XP2	RHEA:85515	Streptantibioticus cattleyicolor (strain ATCC 35852 / DSM 46488 / JCM 4925 / NBRC 14057 / NRRL 8057) (Streptomyces cattleya)	2-(S-pantetheinyl)-carbapenam-3-carboxylate synthase (EC 4.4.1.44)
Q9MYP6	RHEA:81515 RHEA:81519 RHEA:81523	Bos taurus (Bovine)	L-fucose dehydrogenase (EC 1.1.1.122) (17-beta-hydroxysteroid dehydrogenase DHRS10) (Dehydrogenase/reductase SDR family member 10) (Retinal short-chain dehydrogenase/reductase retSDR3)
P0DO89	RHEA:80899	Strychnos sp	Norfluorocurarine synthase 1 (SpNS1) (EC 3.1.1.123)
P0DO90	RHEA:80899	Strychnos sp	Norfluorocurarine synthase 2 (SpNS2) (EC 3.1.1.123)
