Entry	Rhea ID	Organism	Protein names
A0A384JQC9	RHEA:85707 RHEA:27425 RHEA:85711 RHEA:85715	Botrytis cinerea (strain B05.10) (Noble rot fungus) (Botryotinia fuckeliana)	Alpha-ionylideneethane synthase aba3 (EC 4.2.3.-) (EC 4.2.3.47) (Abscisic acid biosynthesis cluster protein 3) (Sesquiterpene synthase aba3)
P0DY82	RHEA:86075	Locusta migratoria (Migratory locust)	4-vinylphenol methyltransferase 2
Q643R3	RHEA:32995 RHEA:16245 RHEA:12937 RHEA:33191 RHEA:23992 RHEA:37775 RHEA:37767 RHEA:37771 RHEA:37731 RHEA:37575 RHEA:37763 RHEA:37755 RHEA:37759 RHEA:37631 RHEA:37635 RHEA:37803 RHEA:33359 RHEA:37387 RHEA:37475 RHEA:37783 RHEA:37787 RHEA:37531 RHEA:37647 RHEA:37779 RHEA:86891 RHEA:74811 RHEA:74799 RHEA:86879 RHEA:86895 RHEA:86883 RHEA:86887	Homo sapiens (Human)	Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acyltransferase) (EC 2.3.1.63) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase)
Q6NVG1	RHEA:32995 RHEA:16245 RHEA:12937 RHEA:33191 RHEA:23992 RHEA:37775 RHEA:37767 RHEA:37771 RHEA:37731 RHEA:37575 RHEA:37763 RHEA:37755 RHEA:37759 RHEA:37631 RHEA:37635 RHEA:37803 RHEA:33359 RHEA:37387 RHEA:37475 RHEA:37783 RHEA:37787 RHEA:37531 RHEA:37647 RHEA:37779 RHEA:86891 RHEA:74811 RHEA:74799 RHEA:86879 RHEA:86895 RHEA:86883 RHEA:86887	Mus musculus (Mouse)	Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acyltransferase) (EC 2.3.1.63) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase)
Q9ESM6	RHEA:86259 RHEA:14033 RHEA:86375 RHEA:86371 RHEA:86379 RHEA:86383	Mus musculus (Mouse)	Glycerophosphodiester phosphodiesterase 3 (EC 3.1.4.-) (Glycerophosphodiester phosphodiesterase domain-containing protein 2) (Glycerophosphoinositol inositolphosphodiesterase) (EC 3.1.4.43) (Lysophosphatidylinositol-specific ectophospholipase C) (Osteoblast differentiation promoting factor)
Q9HCC8	RHEA:86259 RHEA:14033 RHEA:86375 RHEA:86371 RHEA:86379 RHEA:86383	Homo sapiens (Human)	Glycerophosphodiester phosphodiesterase 3 (EC 3.1.4.-) (Glycerophosphodiester phosphodiesterase domain-containing protein 2) (Glycerophosphoinositol inositolphosphodiesterase) (EC 3.1.4.43) (Lysophosphatidylinositol-specific ectophospholipase C) (Osteoblast differentiation promoting factor)
Q9ZUC1	RHEA:66444 RHEA:66440 RHEA:66436 RHEA:64716 RHEA:87319	Arabidopsis thaliana (Mouse-ear cress)	NADPH-dependent alkenal/one oxidoreductase, chloroplastic (AtAOR) (EC 1.3.1.-)
A0A0A0KTQ0	RHEA:66444 RHEA:66436 RHEA:50788 RHEA:66440 RHEA:64716 RHEA:87319	Cucumis sativus (Cucumber)	NADPH-dependent alkenal/one oxidoreductase, chloroplastic (CsChlAOR) (EC 1.3.1.-)
A0A5B8X7H4	RHEA:85879 RHEA:85883	Tabernanthe iboga (Iboga)	Polyneudridine aldehyde esterase-like 3 (TiPNAE3) (EC 3.1.1.-)
A0A5B8X840	RHEA:85879 RHEA:85883	Tabernanthe iboga (Iboga)	Polyneudridine aldehyde esterase-like 1 (TiPNAE1) (EC 3.1.1.-)
A0A5B8XC60	RHEA:85879 RHEA:85883	Tabernanthe iboga (Iboga)	Polyneudridine aldehyde esterase-like 2 (TiPNAE2) (EC 3.1.1.-)
P0DY63	RHEA:85707 RHEA:27425 RHEA:85711 RHEA:85715	Rutstroemia sp. (strain NJR-2017a WRK4)	Alpha-ionylideneethane synthase ABA3 (EC 4.2.3.-) (EC 4.2.3.47)
P0DY81	RHEA:86075	Locusta migratoria (Migratory locust)	4-vinylphenol methyltransferase 1 (EC 2.1.1.-)
