Entry	Rhea ID	Organism	Protein names
A0A8M1PLI9	RHEA:69759 RHEA:12308 RHEA:15305 RHEA:16185 RHEA:67276 RHEA:44100 RHEA:69767 RHEA:67248 RHEA:67252	Danio rerio (Zebrafish) (Brachydanio rerio)	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8)
A5FBJ5	RHEA:69611	Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 / BCRC 14874 / CCUG 350202 / NBRC 14942 / NCIMB 11054 / UW101) (Cytophaga johnsonae)	Kojibiose hydrolase (EC 3.2.1.216) (Alpha-1,2-D-glucoside glucohydrolase) (Alpha-1,2-glucosidase) (FjGH65A) (Kojibiase)
D3ZMY7	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Rattus norvegicus (Rat)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
O43704	RHEA:12164 RHEA:67876 RHEA:67888 RHEA:67892 RHEA:67880 RHEA:67884 RHEA:70607	Homo sapiens (Human)	Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase)
O46411	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Bos taurus (Bovine)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
P09848	RHEA:10076 RHEA:69639 RHEA:30679 RHEA:69647 RHEA:69655 RHEA:69659 RHEA:69663 RHEA:69667 RHEA:69671 RHEA:69675 RHEA:69679 RHEA:69683 RHEA:69687 RHEA:69699 RHEA:69703 RHEA:69707 RHEA:69711	Homo sapiens (Human)	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]
P09849	RHEA:10076 RHEA:69639 RHEA:30679 RHEA:69647 RHEA:69655 RHEA:69659 RHEA:69663 RHEA:69667 RHEA:69671 RHEA:69675 RHEA:69679 RHEA:69683 RHEA:69687 RHEA:69699 RHEA:69703 RHEA:69707 RHEA:69711	Oryctolagus cuniculus (Rabbit)	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]
P17988	RHEA:12164 RHEA:52372 RHEA:70607 RHEA:66548 RHEA:67880 RHEA:67884 RHEA:67876 RHEA:67888 RHEA:67892 RHEA:83575	Rattus norvegicus (Rat)	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Aryl sulfotransferase IV) (ASTIV) (Minoxidil sulfotransferase) (Mx-ST) (PST-1) (Phenol sulfotransferase) (Sulfokinase) (Tyrosine-ester sulfotransferase)
P19217	RHEA:15973 RHEA:52348 RHEA:52372 RHEA:51216 RHEA:70607	Bos taurus (Bovine)	Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (Estrogen sulfotransferase) (Sulfotransferase, estrogen-preferring)
P30837	RHEA:16185 RHEA:25294 RHEA:67256 RHEA:67276 RHEA:69759 RHEA:11840 RHEA:67248 RHEA:67252 RHEA:42080 RHEA:80159 RHEA:80155	Homo sapiens (Human)	Aldehyde dehydrogenase family 1 member B1, mitochondrial (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase X) (Nitroglycerin reductase ALDH1B1) (EC 1.7.1.-)
P43353	RHEA:11888 RHEA:16185 RHEA:10652 RHEA:69763 RHEA:44100 RHEA:69759 RHEA:33739 RHEA:59920 RHEA:69767 RHEA:67248 RHEA:36135 RHEA:11840 RHEA:80815 RHEA:59908 RHEA:59904 RHEA:80819 RHEA:59916 RHEA:60692 RHEA:59912 RHEA:21660	Homo sapiens (Human)	Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7) (Long-chain fatty aldehyde dehydrogenase) (EC 1.2.1.48) (Medium-chain fatty aldehyde dehydrogenase)
P49419	RHEA:12308 RHEA:69759 RHEA:15305 RHEA:16185 RHEA:67276 RHEA:44100 RHEA:69767 RHEA:67248 RHEA:67252	Homo sapiens (Human)	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase)
P49887	RHEA:15973 RHEA:52348 RHEA:52372 RHEA:51216 RHEA:70607	Cavia porcellus (Guinea pig)	Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (Estrogen sulfotransferase) (ST1E3) (Sulfotransferase, estrogen-preferring)
P49888	RHEA:15973 RHEA:52348 RHEA:52372 RHEA:51216 RHEA:70607	Homo sapiens (Human)	Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (EST-1) (Estrogen sulfotransferase) (Sulfotransferase, estrogen-preferring)
