Entry	Rhea ID	Organism	Protein names
B5LAT8	RHEA:10392 RHEA:22444 RHEA:45704 RHEA:45724 RHEA:45728 RHEA:76611	Capsicum annuum (Capsicum pepper)	Cinnamyl alcohol dehydrogenase 1 (CaCAD1) (EC 1.1.1.195) (Vanillyl alcohol synthase) (EC 1.1.1.-)
D7UNT2	RHEA:19265 RHEA:45716	Rhizobium sp	L-carnitine dehydrogenase/betainyl-CoA thioesterase (CDH thioesterase) [Includes: L-carnitine dehydrogenase (CDH) (L-CDH) (EC 1.1.1.108); Betainyl-CoA thioesterase (EC 3.1.2.33) (Betainyl-CoA thiolase)]
O08984	RHEA:46456 RHEA:18561 RHEA:46812	Rattus norvegicus (Rat)	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (Lamin-B receptor) (NBP60) (Sterol C14-reductase)
O46420	RHEA:54028 RHEA:25286 RHEA:45960 RHEA:68060 RHEA:68064 RHEA:68068 RHEA:75103 RHEA:75107 RHEA:75111 RHEA:75079 RHEA:75087 RHEA:75083	Sus scrofa (Pig)	Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (CYP51) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase)
O49482	RHEA:10392 RHEA:22444 RHEA:45704 RHEA:45724 RHEA:45728	Arabidopsis thaliana (Mouse-ear cress)	Cinnamyl alcohol dehydrogenase 5 (AtCAD5) (EC 1.1.1.195) (Cinnamyl alcohol dehydrogenase D)
O75845	RHEA:54320 RHEA:46556 RHEA:47184	Homo sapiens (Human)	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)
O76062	RHEA:18561 RHEA:46456 RHEA:46812	Homo sapiens (Human)	Delta(14)-sterol reductase TM7SF2 (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (Another new gene 1 protein) (C-14 sterol reductase) (C14SR) (Putative sterol reductase SR-1) (Sterol C14-reductase) (Transmembrane 7 superfamily member 2)
O88455	RHEA:23984 RHEA:46740	Mus musculus (Mouse)	7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Sterol Delta(7)-reductase)
O88736	RHEA:24616 RHEA:34787 RHEA:36379 RHEA:33459 RHEA:46832 RHEA:18409 RHEA:46852 RHEA:42116 RHEA:16297	Mus musculus (Mouse)	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (3-keto-steroid reductase) (EC 1.1.1.270) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62)
O88822	RHEA:54320 RHEA:46556 RHEA:47184	Mus musculus (Mouse)	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)
P17405	RHEA:19253 RHEA:54284 RHEA:45304 RHEA:10604 RHEA:19253	Homo sapiens (Human)	Sphingomyelin phosphodiesterase (EC 3.1.4.12) (EC 3.1.4.3) (Acid sphingomyelinase) (aSMase) [Cleaved into: Sphingomyelin phosphodiesterase, processed form]
P23913	RHEA:46456 RHEA:18561 RHEA:46812	Gallus gallus (Chicken)	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (Lamin-B receptor) (Sterol C14-reductase)
P33378	RHEA:10604 RHEA:45304 RHEA:78939 RHEA:78947 RHEA:78951 RHEA:78955 RHEA:78959 RHEA:78963 RHEA:78967 RHEA:43484 RHEA:19253 RHEA:36223	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	Phospholipase C (PLC) (EC 3.1.4.3) (29-kDa phospholipase C) (29-kDa PLC) (Broad-range phospholipase C) (Lecithinase) (LmPC-PLC) (Phosphatidylcholine cholinephosphohydrolase)
P48523	RHEA:10392 RHEA:22444 RHEA:45704 RHEA:45724 RHEA:45728	Arabidopsis thaliana (Mouse-ear cress)	Cinnamyl alcohol dehydrogenase 4 (AtCAD4) (EC 1.1.1.195) (Cinnamyl alcohol dehydrogenase C)
P56937	RHEA:24616 RHEA:34787 RHEA:36379 RHEA:33459 RHEA:46832 RHEA:18409 RHEA:46852 RHEA:16297 RHEA:46216	Homo sapiens (Human)	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (3-keto-steroid reductase) (EC 1.1.1.270) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 37C member 1)
P78329	RHEA:17149 RHEA:39755 RHEA:50164 RHEA:39791 RHEA:40155 RHEA:53572 RHEA:53552 RHEA:53556 RHEA:53568 RHEA:53564 RHEA:48660 RHEA:48664 RHEA:49376 RHEA:40079 RHEA:39055 RHEA:39043 RHEA:39719 RHEA:40083 RHEA:39059 RHEA:39047 RHEA:39735 RHEA:39731 RHEA:22176 RHEA:48676 RHEA:48648 RHEA:41520 RHEA:41516 RHEA:45108 RHEA:45112	Homo sapiens (Human)	Cytochrome P450 4F2 (EC 1.14.14.1) (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (Arachidonic acid omega-hydroxylase) (CYPIVF2) (Cytochrome P450-LTB-omega) (Docosahexaenoic acid omega-hydroxylase) (EC 1.14.14.79) (Leukotriene-B(4) 20-monooxygenase 1) (Leukotriene-B(4) omega-hydroxylase 1) (EC 1.14.14.94) (Phylloquinone omega-hydroxylase CYP4F2) (EC 1.14.14.78)
P9WIB3	RHEA:10604 RHEA:19253 RHEA:45304	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Phospholipase C B (PLC-B) (EC 3.1.4.3) (Mycobacterial phospholipase C B)
Q04519	RHEA:19253 RHEA:54284 RHEA:10604 RHEA:45304 RHEA:19253	Mus musculus (Mouse)	Sphingomyelin phosphodiesterase (EC 3.1.4.12) (EC 3.1.4.3) (Acid sphingomyelinase) (ASMase) [Cleaved into: Sphingomyelin phosphodiesterase, processed form]
Q0JA75	RHEA:10392 RHEA:22444 RHEA:45704 RHEA:45724 RHEA:45728	Oryza sativa subsp. japonica (Rice)	Cinnamyl alcohol dehydrogenase 7 (OsCAD7) (EC 1.1.1.195) (Protein FLEXIBLE CULM 1)
