Entry	Rhea ID	Organism	Protein names
C9JRZ8	RHEA:24616 RHEA:14981 RHEA:42120 RHEA:46628 RHEA:42156 RHEA:25033 RHEA:54916 RHEA:12168 RHEA:58424 RHEA:50616 RHEA:14697 RHEA:35607 RHEA:58416	Homo sapiens (Human)	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)
D3ZF77	RHEA:14697	Rattus norvegicus (Rat)	Aldo-keto reductase family 1 member C15 (EC 1.1.1.-) (EC 1.1.1.216) (RAKc)
O22765	RHEA:10532 RHEA:14081	Arabidopsis thaliana (Mouse-ear cress)	Tryptophan synthase alpha chain (EC 4.2.1.20) (Indole synthase) (Indole-3-glycerol-phosphate lyase) (EC 4.1.2.8)
O31041	RHEA:14569	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Propanediol dehydratase medium subunit (EC 4.2.1.28) (Diol dehydratase medium subunit) (DDH medium subunit) (Propanediol utilization protein PduD)
O31042	RHEA:14569	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Propanediol dehydratase small subunit (EC 4.2.1.28) (Diol dehydratase small subunit) (DDH small subunit) (Propanediol utilization protein PduE)
O93715	RHEA:14293 RHEA:14293 RHEA:14405 RHEA:14405 RHEA:21296 RHEA:18625 RHEA:18625 RHEA:15917 RHEA:36587	Saccharolobus solfataricus (Sulfolobus solfataricus)	Glucose 1-dehydrogenase (GDH) (GlcDH) (EC 1.1.1.47) (Aldose 1-dehydrogenase [NAD(P)(+)]) (EC 1.1.1.359) (Galactose 1-dehydrogenase) (EC 1.1.1.120, EC 1.1.1.48)
O95479	RHEA:15841 RHEA:38215 RHEA:12556 RHEA:62064 RHEA:62068 RHEA:62072 RHEA:62076 RHEA:62088 RHEA:14293 RHEA:14405 RHEA:62080	Homo sapiens (Human)	GDH/6PGL endoplasmic bifunctional protein [Includes: Hexose-6-phosphate dehydrogenase (Glucose 1-dehydrogenase) (GDH) (EC 1.1.1.47) (Glucose-6-phosphate dehydrogenase) (EC 1.1.1.363); 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)]
P06169	RHEA:45484 RHEA:54356 RHEA:21108 RHEA:18017 RHEA:14185 RHEA:55072 RHEA:50312 RHEA:54364 RHEA:54368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)
P0C618	RHEA:13813 RHEA:16737	Pseudomonas putida (Arthrobacter siderocapsulatus)	Benzene 1,2-dioxygenase subunit alpha (EC 1.14.12.3) (Benzene 1,2-dioxygenase P1 subunit) (Toluene 2,3-dioxygenase subunit alpha) (EC 1.14.12.11)
P13203	RHEA:14293 RHEA:14405 RHEA:21296 RHEA:18625	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	Glucose 1-dehydrogenase (GDH) (GlcDH) (EC 1.1.1.47) (Galactose 1-dehydrogenase) (EC 1.1.1.120, EC 1.1.1.48)
P16467	RHEA:45484 RHEA:54356 RHEA:21108 RHEA:18017 RHEA:14185 RHEA:55072 RHEA:50312 RHEA:54364 RHEA:54368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Pyruvate decarboxylase isozyme 2 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)
P24518	RHEA:21360 RHEA:14017	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)]
P26263	RHEA:45484 RHEA:54356 RHEA:21108 RHEA:18017 RHEA:14185 RHEA:55072 RHEA:50312 RHEA:54364 RHEA:54368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Pyruvate decarboxylase isozyme 3 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)
P27278	RHEA:21360 RHEA:14017	Escherichia coli (strain K12)	Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)]
P37450	RHEA:14569	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Propanediol dehydratase large subunit (EC 4.2.1.28) (Diol dehydratase large subunit) (DDH large subunit) (Propanediol utilization protein PduC)
P39485	RHEA:14293 RHEA:14405	Priestia megaterium (Bacillus megaterium)	Glucose 1-dehydrogenase 4 (EC 1.1.1.47) (GLCDH-IV)
P40288	RHEA:14293 RHEA:14405	Priestia megaterium (Bacillus megaterium)	Glucose 1-dehydrogenase (EC 1.1.1.47)
P42390	RHEA:14081 RHEA:10532	Zea mays (Maize)	Indole-3-glycerol phosphate lyase, chloroplastic (EC 4.1.2.8) (Benzoxazineless 1) (Indole synthase) (Tryptophan synthase alpha chain) (EC 4.2.1.20)
P44308	RHEA:21360 RHEA:14017	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Bifunctional NAD biosynthesis protein NadR [Includes: Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)]
P53915	RHEA:14017 RHEA:25568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Nicotinamide riboside kinase (NRK) (NmR-K) (EC 2.7.1.22) (Nicotinic acid riboside kinase) (EC 2.7.1.173) (Ribosylnicotinamide kinase) (RNK) (Ribosylnicotinic acid kinase)
P56201	RHEA:38215 RHEA:15841 RHEA:12556 RHEA:62064 RHEA:62068 RHEA:62072 RHEA:62076 RHEA:62088 RHEA:14293 RHEA:14405 RHEA:62080	Oryctolagus cuniculus (Rabbit)	GDH/6PGL endoplasmic bifunctional protein [Includes: Hexose-6-phosphate dehydrogenase (Glucose 1-dehydrogenase) (EC 1.1.1.47) (Glucose-6-phosphate dehydrogenase) (EC 1.1.1.363); 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)]
