Entry	Rhea ID	Organism	Protein names
A0A0R4IY06	RHEA:15801 RHEA:18689 RHEA:40487 RHEA:41223 RHEA:41348 RHEA:40431 RHEA:41360 RHEA:41364	Danio rerio (Zebrafish) (Brachydanio rerio)	Phospholipase A and acyltransferase 1 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4)
A0A3L7I2I8	RHEA:15801 RHEA:36231 RHEA:41223 RHEA:38779 RHEA:40811 RHEA:40427 RHEA:40519 RHEA:40431 RHEA:63304 RHEA:15177 RHEA:40435 RHEA:40831 RHEA:40827 RHEA:41067 RHEA:40479 RHEA:16645 RHEA:40463 RHEA:40467 RHEA:52812 RHEA:63256	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (2-lysophosphatidylcholine acylhydrolase) (EC 3.1.1.5) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (PLA2G6) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)
A1A4K5	RHEA:15965 RHEA:39003 RHEA:38927 RHEA:39927 RHEA:41684 RHEA:41143 RHEA:41588 RHEA:38995 RHEA:38991 RHEA:38915 RHEA:38983 RHEA:41131 RHEA:38979 RHEA:38975 RHEA:41400 RHEA:41135 RHEA:38919 RHEA:41139 RHEA:41712 RHEA:14445 RHEA:41416 RHEA:41412 RHEA:38999 RHEA:38931 RHEA:41716	Bos taurus (Bovine)	Autotaxin (EC 3.1.4.39) (EC 3.1.4.4) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 2) (E-NPP 2) (Extracellular lysophospholipase D) (LysoPLD)
B0BND0	RHEA:19545 RHEA:44720 RHEA:36083 RHEA:41127 RHEA:41119 RHEA:41003 RHEA:40999 RHEA:41095 RHEA:41091 RHEA:41115 RHEA:61684	Rattus norvegicus (Rat)	Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)
D2KX21	RHEA:15801 RHEA:18689 RHEA:40487 RHEA:41223 RHEA:41348 RHEA:40431 RHEA:41360 RHEA:41364	Rattus norvegicus (Rat)	Phospholipase A and acyltransferase 1 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (HRAS-like suppressor 1) (HRSL1) (Phospholipid-metabolizing enzyme A-C1) (Rat LRAT-like protein-2) (RLP-2)
F1N5C8	RHEA:19545 RHEA:44720 RHEA:36083 RHEA:41127 RHEA:41119 RHEA:41003 RHEA:40999 RHEA:41095 RHEA:41091 RHEA:41115 RHEA:61684	Bos taurus (Bovine)	Glycerophosphocholine choline phosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)
G5EEM9	RHEA:66708 RHEA:42212 RHEA:43968 RHEA:38699 RHEA:15801 RHEA:41223	Caenorhabditis elegans	Intracellular phospholipase A1 (IPLA-1) (PLA(1)) (EC 3.1.1.111) (EC 3.1.1.4)
O06319	RHEA:41223 RHEA:47348	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Phospholipase Culp4 (EC 3.1.1.-) (Cutinase-like protein 4) (Culp4)
O06769	RHEA:20856 RHEA:33551 RHEA:33555 RHEA:41299 RHEA:41295 RHEA:38891 RHEA:41279 RHEA:41275 RHEA:41267 RHEA:41283	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylsphingosine amidohydrolase)
O08709	RHEA:62632 RHEA:15801 RHEA:12937 RHEA:35983 RHEA:41223	Mus musculus (Mouse)	Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx)
