Entry	Rhea ID	Organism	Protein names
A0A1D6LTV0	RHEA:32551 RHEA:12869 RHEA:32559 RHEA:16965 RHEA:25500 RHEA:60028	Zea mays (Maize)	Alpha-terpineol synthase, chloroplastic (EC 4.2.3.111) (4-terpineol synthase) (EC 4.2.3.-) (Alpha-terpinolene synthase) (EC 4.2.3.113) (Beta-myrcene synthase) (EC 4.2.3.15) (Gamma-terpinene synthase) (EC 4.2.3.114) (Limonene synthase) (EC 4.2.3.16) (Terpene synthase 26, chloroplastic)
A0A8H7XP09	RHEA:31895 RHEA:28294 RHEA:68712 RHEA:27425 RHEA:16965 RHEA:32691 RHEA:68824 RHEA:32679	Psilocybe cubensis (Psychedelic mushroom) (Stropharia cubensis)	Sesquiterpene synthase cubC (EC 3.1.7.11) (EC 4.2.3.-) (EC 4.2.3.104) (EC 4.2.3.106) (EC 4.2.3.15) (EC 4.2.3.228) (EC 4.2.3.47) (EC 4.2.3.57) (Terpene cyclase cubC)
A2QHE5	RHEA:33227 RHEA:46920 RHEA:33807	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)
A4FVP2	RHEA:27421 RHEA:32691	Arabidopsis thaliana (Mouse-ear cress)	Terpenoid synthase 3, chloroplastic (AtTPS03) ((E)-beta-ocimene synthase) (EC 4.2.3.106) ((E,E)-alpha-farnesene synthase) (EC 4.2.3.46)
A5Y5L5	RHEA:32543 RHEA:68640 RHEA:68636 RHEA:32691 RHEA:16965 RHEA:25662 RHEA:32551	Nicotiana suaveolens (Australian tobacco)	1,8-cineol synthase, chloroplastic (EC 4.2.3.108) ((E)-beta-ocimene synthase) (EC 4.2.3.106) (Alpha-pinene synthase) (EC 4.2.3.-) (Alpha-terpineol synthase) (EC 4.2.3.111) (Beta-myrcene synthase) (EC 4.2.3.15) (Limonene synthase) (EC 4.2.3.-) (Sabinene synthase) (EC 4.2.3.-)
A6XH05	RHEA:32543 RHEA:25662 RHEA:25666 RHEA:32551 RHEA:16965 RHEA:68636	Salvia fruticosa (Greek sage)	Cineole synthase 1, chloroplastic (Sf-CinS1) (EC 4.2.3.108) (Alpha-pinene synthase) (EC 4.2.3.-) (Alpha-terpineol synthase) (EC 4.2.3.111) (Beta-pinene synthase) (EC 4.2.3.-) (Myrcene synthase) (EC 4.2.3.15) (Sabinene synthase) (EC 4.2.3.-)
A7IZZ1	RHEA:12869 RHEA:25500 RHEA:32575 RHEA:32579 RHEA:16965 RHEA:10940	Cannabis sativa (Hemp) (Marijuana)	(-)-limonene synthase TPS1, chloroplastic ((-)-(4S)-limonene synthase) (EC 4.2.3.16) ((+)-alpha-pinene synthase TPS1) (EC 4.2.3.121) ((+)-beta-pinene synthase TPS1) (EC 4.2.3.122) ((R)-limonene synthase) (EC 4.2.3.20) (Myrcene synthase TPS1) (EC 4.2.3.15) (Terpene synthase 1) (CsTPS1) (Terpene synthase 14 CT) (CsTPS14CT) (Terpinolene synthase TPS1) (EC 4.2.3.113)
A7IZZ2	RHEA:32575 RHEA:32579 RHEA:12869 RHEA:16965	Cannabis sativa (Hemp) (Marijuana)	(+)-alpha-pinene synthase TPS2, chloroplastic (EC 4.2.3.121) ((+)-beta-pinene synthase TPS2) (EC 4.2.3.122) ((-)-limonene synthase TPS2) ((-)-(4S)-limonene synthase) (EC 4.2.3.16) (Myrcene synthase TPS2) (EC 4.2.3.15) (Terpene synthase 2) (CsTPS2)
B6HQT0	RHEA:48340 RHEA:64788 RHEA:33627 RHEA:14781	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)	Acyl-CoA ligase (ACLA) (EC 6.2.1.-) (EC 6.2.1.14) (EC 6.2.1.2)
B6HVC6	RHEA:20956 RHEA:48340 RHEA:64788 RHEA:33627 RHEA:20373 RHEA:36299 RHEA:36251	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)	Phenylacetyl-CoA ligase (PCL) (EC 6.2.1.-) (EC 6.2.1.17) (EC 6.2.1.2) (EC 6.2.1.30) (EC 6.2.1.34)
