Entry	Rhea ID	Organism	Protein names
A0A1L8HV70	RHEA:20061 RHEA:19201 RHEA:23452	Xenopus laevis (African clawed frog)	Deoxycytidine kinase 1 (XldCK) (EC 2.7.1.74) (Deoxyadenosine kinase 1) (EC 2.7.1.76) (Deoxyguanosine kinase 1) (EC 2.7.1.113)
A7KS54	RHEA:19457	Alcaligenes sp. (strain NyZ215)	2-nitrophenol 2-monooxygenase (EC 1.14.13.31) (Ortho-nitrophenol 2-monooxygenase) (ONP 2-monooxygenase)
B1Q2B6	RHEA:34119 RHEA:20261	Cannabis sativa (Hemp) (Marijuana)	3,5,7-trioxododecanoyl-CoA synthase (EC 2.3.1.206) (Olivetol synthase) (EC 4.4.1.-) (Polyketide synthase-1) (Tetraketide synthase)
O14732	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:19933 RHEA:13105 RHEA:37343	Homo sapiens (Human)	Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2)
O55023	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Mus musculus (Mouse)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
O77591	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Sus scrofa (Pig)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
O95050	RHEA:53928 RHEA:53924 RHEA:23136 RHEA:19613	Homo sapiens (Human)	Indolethylamine N-methyltransferase (Indolamine N-methyltransferase) (EC 2.1.1.49) (EC 2.1.1.96) (Aromatic alkylamine N-methyltransferase) (Amine N-methyltransferase) (Arylamine N-methyltransferase) (Thioether S-methyltransferase) (TEMT)
P0A110	RHEA:19173	Pseudomonas putida (Arthrobacter siderocapsulatus)	Naphthalene 1,2-dioxygenase system, large oxygenase component (EC 1.14.12.12) (ISP NAP) (Naphthalene 1,2-dioxygenase ISP alpha) (Naphthalene 1,2-dioxygenase subunit alpha) (ND subunit alpha) (NDO subunit alpha)
P0A111	RHEA:19173	Pseudomonas sp. (strain C18)	Naphthalene 1,2-dioxygenase system, large oxygenase component (EC 1.14.12.12) (ISP NAP) (Naphthalene 1,2-dioxygenase ISP alpha) (Naphthalene 1,2-dioxygenase subunit alpha) (ND subunit alpha) (NDO subunit alpha)
P0A853	RHEA:19553	Escherichia coli (strain K12)	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)
