Entry	Rhea ID	Organism	Protein names
A0R618	RHEA:45588 RHEA:65008 RHEA:43712 RHEA:43704	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	Long-chain-fatty-acid--AMP ligase FadD32 (FAAL) (EC 6.2.1.20) (Acyl-AMP synthetase)
P40353	RHEA:17229 RHEA:16781 RHEA:65236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Alcohol O-acetyltransferase 1 (AATase 1) (EC 2.3.1.84) (EC 3.1.2.20)
P9WKZ1	RHEA:65716 RHEA:47620 RHEA:65728 RHEA:65724 RHEA:65732	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Alpha-ketoglutarate-dependent sulfate ester dioxygenase (EC 1.14.11.77) (Type II alkyl sulfatase)
P9WQ55	RHEA:50460 RHEA:56920 RHEA:63636 RHEA:45588 RHEA:52336 RHEA:63632 RHEA:74911 RHEA:74915 RHEA:74919 RHEA:74955 RHEA:74967 RHEA:74975 RHEA:28022 RHEA:64996 RHEA:65000 RHEA:65004 RHEA:65008 RHEA:65012 RHEA:63620 RHEA:43712 RHEA:46504 RHEA:64888 RHEA:43704 RHEA:64892 RHEA:63628 RHEA:43708 RHEA:63624	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Medium/long-chain-fatty-acid--[acyl-carrier-protein] ligase FadD10 (EC 6.2.1.20) (EC 6.2.1.47) (FAAL10)
Q3SY77	RHEA:65152 RHEA:56344 RHEA:56056 RHEA:56048 RHEA:55416 RHEA:17497	Homo sapiens (Human)	UDP-glycosyltransferase 3A2 (UDPGT 3A2) (EC 2.4.1.170) (EC 2.4.1.185)
Q64FJ6	RHEA:64632 RHEA:65460 RHEA:65456 RHEA:65444 RHEA:65484 RHEA:65464 RHEA:65400 RHEA:65404 RHEA:65448 RHEA:65452 RHEA:65528 RHEA:65532	Malus domestica (Apple) (Pyrus malus)	Alcohol acyl transferase 1 allele RGa (AAT1-RGa) (MpAAT1) (EC 2.3.1.-)
Q6E593	RHEA:30411 RHEA:36147 RHEA:64828 RHEA:64832 RHEA:64840 RHEA:64848 RHEA:64624 RHEA:64636 RHEA:64844 RHEA:64852	Petunia hybrida (Petunia)	Benzyl alcohol O-benzoyltransferase (PhBEBT1) (EC 2.3.1.196) (Acetyl CoA:3-hydroxybenzyl alcohol acetyltransferase) (EC 2.3.1.-) (Acetyl CoA:benzyl alcohol acetyltransferase) (EC 2.3.1.224) (Acetyl CoA:geraniol acetyltransferase) (EC 2.3.1.-) (Benzoyl coenzyme A:benzyl alcohol benzoyl transferase) (Benzyl CoA:benzyl alcohol/phenylethanol benzoyltransferase) (PhBPBT) (Benzyl CoA:(3Z)-hex-3-en-1-ol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:2-phenylethanol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:3-hydroxybenzyl alcohol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:butanol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:geraniol benzoyltransferase) (EC 2.3.1.-) (Benzyl CoA:octan-1-ol benzoyltransferase) (EC 2.3.1.-)
Q8JZZ0	RHEA:65152 RHEA:56344 RHEA:56056 RHEA:56048 RHEA:55416 RHEA:17497	Mus musculus (Mouse)	UDP-glycosyltransferase 3A2 (UDPGT 3A2) (EC 2.4.1.170) (EC 2.4.1.185)
Q9V6G5	RHEA:33731 RHEA:33731 RHEA:33731 RHEA:43796 RHEA:43800 RHEA:67456 RHEA:67488 RHEA:67520 RHEA:67676 RHEA:43828 RHEA:67516 RHEA:67672 RHEA:43824 RHEA:65036 RHEA:67668 RHEA:43820 RHEA:67584 RHEA:35843 RHEA:65040 RHEA:43804 RHEA:43808 RHEA:43812 RHEA:43816 RHEA:67432 RHEA:67500 RHEA:67504 RHEA:67508	Drosophila melanogaster (Fruit fly)	Tafazzin (TAZ) (dTAZ) (EC 2.3.1.-)
Q9WWU5	RHEA:65716 RHEA:47620 RHEA:65744 RHEA:65728 RHEA:65740	Pseudomonas putida (Arthrobacter siderocapsulatus)	Alpha-ketoglutarate-dependent sulfate ester dioxygenase (EC 1.14.11.77) (Alkylsulfatase) (Type II alkyl sulfatase)
S5RR11	RHEA:65768 RHEA:65772 RHEA:65776 RHEA:65780 RHEA:65784 RHEA:65788 RHEA:65792 RHEA:65796	Sphingobium sp. (strain YBL2)	N,N-dimethyl phenylurea N-demethylase subunit alpha (EC 1.14.15.38)
A0A498KFL4	RHEA:64632 RHEA:65400 RHEA:65404 RHEA:65444 RHEA:65460 RHEA:65464 RHEA:65448 RHEA:65452	Malus domestica (Apple) (Pyrus malus)	Alcohol acyl transferase 1 allele GSa (AAT1-GSa) (EC 2.3.1.-)
A7MAS5	RHEA:65148 RHEA:65152	Malus domestica (Apple) (Pyrus malus)	Phloretin 4'-O-glucosyltransferase (MdPh-4'-OGT) (EC 2.4.1.-) (Flavanone 7-O-beta-glucosyltransferase UGT75L17) (EC 2.4.1.185) (UDP-glycosyltransferase 75L17)
S5SC42	RHEA:65768 RHEA:65772 RHEA:65776 RHEA:65780 RHEA:65784 RHEA:65788 RHEA:65792 RHEA:65796	Sphingobium sp. (strain YBL2)	N,N-dimethyl phenylurea N-demethylase subunit beta (EC 1.14.15.38)
A0A6C0WW36	RHEA:65536	Camellia sinensis var. assamica (Assam tea) (Thea assamica)	1,3,7-trimethyluric acid N-methyltransferase CkTcS (EC 2.1.1.-) (Theacrine synthase) (CkTcS)
C5BK10	RHEA:50460 RHEA:56920 RHEA:63636 RHEA:65004 RHEA:65008 RHEA:65012	Teredinibacter turnerae (strain ATCC 39867 / T7901)	Medium-chain-fatty-acid--[acyl-carrier-protein] ligase TtuA (EC 6.2.1.47)
I1M2G5	RHEA:65828	Glycine max (Soybean) (Glycine hispida)	Neryl diphosphate diphosphatase, chloroplastic (EC 3.1.7.13) (Nerol synthase) (GmNES)
