Entry	Rhea ID	Organism	Protein names
A0A2Z5D854	RHEA:68548 RHEA:68564	Pastinaca sativa (Wild parsnip) (Anethum pastinaca)	Xanthotoxol synthase (EC 1.14.14.-) (Cytochrome P450 CYP71AZ4) (Fraxetin synthase) (EC 1.14.14.-)
A0A8H7XP09	RHEA:31895 RHEA:28294 RHEA:68712 RHEA:27425 RHEA:16965 RHEA:32691 RHEA:68824 RHEA:32679	Psilocybe cubensis (Psychedelic mushroom) (Stropharia cubensis)	Sesquiterpene synthase cubC (EC 3.1.7.11) (EC 4.2.3.-) (EC 4.2.3.104) (EC 4.2.3.106) (EC 4.2.3.15) (EC 4.2.3.228) (EC 4.2.3.47) (EC 4.2.3.57) (Terpene cyclase cubC)
A0A8H8CMW1	RHEA:31823 RHEA:33111 RHEA:56556 RHEA:68716 RHEA:33119 RHEA:32011 RHEA:32019 RHEA:68712	Psilocybe cubensis (Psychedelic mushroom) (Stropharia cubensis)	Cubebol synthase cubA (EC 4.2.3.-) (EC 4.2.3.127) (EC 4.2.3.128) (EC 4.2.3.129) (EC 4.2.3.91) (EC 4.2.3.98) (Sesquiterpene synthase cubA)
B5THE3	RHEA:68796 RHEA:33795 RHEA:68864	Mus musculus (Mouse)	Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]
D5KXD2	RHEA:31895 RHEA:28294 RHEA:68524 RHEA:25500 RHEA:68640 RHEA:16965 RHEA:32691 RHEA:68784 RHEA:68788	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Sesquiterpene synthase 12 (SlTPS12) (Terpene synthase 12) ((E)-beta-ocimene synthase TPS12) (EC 4.2.3.106) ((Z)-gamma-bisabolene synthase TPS12) (EC 4.2.3.-) (Alpha-humulene synthase TPS12) (EC 4.2.3.104) (Beta bisabolene synthase TPS12) (EC 4.2.3.-) (Beta caryophyllene synthase TPS12) (EC 4.2.3.57) (Beta-myrcene synthase TPS12) (EC 4.2.3.15) (Gamma-curcumene synthase TPS12) (EC 4.2.3.-) (Limonene synthase TPS12) (EC 4.2.3.-) (Terpinolene synthase TPS12) (EC 4.2.3.113)
G5CV52	RHEA:68524 RHEA:29511 RHEA:27425 RHEA:68400 RHEA:68468 RHEA:68640 RHEA:16965 RHEA:32691 RHEA:25500 RHEA:32559 RHEA:68788 RHEA:31427 RHEA:30471	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene synthase 17 (SlTPS17) ((+)-valencene synthase TPS17) (EC 4.2.3.73) ((E)-beta-farnesene synthase TPS17) (EC 4.2.3.47) ((E)-beta-ocimene synthase TPS17) (EC 4.2.3.106) ((E)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) ((Z)-beta-ocimene synthase TPS17) (EC 4.2.3.-) ((Z)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) (Alpha-bergamotene synthase TPS17) (EC 4.2.3.54, EC 4.2.3.81) (Beta-bisabolene synthase TPS17) (EC 4.2.3.-) (Beta-myrcene synthase TPS17) (EC 4.2.3.15) (Gamma-gurjunene synthase TPS17) (EC 4.2.3.-) (Gamma-terpinene synthase TPS17) (EC 4.2.3.114) (Limonene synthase TPS17) (EC 4.2.3.-) (Terpinolene synthase TPS17) (EC 4.2.3.113)
G5CV54	RHEA:68472 RHEA:68524 RHEA:68528 RHEA:26081 RHEA:28298 RHEA:68468	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Sesquiterpene synthase 14 (SlTPS14) (Terpene synthase 14) ((E)-gamma-bisabolene synthase TPS14) (EC 4.2.3.59) ((Z)-gamma-bisabolene synthase TPS14) (EC 4.2.3.40) (Alpha-bisabolene synthase TPS14) (EC 4.2.3.-) (Beta-bisabolene synthase TPS14) (EC 4.2.3.-)
G8H5M8	RHEA:31895 RHEA:28294 RHEA:68524 RHEA:25500 RHEA:68640 RHEA:16965 RHEA:32691 RHEA:68788 RHEA:68784	Solanum habrochaites (Wild tomato) (Lycopersicon hirsutum)	Sesquiterpene synthase 12 (ShTPS12) ((E)-beta-ocimene synthase TPS12) (EC 4.2.3.106) ((Z)-gamma-bisabolene synthase TPS12) (EC 4.2.3.-) (Alpha-humulene synthase TPS12) (EC 4.2.3.104) (Beta bisabolene synthase TPS12) (EC 4.2.3.-) (Beta caryophyllene synthase TPS12) (EC 4.2.3.57) (Beta-myrcene synthase TPS12) (EC 4.2.3.15) (Gamma-curcumene synthase TPS12) (EC 4.2.3.-) (Limonene synthase TPS12) (EC 4.2.3.-) (Terpinolene synthase TPS12) (EC 4.2.3.113)
G8H5M9	RHEA:68528 RHEA:68532 RHEA:68520 RHEA:28298 RHEA:27425 RHEA:68508 RHEA:68640 RHEA:16965	Solanum habrochaites (Wild tomato) (Lycopersicon hirsutum)	Sesquiterpene synthase 14a (ShTPS14a) ((E)-beta-farnesene synthase TPS14a) (EC 4.2.3.47) ((E)-gamma-bisabolene synthase TPS14a) (EC 4.2.3.59) ((Z)-alpha-bisabolene synthase TPS14a) (EC 4.2.3.-) ((Z)-beta-farnesene synthase TPS14a) (EC 4.2.3.-) (Beta-acoradiene synthase TPS14a) (EC 4.2.3.-) (Beta-bisabolene synthase TPS14a) (EC 4.2.3.-) (Beta-myrcene synthase TPS14a) (EC 4.2.3.15) (Limonene synthase TPS14a) (EC 4.2.3.-)
G8H5N0	RHEA:29511 RHEA:27425 RHEA:68400 RHEA:68524 RHEA:68468 RHEA:68640 RHEA:16965 RHEA:32691 RHEA:25500 RHEA:32559 RHEA:68788 RHEA:31427 RHEA:30471	Solanum habrochaites (Wild tomato) (Lycopersicon hirsutum)	Terpene synthase 17 (ShTPS17) ((+)-valencene synthase TPS17) (EC 4.2.3.73) ((E)-beta-farnesene synthase TPS17) (EC 4.2.3.47) ((E)-beta-ocimene synthase TPS17) (EC 4.2.3.106) ((E)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) ((Z)-beta-ocimene synthase TPS17) (EC 4.2.3.-) ((Z)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) (Alpha-bergamotene synthase TPS17) (EC 4.2.3.54, EC 4.2.3.81) (Beta-bisabolene synthase TPS17) (EC 4.2.3.-) (Beta-myrcene synthase TPS17) (EC 4.2.3.15) (Gamma-gurjunene synthase TPS17) (EC 4.2.3.-) (Gamma-terpinene synthase TPS17) (EC 4.2.3.114) (Limonene synthase TPS17) (EC 4.2.3.-) (Terpinolene synthase TPS17) (EC 4.2.3.113)
