Entry	Rhea ID	Organism	Protein names
A0A8M1PLI9	RHEA:69759 RHEA:12308 RHEA:15305 RHEA:16185 RHEA:67276 RHEA:44100 RHEA:69767 RHEA:67248 RHEA:67252	Danio rerio (Zebrafish) (Brachydanio rerio)	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8)
C0P9J6	RHEA:19105 RHEA:30695 RHEA:17985 RHEA:14381 RHEA:15305	Zea mays (Maize)	Aminoaldehyde dehydrogenase 1a (ZmAMADH1a) (EC 1.2.1.-) (4-trimethylammoniobutyraldehyde dehydrogenase AMADH1a) (EC 1.2.1.47) (Aminobutyraldehyde dehydrogenase AMADH1a) (EC 1.2.1.19) (Betaine aldehyde dehydrogenase AMADH1a) (EC 1.2.1.8) (Gamma-guanidinobutyraldehyde dehydrogenase AMADH1a) (EC 1.2.1.54)
G0RH19	RHEA:17025	Trichoderma reesei (strain QM6a) (Filamentous fungus) (Hypocrea jecorina)	L-xylulose reductase (EC 1.1.1.10)
G5DDC2	RHEA:19105 RHEA:30695 RHEA:17985 RHEA:14381 RHEA:15305	Zea mays (Maize)	Aminoaldehyde dehydrogenase 1b (ZmAMADH1b) (EC 1.2.1.-) (4-trimethylammoniobutyraldehyde dehydrogenase AMADH1b) (EC 1.2.1.47) (Aminobutyraldehyde dehydrogenase AMADH1b) (EC 1.2.1.19) (Betaine aldehyde dehydrogenase AMADH1b) (EC 1.2.1.8) (Gamma-guanidinobutyraldehyde dehydrogenase AMADH1b) (EC 1.2.1.54)
O04385	RHEA:17081	Clarkia breweri (Fairy fans) (Eucharidium breweri)	(Iso)eugenol O-methyltransferase (EC 2.1.1.146) (S-adenosysl-L-methionine:(Iso)eugenol O-methyltransferase) (IEMT)
O24174	RHEA:15305	Oryza sativa subsp. japonica (Rice)	Betaine aldehyde dehydrogenase 1 (OsBADH1) (EC 1.2.1.8)
O55023	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Mus musculus (Mouse)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
O77591	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Sus scrofa (Pig)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
P0C618	RHEA:13813 RHEA:16737	Pseudomonas putida (Arthrobacter siderocapsulatus)	Benzene 1,2-dioxygenase subunit alpha (EC 1.14.12.3) (Benzene 1,2-dioxygenase P1 subunit) (Toluene 2,3-dioxygenase subunit alpha) (EC 1.14.12.11)
P15245	RHEA:17061	Cutaneotrichosporon cutaneum (Yeast) (Trichosporon cutaneum)	Phenol hydroxylase (PHHY) (EC 1.14.13.7)
P15723	RHEA:15193	Escherichia coli (strain K12)	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)
P17202	RHEA:19105 RHEA:30695 RHEA:17985 RHEA:15305	Spinacia oleracea (Spinach)	Aminoaldehyde dehydrogenase BADH (EC 1.2.1.-) (4-trimethylammoniobutyraldehyde dehydrogenase BADH) (EC 1.2.1.47) (Aminobutyraldehyde dehydrogenase BADH) (EC 1.2.1.19) (Betaine aldehyde dehydrogenase) (SoBADH) (EC 1.2.1.8)
P17444	RHEA:17433 RHEA:15305	Escherichia coli (strain K12)	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)
P17445	RHEA:15305 RHEA:30067	Escherichia coli (strain K12)	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)
P20456	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Bos taurus (Bovine)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
P29218	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Homo sapiens (Human)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
P29219	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Xenopus laevis (African clawed frog)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1)
P32131	RHEA:15425	Escherichia coli (strain K12)	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)
P35575	RHEA:16689	Homo sapiens (Human)	Glucose-6-phosphatase catalytic subunit 1 (EC 3.1.3.9) (Glucose-6-phosphatase) (G-6-Pase) (G6Pase) (Glucose-6-phosphatase alpha) (G6Pase-alpha)
P35576	RHEA:16689	Mus musculus (Mouse)	Glucose-6-phosphatase catalytic subunit 1 (EC 3.1.3.9) (Glucose-6-phosphatase) (G-6-Pase) (G6Pase)
P43428	RHEA:16689	Rattus norvegicus (Rat)	Glucose-6-phosphatase catalytic subunit 1 (EC 3.1.3.9) (Glucose-6-phosphatase) (G-6-Pase) (G6Pase)
P49419	RHEA:12308 RHEA:69759 RHEA:15305 RHEA:16185 RHEA:67276 RHEA:44100 RHEA:69767 RHEA:67248 RHEA:67252	Homo sapiens (Human)	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase)
P52708	RHEA:15977	Sorghum bicolor (Sorghum) (Sorghum vulgare)	P-(S)-hydroxymandelonitrile lyase (HNL) (Hydroxynitrile lyase) (EC 4.1.2.11) [Cleaved into: P-(S)-hydroxymandelonitrile lyase chain A; P-(S)-hydroxymandelonitrile lyase chain B]
P52895	RHEA:34783 RHEA:84155 RHEA:84159 RHEA:84163 RHEA:84187 RHEA:69016 RHEA:84175 RHEA:42168 RHEA:84183 RHEA:84143 RHEA:42116 RHEA:20377 RHEA:53136 RHEA:85523 RHEA:14981 RHEA:85551 RHEA:85559 RHEA:85563 RHEA:24616 RHEA:42112 RHEA:45316 RHEA:16321 RHEA:16729 RHEA:16317 RHEA:42004 RHEA:24612 RHEA:42124 RHEA:42108	Homo sapiens (Human)	Aldo-keto reductase family 1 member C2 (EC 1.1.1.112) (EC 1.1.1.209) (EC 1.1.1.51) (EC 1.1.1.62) (EC 1.3.1.20) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2) (DD-2) (DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein) (DD/BABP) (Type III 3-alpha-hydroxysteroid dehydrogenase) (3-alpha-HSD3) (EC 1.1.1.357)
P70245	RHEA:15281 RHEA:33999 RHEA:11964 RHEA:15113	Mus musculus (Mouse)	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Cholesterol-5,6-epoxide hydrolase subunit EBP) (EC 3.3.2.11) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)
P71016	RHEA:15305	Bacillus subtilis (strain 168)	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8) (Glycine betaine aldehyde dehydrogenase)
P97697	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Rattus norvegicus (Rat)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
Q04828	RHEA:34783 RHEA:34787 RHEA:69284 RHEA:42112 RHEA:15857 RHEA:65496 RHEA:84155 RHEA:84159 RHEA:84163 RHEA:84187 RHEA:69016 RHEA:84175 RHEA:42168 RHEA:84183 RHEA:22944 RHEA:84143 RHEA:42116 RHEA:16297 RHEA:42120 RHEA:14981 RHEA:42156 RHEA:24616 RHEA:20377 RHEA:53120 RHEA:85523 RHEA:16729 RHEA:16321 RHEA:42124 RHEA:42004 RHEA:24612 RHEA:15853 RHEA:42108 RHEA:16317	Homo sapiens (Human)	Aldo-keto reductase family 1 member C1 (EC 1.1.1.-) (EC 1.1.1.112) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.357) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (EC 1.3.1.20) (20alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (3beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Chlordecone reductase homolog HAKRC) (Dihydrodiol dehydrogenase 1) (DD1) (High-affinity hepatic bile acid-binding protein) (HBAB)
Q0VCA5	RHEA:46148 RHEA:67648 RHEA:80083 RHEA:15193 RHEA:80079	Bos taurus (Bovine)	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-)
