Entry	Rhea ID	Organism	Protein names
A0A0K0JFP3	RHEA:22740 RHEA:11028 RHEA:16125 RHEA:17825	Brugia malayi (Filarial nematode worm)	Hexokinase (BmHK) (EC 2.7.1.1)
A2PYL6	RHEA:22740 RHEA:16125 RHEA:17825	Equus caballus (Horse)	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II)
A2PYL7	RHEA:22740 RHEA:16125 RHEA:17825	Equus zebra (Mountain zebra)	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II)
A2PYL8	RHEA:22740 RHEA:16125 RHEA:17825	Equus grevyi (Grevy's zebra)	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II)
A5U654	RHEA:22036 RHEA:17825	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	Polyphosphate glucokinase (Poly(P) glucokinase) (EC 2.7.1.63) (ATP-dependent glucokinase) (EC 2.7.1.2) (Polyphosphate--glucose phosphotransferase)
D4GSD6	RHEA:18145	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	Ketohexokinase (EC 2.7.1.3) (HvKHK)
O08528	RHEA:22740 RHEA:16125 RHEA:17825	Mus musculus (Mouse)	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II)
O64390	RHEA:22740 RHEA:16125 RHEA:17825	Solanum tuberosum (Potato)	Hexokinase-1 (EC 2.7.1.1) (StHK1)
O69762	RHEA:62412 RHEA:36307 RHEA:62416 RHEA:14517 RHEA:18725 RHEA:62424 RHEA:62428 RHEA:40991 RHEA:40995	Pseudomonas fluorescens	Hydroxycinnamoyl-CoA hydratase-lyase (HCHL) (EC 4.1.2.61) (P-hydroxycinnamoyl CoA hydratase/lyase) (Trans-feruloyl-CoA hydratase/vanillin synthase)
P04806	RHEA:22740 RHEA:16125 RHEA:17825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Hexokinase-1 (EC 2.7.1.1) (Hexokinase PI) (Hexokinase-A)
