Entry	Rhea ID	Organism	Protein names
A0A2I7G3B3	RHEA:60668 RHEA:60672 RHEA:60676 RHEA:10664 RHEA:58848 RHEA:34347	Tanacetum cinerariifolium (Dalmatian daisy) (Chrysanthemum cinerariifolium)	Alcohol dehydrogenase 2 (TcADH2) (EC 1.1.1.144) (EC 1.1.1.347) (Trans-chrysanthemal synthase) (EC 1.1.1.-)
A0A2R4QKX7	RHEA:68716 RHEA:33991	Piper nigrum (Black pepper)	Terpene synthase 3 (PnTPS3) (Copaene synthase) (PnCop) (EC 4.2.3.133) (Germacrene D synthase) (PnGDS) (EC 4.2.3.-)
A2QHE5	RHEA:33227 RHEA:46920 RHEA:33807	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)
B5THE3	RHEA:68796 RHEA:33795 RHEA:68864	Mus musculus (Mouse)	Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]
D5MTF8	RHEA:33975 RHEA:33979	Triticum aestivum (Wheat)	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1d, chloroplastic (EC 3.2.1.182) (Beta-glucosidase 1d) (TaGlu1d) (EC 3.2.1.21)
E3W9M3	RHEA:35431	Delphinium grandiflorum (Siberian larkspur) (Delphinium sinense)	Cyanidin 3-O-glucoside 7-O-glucosyltransferase (acyl-glucose) (AA7GT) (Dg AA7GT) (EC 2.4.1.300) (Acyl-glucose-dependent anthocyanin 7-O-glucosytransferase) (Beta-glucosidase like protein) (DgBGLUL)
H1ZV38	RHEA:34347 RHEA:10664	Castellaniella defragrans (strain DSM 12143 / CCUG 39792 / 65Phen) (Alcaligenes defragrans)	Geraniol dehydrogenase (GeDH) (EC 1.1.1.347) (Geraniol oxidation pathway protein A) (Perillyl-alcohol dehydrogenase) (EC 1.1.1.144)
O07006	RHEA:33227 RHEA:33807 RHEA:75055	Bacillus subtilis (strain 168)	Phenolic acid decarboxylase PadC (PAD) (EC 4.1.1.102)
O62653	RHEA:68796 RHEA:33795 RHEA:68864	Suncus murinus (Asian house shrew) (Musk shrew)	Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]
P07768	RHEA:68796 RHEA:33795 RHEA:68864	Oryctolagus cuniculus (Rabbit)	Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]
