Entry	Rhea ID	Organism	Protein names
E1XUJ2	RHEA:30711 RHEA:30715	Castellaniella defragrans (strain DSM 12143 / CCUG 39792 / 65Phen) (Alcaligenes defragrans)	Linalool dehydratase/isomerase (EC 4.2.1.127) (EC 5.4.4.4) (Geraniol isomerase) (Linalool dehydratase-isomerase) (Myrcene hydratase)
G5CV52	RHEA:68524 RHEA:29511 RHEA:27425 RHEA:68400 RHEA:68468 RHEA:68640 RHEA:16965 RHEA:32691 RHEA:25500 RHEA:32559 RHEA:68788 RHEA:31427 RHEA:30471	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene synthase 17 (SlTPS17) ((+)-valencene synthase TPS17) (EC 4.2.3.73) ((E)-beta-farnesene synthase TPS17) (EC 4.2.3.47) ((E)-beta-ocimene synthase TPS17) (EC 4.2.3.106) ((E)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) ((Z)-beta-ocimene synthase TPS17) (EC 4.2.3.-) ((Z)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) (Alpha-bergamotene synthase TPS17) (EC 4.2.3.54, EC 4.2.3.81) (Beta-bisabolene synthase TPS17) (EC 4.2.3.-) (Beta-myrcene synthase TPS17) (EC 4.2.3.15) (Gamma-gurjunene synthase TPS17) (EC 4.2.3.-) (Gamma-terpinene synthase TPS17) (EC 4.2.3.114) (Limonene synthase TPS17) (EC 4.2.3.-) (Terpinolene synthase TPS17) (EC 4.2.3.113)
G8H5N0	RHEA:29511 RHEA:27425 RHEA:68400 RHEA:68524 RHEA:68468 RHEA:68640 RHEA:16965 RHEA:32691 RHEA:25500 RHEA:32559 RHEA:68788 RHEA:31427 RHEA:30471	Solanum habrochaites (Wild tomato) (Lycopersicon hirsutum)	Terpene synthase 17 (ShTPS17) ((+)-valencene synthase TPS17) (EC 4.2.3.73) ((E)-beta-farnesene synthase TPS17) (EC 4.2.3.47) ((E)-beta-ocimene synthase TPS17) (EC 4.2.3.106) ((E)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) ((Z)-beta-ocimene synthase TPS17) (EC 4.2.3.-) ((Z)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) (Alpha-bergamotene synthase TPS17) (EC 4.2.3.54, EC 4.2.3.81) (Beta-bisabolene synthase TPS17) (EC 4.2.3.-) (Beta-myrcene synthase TPS17) (EC 4.2.3.15) (Gamma-gurjunene synthase TPS17) (EC 4.2.3.-) (Gamma-terpinene synthase TPS17) (EC 4.2.3.114) (Limonene synthase TPS17) (EC 4.2.3.-) (Terpinolene synthase TPS17) (EC 4.2.3.113)
H1ZV37	RHEA:34351 RHEA:31299	Castellaniella defragrans (strain DSM 12143 / CCUG 39792 / 65Phen) (Alcaligenes defragrans)	Geranial dehydrogenase (GaDH) (EC 1.2.1.86) (Geraniol oxidation pathway protein B) (Perillyl aldehyde dehydrogenase)
K0I977	RHEA:31539 RHEA:73079 RHEA:73071 RHEA:73075 RHEA:73083 RHEA:73103 RHEA:73107 RHEA:73111	Ocimum basilicum (Sweet basil)	Flavonoid 7-O-methyltransferase 1 (ObFOMT1) (EC 2.1.1.-) (4'-methylscutellarein 7-O-methyltransferase) (EC 2.1.1.-) (Acacetin 7-O-methyltransferase) (EC 2.1.1.-) (Apigenin 7-O-methyltransferase) (EC 2.1.1.-) (Chrysoeriol 7-O-methyltransferase) (EC 2.1.1.-) (Diosmetin 7-O-methyltransferase) (EC 2.1.1.-) (Luteolin 7-O-methyltransferase) (EC 2.1.1.-) (Naringenin 7-O-methyltransferase) (EC 2.1.1.232) (Scutellarein 7-O-methyltransferase) (EC 2.1.1.-)
K0II72	RHEA:73111 RHEA:73107 RHEA:73103 RHEA:73083 RHEA:31539 RHEA:73071 RHEA:73075 RHEA:73079	Ocimum basilicum (Sweet basil)	Flavonoid 7-O-methyltransferase 2 (ObFOMT2) (EC 2.1.1.-) (4'-methylscutellarein 7-O-methyltransferase) (EC 2.1.1.-) (Acacetin 7-O-methyltransferase) (EC 2.1.1.-) (Apigenin 7-O-methyltransferase) (EC 2.1.1.-) (Chrysoeriol 7-O-methyltransferase) (EC 2.1.1.-) (Diosmetin 7-O-methyltransferase) (EC 2.1.1.-) (Luteolin 7-O-methyltransferase) (EC 2.1.1.-) (Naringenin 7-O-methyltransferase) (EC 2.1.1.232) (Scutellarein 7-O-methyltransferase) (EC 2.1.1.-)
Q2NM15	RHEA:27425 RHEA:33991 RHEA:31427 RHEA:28294 RHEA:56556 RHEA:30427 RHEA:28643 RHEA:33103 RHEA:28266 RHEA:32699 RHEA:60020	Zea mays (Maize)	(E)-beta-farnesene synthase (EC 4.2.3.47) ((+)-germacrene D synthase) (EC 4.2.3.77) ((E)-alpha-bergamotene synthase) (EC 4.2.3.81) (Alpha-copaene synthase) (EC 4.2.3.133) (Alpha-muurolene synthase) (EC 4.2.3.125) (Beta-bisabolene synthase) (EC 4.2.3.55) (Beta-caryophyllene synthase) (EC 4.2.3.57) (Delta-cadinene synthase) (EC 4.2.3.-) (Sesquiphellandrene synthase) (EC 4.2.3.123) (Sesquisabinene A synthase) (EC 4.2.3.-) (Terpene synthase 10) (Zingiberene synthase) (EC 4.2.3.65)
Q40577	RHEA:28635 RHEA:31415 RHEA:31423 RHEA:31419	Nicotiana tabacum (Common tobacco)	5-epi-aristolochene synthase (TEAS) (EC 4.2.3.61) ((+)-2-epi-prezizaene synthase) (EC 4.2.3.226) ((-)-alpha-cedrene synthase) (EC 4.2.3.227)
Q49SP3	RHEA:29503 RHEA:31807 RHEA:31831	Pogostemon cablin (Patchouli) (Mentha cablin)	Patchoulol synthase (PatTps177) (EC 4.2.3.70) (Alpha-guaiene synthase) (EC 4.2.3.87) (Delta-guaiene synthase) (EC 4.2.3.93)
Q6JD70	RHEA:31991 RHEA:30471 RHEA:27425 RHEA:28266 RHEA:31419 RHEA:32031 RHEA:60016	Zea mays (Maize)	Sesquithujene synthase A (EC 4.2.3.102) ((S)-beta-bisabolene synthase) (EC 4.2.3.55) ((Z)-alpha-bergamotene synthase) (EC 4.2.3.54) (Beta-curcumene synthase) (EC 4.2.3.-) (Beta-farnesene synthase) (EC 4.2.3.47) (Gamma-curcumene synthase) (EC 4.2.3.94) (Sesquisabinene B synthase) (EC 4.2.3.-) (Terpene synthase 5) (tps5-Del1)
