Entry	Rhea ID	Organism	Protein names
C9JRZ8	RHEA:24616 RHEA:14981 RHEA:42120 RHEA:46628 RHEA:42156 RHEA:25033 RHEA:54916 RHEA:12168 RHEA:58424 RHEA:50616 RHEA:14697 RHEA:35607 RHEA:58416	Homo sapiens (Human)	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)
H9TB17	RHEA:16829 RHEA:18569 RHEA:58960 RHEA:58972 RHEA:56736 RHEA:22520 RHEA:23724	Cavia porcellus (Guinea pig)	Aldehyde oxidase 1 (EC 1.2.3.1) (Aryl-aldehyde oxidase 1) (EC 1.2.3.9) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-) (Pyridoxal oxidase 1) (EC 1.2.3.8)
M9PF61	RHEA:12789 RHEA:25033 RHEA:54916 RHEA:54920 RHEA:23592 RHEA:38111 RHEA:58420 RHEA:58424 RHEA:58428 RHEA:58336 RHEA:45312 RHEA:12168 RHEA:58776 RHEA:58512 RHEA:58752 RHEA:58592 RHEA:58756	Drosophila melanogaster (Fruit fly)	Aldo-keto reductase 1B (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldose reductase) (dAR1)
O54754	RHEA:16829 RHEA:56736 RHEA:22520 RHEA:18569 RHEA:58960 RHEA:23724 RHEA:58972	Mus musculus (Mouse)	Aldehyde oxidase 1 (EC 1.2.3.1) (Aryl-aldehyde oxidase 1) (EC 1.2.3.9) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-) (Pyridoxal oxidase 1) (EC 1.2.3.8) (Retinal oxidase)
O60218	RHEA:25033 RHEA:54916 RHEA:54920 RHEA:12168 RHEA:58416 RHEA:58336 RHEA:58420 RHEA:58424 RHEA:58428 RHEA:58432 RHEA:58436	Homo sapiens (Human)	Aldo-keto reductase family 1 member B10 (EC 1.1.1.300) (EC 1.1.1.54) (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein) (ARP) (hARP) (Small intestine reductase) (SI reductase)
P07943	RHEA:12789 RHEA:59924 RHEA:59928 RHEA:27445 RHEA:25229 RHEA:37967 RHEA:59932 RHEA:14909 RHEA:25033 RHEA:54916 RHEA:54920 RHEA:23592 RHEA:38111 RHEA:59944 RHEA:58420 RHEA:58424 RHEA:58428 RHEA:58336 RHEA:45312 RHEA:12168 RHEA:58776 RHEA:58512 RHEA:58752 RHEA:58592 RHEA:58756	Rattus norvegicus (Rat)	Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR)
P15121	RHEA:12789 RHEA:59924 RHEA:59928 RHEA:27445 RHEA:25229 RHEA:37967 RHEA:59932 RHEA:14909 RHEA:25033 RHEA:54916 RHEA:54920 RHEA:23592 RHEA:38111 RHEA:59944 RHEA:58420 RHEA:58424 RHEA:58428 RHEA:58336 RHEA:45312 RHEA:12168 RHEA:58776 RHEA:58512 RHEA:58752 RHEA:58592 RHEA:58756	Homo sapiens (Human)	Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Alditol:NADP oxidoreductase) (Aldose reductase) (AR)
P15122	RHEA:12789 RHEA:59924 RHEA:59928 RHEA:27445 RHEA:25229 RHEA:37967 RHEA:59932 RHEA:14909 RHEA:25033 RHEA:54916 RHEA:54920 RHEA:23592 RHEA:38111 RHEA:59944 RHEA:58420 RHEA:58424 RHEA:58428 RHEA:58336 RHEA:45312 RHEA:12168 RHEA:58776 RHEA:58512 RHEA:58752 RHEA:58592 RHEA:58756	Oryctolagus cuniculus (Rabbit)	Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR)
P16116	RHEA:12789 RHEA:59924 RHEA:59928 RHEA:27445 RHEA:25229 RHEA:37967 RHEA:59932 RHEA:14909 RHEA:25033 RHEA:54916 RHEA:54920 RHEA:23592 RHEA:38111 RHEA:59944 RHEA:58420 RHEA:58424 RHEA:58428 RHEA:58336 RHEA:45312 RHEA:12168 RHEA:58776 RHEA:58512 RHEA:58752 RHEA:58592 RHEA:58756	Bos taurus (Bovine)	Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (Aldehyde reductase) (Aldose reductase) (AR)
P43353	RHEA:11888 RHEA:16185 RHEA:10652 RHEA:69763 RHEA:44100 RHEA:69759 RHEA:33739 RHEA:59920 RHEA:69767 RHEA:67248 RHEA:36135 RHEA:11840 RHEA:80815 RHEA:59908 RHEA:59904 RHEA:80819 RHEA:59916 RHEA:60692 RHEA:59912 RHEA:21660	Homo sapiens (Human)	Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7) (Long-chain fatty aldehyde dehydrogenase) (EC 1.2.1.48) (Medium-chain fatty aldehyde dehydrogenase)
