Entry	Rhea ID	Organism	Protein names
A0QXD8	RHEA:48756 RHEA:48760	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	Erythritol/L-threitol dehydrogenase (EC 1.1.1.-)
A2QHE5	RHEA:33227 RHEA:46920 RHEA:33807	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)
I7H727	RHEA:31895 RHEA:47052 RHEA:56556 RHEA:68712	Toona sinensis (Chinese mahogany) (Cedrela sinensis)	Sesquiterpene synthase 2 (TsTPS2) (Alpha-humulene synthase TPS2) (EC 4.2.3.104) (Alpha-selinene synthase TPS2) (EC 4.2.3.198) (Beta-elemene synthase TPS2) (EC 4.2.3.-) (Delta-cadinene synthase TPS2) (EC 4.2.3.-)
O75845	RHEA:54320 RHEA:46556 RHEA:47184	Homo sapiens (Human)	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)
O81770	RHEA:14945 RHEA:48492 RHEA:48496 RHEA:48480	Arabidopsis thaliana (Mouse-ear cress)	Monogalactosyldiacylglycerol synthase 1, chloroplastic (AtMGD1) (EC 2.4.1.46) (MGDG synthase type A) (Protein EMBRYO DEFECTIVE 2797)
O82730	RHEA:14945 RHEA:48492 RHEA:48496 RHEA:48480	Arabidopsis thaliana (Mouse-ear cress)	Monogalactosyldiacylglycerol synthase 2, chloroplastic (AtMGD2) (EC 2.4.1.46) (MGDG synthase type B)
O88822	RHEA:54320 RHEA:46556 RHEA:47184	Mus musculus (Mouse)	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)
P06181	RHEA:48004 RHEA:30271	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	Ligninase H8 (EC 1.11.1.14) (Diarylpropane peroxidase) (Lignin peroxidase)
P08684	RHEA:17149 RHEA:47212 RHEA:47280 RHEA:47332 RHEA:47336 RHEA:47208 RHEA:47292 RHEA:47204 RHEA:53260 RHEA:53264 RHEA:46296 RHEA:53444 RHEA:53212 RHEA:53200 RHEA:47256 RHEA:47252 RHEA:47260 RHEA:55832 RHEA:55828 RHEA:50256 RHEA:46128 RHEA:46140 RHEA:46144 RHEA:50264 RHEA:52284 RHEA:52288 RHEA:52296 RHEA:52292 RHEA:49860 RHEA:49856 RHEA:39779 RHEA:52120 RHEA:52124 RHEA:53140 RHEA:53144 RHEA:53148 RHEA:42092 RHEA:51984 RHEA:20149 RHEA:55928 RHEA:55924 RHEA:32895 RHEA:49160	Homo sapiens (Human)	Cytochrome P450 3A4 (EC 1.14.14.1) (1,4-cineole 2-exo-monooxygenase) (1,8-cineole 2-exo-monooxygenase) (EC 1.14.14.56) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Albendazole sulfoxidase) (CYPIIIA3) (CYPIIIA4) (Cholesterol 25-hydroxylase) (Cytochrome P450 3A3) (Cytochrome P450 HLp) (Cytochrome P450 NF-25) (Cytochrome P450-PCN1) (Nifedipine oxidase) (Quinine 3-monooxygenase) (EC 1.14.14.55)
P11509	RHEA:49160	Homo sapiens (Human)	Cytochrome P450 2A6 (EC 1.14.14.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIA6) (Coumarin 7-hydroxylase) (Cytochrome P450 IIA3) (Cytochrome P450(I))
P11542	RHEA:48004 RHEA:30271	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	Ligninase H2 (EC 1.11.1.14) (Diarylpropane peroxidase) (LG4) (Lignin peroxidase)
P20813	RHEA:53148 RHEA:53144 RHEA:53140 RHEA:53196 RHEA:46304 RHEA:47212 RHEA:47208 RHEA:49160	Homo sapiens (Human)	Cytochrome P450 2B6 (EC 1.14.13.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIB6) (Cytochrome P450 IIB1)
P31837	RHEA:48004 RHEA:30271	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	Ligninase A (EC 1.11.1.14) (Diarylpropane peroxidase) (Lignin peroxidase)
P31838	RHEA:48004 RHEA:30271	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	Ligninase B (EC 1.11.1.14) (Diarylpropane peroxidase) (Lignin peroxidase)
P49012	RHEA:48004 RHEA:30271	Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	Ligninase LG2 (EC 1.11.1.14) (Diarylpropane peroxidase) (Lignin peroxidase)
P53045	RHEA:55244 RHEA:47056	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	C-4 methylsterol oxidase ERG25 (EC 1.14.18.-) (Ergosterol biosynthetic protein 25) (Sterol-C4-methyl oxidase ERG25) (SMO)
P53981	RHEA:47648 RHEA:24580 RHEA:46084 RHEA:66376	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Polyol phosphate phosphatase PYP1 (EC 3.1.3.50)
P9WEW0	RHEA:34695 RHEA:47052	Stereum hirsutum (strain FP-91666) (White-rot fungus)	Delta(6)-protoilludene synthase STEHIDRAFT_25180 (EC 4.2.3.-) (EC 4.2.3.135) (EC 4.2.3.198) (Terpene cyclase STEHIDRAFT_25180)
P9WEW1	RHEA:34695 RHEA:47052	Stereum hirsutum (strain FP-91666) (White-rot fungus)	Delta(6)-protoilludene synthase STEHIDRAFT_64702 (EC 4.2.3.-) (EC 4.2.3.135) (EC 4.2.3.198) (Terpene cyclase STEHIDRAFT_64702)
P9WEW2	RHEA:34695 RHEA:47052	Stereum hirsutum (strain FP-91666) (White-rot fungus)	Delta(6)-protoilludene synthase STEHIDRAFT_73029 (EC 4.2.3.-) (EC 4.2.3.135) (EC 4.2.3.198) (Terpene cyclase STEHIDRAFT_73029)
Q03034	RHEA:33227 RHEA:46920 RHEA:33807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)
Q15800	RHEA:55220 RHEA:55244 RHEA:47056 RHEA:62768 RHEA:62776 RHEA:62780 RHEA:62820	Homo sapiens (Human)	Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylsterol oxidase) (Sterol-C4-methyl oxidase)
Q8NMB0	RHEA:13309 RHEA:72535 RHEA:36311 RHEA:72539 RHEA:20305 RHEA:47936	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / BCRC 11384 / CCUG 27702 / LMG 3730 / NBRC 12168 / NCIMB 10025 / NRRL B-2784 / 534)	Vanillin dehydrogenase (EC 1.2.1.67) (Aromatic aldehyde dehydrogenase) (EC 1.2.1.64, EC 1.2.1.96)
Q9CRA4	RHEA:55220 RHEA:55244 RHEA:47056 RHEA:62768 RHEA:62776 RHEA:62780	Mus musculus (Mouse)	Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylsterol oxidase) (Sterol-C4-methyl oxidase)
Q9EQS5	RHEA:54320 RHEA:46556 RHEA:47184	Rattus norvegicus (Rat)	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)
Q9SI93	RHEA:14945 RHEA:48492 RHEA:48496 RHEA:48480	Arabidopsis thaliana (Mouse-ear cress)	Monogalactosyldiacylglycerol synthase 3, chloroplastic (AtMGD3) (EC 2.4.1.46) (MGDG synthase type C)
A0A385AJM6	RHEA:68712 RHEA:29511 RHEA:47052 RHEA:30383	Dictyostelium purpureum (Slime mold)	Terpene synthase 12 (EC 4.2.3.-) (EC 4.2.3.198) (EC 4.2.3.73) (EC 4.2.3.86)
A0A5Q0QRJ3	RHEA:56556 RHEA:33103 RHEA:33107 RHEA:47052	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)	Sesquiterpene synthase Agr1 (EC 4.2.3.-) (EC 4.2.3.125) (EC 4.2.3.126) (EC 4.2.3.198) (Terpene cyclase Agr1)
B9WJ66	RHEA:33227 RHEA:46920 RHEA:33807	Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841) (Yeast)	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)
