Entry	Rhea ID	Organism	Protein names
A0A0B5A051	RHEA:51876 RHEA:51752	Humulus lupulus (European hop)	2-acylphloroglucinol 4-prenyltransferase (EC 2.5.1.136) (Aromatic prenyltransferase PT1L) (Humulus lupulus prenyltransferase-1-like) (HlPT1L)
A0A3F2YLY8	RHEA:51008	Methylotuvimicrobium buryatense (Methylomicrobium buryatense)	Lanthanide-dependent methanol dehydrogenase XoxF (Lanthanide-dependent MDH) (Ln(3+)-dependent MDH) (EC 1.1.2.10)
A1IHE6	RHEA:49988	Gordonia sp. (strain TY-5)	Acetone monooxygenase (methyl acetate-forming) (ACMO) (EC 1.14.13.226) (NADPH-dependent acetone monooxygenase)
C0KTJ6	RHEA:51688	Cereibacter sphaeroides (Rhodobacter sphaeroides)	Galactitol 2-dehydrogenase (L-tagatose-forming) (EC 1.1.1.406) (Galactitol dehydrogenase) (GDH) (GatDH) (Galactitol:NAD(+) 5-oxidoreductase)
C5B120	RHEA:51008	Methylorubrum extorquens (strain ATCC 14718 / DSM 1338 / JCM 2805 / NCIMB 9133 / AM1) (Methylobacterium extorquens)	Lanthanide-dependent methanol dehydrogenase (Lanthanide-dependent MDH) (Ln(3+)-dependent MDH) (EC 1.1.2.10) (La(3+)- and PQQ-dependent MDH) (La(3+)-dependent methanol dehydrogenase) (La(3+)-dependent MDH)
E9Q816	RHEA:51984 RHEA:50328 RHEA:50332 RHEA:50324 RHEA:50320	Mus musculus (Mouse)	Cytochrome P450 2W1 (EC 1.14.14.-)
I0JWN7	RHEA:51008 RHEA:56272 RHEA:51004	Methylacidiphilum fumariolicum (strain SolV)	Lanthanide-dependent methanol dehydrogenase (Lanthanide-dependent MDH) (Ln(3+)-dependent MDH) (Ln-MDH) (EC 1.1.2.10)
P00330	RHEA:10736 RHEA:10740 RHEA:25290 RHEA:12168 RHEA:50704 RHEA:33199 RHEA:60972 RHEA:24528 RHEA:24620 RHEA:64560 RHEA:41984 RHEA:64692	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1)
P06169	RHEA:45484 RHEA:54356 RHEA:21108 RHEA:18017 RHEA:14185 RHEA:55072 RHEA:50312 RHEA:54364 RHEA:54368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)
P07327	RHEA:10736 RHEA:10740 RHEA:33199 RHEA:50704	Homo sapiens (Human)	Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha)
P16467	RHEA:45484 RHEA:54356 RHEA:21108 RHEA:18017 RHEA:14185 RHEA:55072 RHEA:50312 RHEA:54364 RHEA:54368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Pyruvate decarboxylase isozyme 2 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)
P26263	RHEA:45484 RHEA:54356 RHEA:21108 RHEA:18017 RHEA:14185 RHEA:55072 RHEA:50312 RHEA:54364 RHEA:54368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Pyruvate decarboxylase isozyme 3 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)
P28469	RHEA:10736 RHEA:10740 RHEA:33199 RHEA:50704 RHEA:41984	Macaca mulatta (Rhesus macaque)	Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha)
P97584	RHEA:50584 RHEA:11912 RHEA:50592 RHEA:50588 RHEA:50608 RHEA:51208 RHEA:51204 RHEA:51212 RHEA:13737 RHEA:50776 RHEA:50780 RHEA:50612 RHEA:50784 RHEA:64736 RHEA:50788 RHEA:50616	Rattus norvegicus (Rat)	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)
Q14914	RHEA:50584 RHEA:11912 RHEA:50592 RHEA:50588 RHEA:50608 RHEA:51208 RHEA:51204 RHEA:51212 RHEA:13737 RHEA:50776 RHEA:50780 RHEA:50612 RHEA:50784 RHEA:64736 RHEA:50788 RHEA:50616	Homo sapiens (Human)	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)
Q28719	RHEA:50584 RHEA:11912 RHEA:50592 RHEA:50588 RHEA:50608 RHEA:51208 RHEA:51204 RHEA:51212 RHEA:13737 RHEA:50776 RHEA:50780 RHEA:50612 RHEA:50784 RHEA:64736 RHEA:50788 RHEA:50616	Oryctolagus cuniculus (Rabbit)	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (ADRAB-F) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)
Q29073	RHEA:50584 RHEA:11912 RHEA:11916 RHEA:50592 RHEA:50588 RHEA:50608 RHEA:51208 RHEA:51204 RHEA:51212 RHEA:41592 RHEA:13737 RHEA:50776 RHEA:50780 RHEA:50612 RHEA:50784 RHEA:64736 RHEA:50788 RHEA:50616	Sus scrofa (Pig)	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)
Q3SZJ4	RHEA:50584 RHEA:11912 RHEA:50592 RHEA:50588 RHEA:50608 RHEA:51208 RHEA:51204 RHEA:51212 RHEA:13737 RHEA:50776 RHEA:50780 RHEA:50612 RHEA:50784 RHEA:64736 RHEA:50788 RHEA:50616	Bos taurus (Bovine)	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)
Q4K418	RHEA:50380	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	Phloroglucinol synthase (EC 2.3.1.253) (Type III polyketide synthase PhlD)
Q8GIX7	RHEA:10736 RHEA:10740 RHEA:25290 RHEA:50704 RHEA:33199 RHEA:41984	Moraxella sp. (strain TAE123)	Alcohol dehydrogenase (ADH) (EC 1.1.1.1)
Q8TAV3	RHEA:51984 RHEA:50328 RHEA:50332 RHEA:50324 RHEA:50320	Homo sapiens (Human)	Cytochrome P450 2W1 (EC 1.14.14.-) (CYPIIW1)
Q91YR9	RHEA:50584 RHEA:11912 RHEA:50592 RHEA:50588 RHEA:50608 RHEA:51208 RHEA:51204 RHEA:51212 RHEA:13737 RHEA:50776 RHEA:50780 RHEA:50612 RHEA:50784 RHEA:64736 RHEA:50788 RHEA:50616	Mus musculus (Mouse)	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)
Q9EQZ5	RHEA:50584 RHEA:11916 RHEA:50592 RHEA:50588 RHEA:50608 RHEA:51208 RHEA:51204 RHEA:51212 RHEA:13737 RHEA:50776 RHEA:50780 RHEA:50612 RHEA:50784 RHEA:64736 RHEA:50788 RHEA:50616	Cavia porcellus (Guinea pig)	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)
Q9XDN0	RHEA:50704	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	1-propanol dehydrogenase PduQ (EC 1.1.-.-) (Propanediol utilization protein PduQ)
A0QTU8	RHEA:49992 RHEA:55788 RHEA:55792 RHEA:55796	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	Propane 2-monooxygenase, hydroxylase component large subunit (EC 1.14.13.227) (Acetone 1-monooxygenase) (Methylethylketone 1-monooxygenase) (Phenol 4-monooxygenase)
E9RFS9	RHEA:49992 RHEA:55788 RHEA:55792 RHEA:55796	Mycolicibacterium goodii (Mycobacterium goodii)	Propane 2-monooxygenase, hydroxylase component large subunit (EC 1.14.13.227) (Acetone 1-monooxygenase) (Methylethylketone 1-monooxygenase) (Phenol 4-monooxygenase)
