Entry	Rhea ID	Organism	Protein names
A5Y5L5	RHEA:32543 RHEA:68640 RHEA:68636 RHEA:32691 RHEA:16965 RHEA:25662 RHEA:32551	Nicotiana suaveolens (Australian tobacco)	1,8-cineol synthase, chloroplastic (EC 4.2.3.108) ((E)-beta-ocimene synthase) (EC 4.2.3.106) (Alpha-pinene synthase) (EC 4.2.3.-) (Alpha-terpineol synthase) (EC 4.2.3.111) (Beta-myrcene synthase) (EC 4.2.3.15) (Limonene synthase) (EC 4.2.3.-) (Sabinene synthase) (EC 4.2.3.-)
A6XH05	RHEA:32543 RHEA:25662 RHEA:25666 RHEA:32551 RHEA:16965 RHEA:68636	Salvia fruticosa (Greek sage)	Cineole synthase 1, chloroplastic (Sf-CinS1) (EC 4.2.3.108) (Alpha-pinene synthase) (EC 4.2.3.-) (Alpha-terpineol synthase) (EC 4.2.3.111) (Beta-pinene synthase) (EC 4.2.3.-) (Myrcene synthase) (EC 4.2.3.15) (Sabinene synthase) (EC 4.2.3.-)
B0ZB56	RHEA:51704 RHEA:51696 RHEA:21608 RHEA:32111	Humulus lupulus (European hop)	Xanthohumol 4-O-methyltransferase (EC 2.1.1.339) (Desmethylxanthohumol 6'-O-methyltransferase) (EC 2.1.1.338) (Isoliquiritigenin 2'-O-methyltransferase) (EC 2.1.1.154) (O-methyltransferase 2) (HlOMT2)
B6BQB2	RHEA:31979	Pelagibacter sp. (strain HTCC7211)	Trimethylamine monooxygenase (TMA monooxygenase) (Tmm) (EC 1.14.13.148)
B8EIZ7	RHEA:31979	Methylocella silvestris (strain DSM 15510 / CIP 108128 / LMG 27833 / NCIMB 13906 / BL2)	Trimethylamine monooxygenase (TMA monooxygenase) (Tmm) (EC 1.14.13.148)
G0Y7D3	RHEA:68644 RHEA:32547	Litsea cubeba (Aromatic litsea) (Laurus cubeba)	Alpha-thujene synthase TPS3, chloroplastic (EC 4.2.3.-) ((+)-sabinene synthase TPS3) (EC 4.2.3.110) (Terpene synthase 3) (LcTPS3)
H6WZF2	RHEA:32551 RHEA:68636 RHEA:16965 RHEA:68640 RHEA:32543	Nicotiana alata (Winged tobacco) (Persian tobacco)	Terpineol synthase, chloroplastic (EC 4.2.3.111) (1,8-cineol synthase, chloroplastic) (EC 4.2.3.108) (Beta-myrcene synthase) (EC 4.2.3.15) (Limonene synthase) (EC 4.2.3.-) (Sabinene synthase) (EC 4.2.3.-)
K5BDL0	RHEA:32059	Mycolicibacterium hassiacum (strain DSM 44199 / CIP 105218 / JCM 12690 / 3849) (Mycobacterium hassiacum)	Glucosylglycerate hydrolase (GG hydrolase) (EC 3.2.1.208)
P0DI76	RHEA:32543	Arabidopsis thaliana (Mouse-ear cress)	1,8-cineole synthase 1, chloroplastic (AtTPS-CIN1) (EC 4.2.3.108) (Limonene cyclase) (Terpenoid synthase 27) (AtTPS27)
P0DI77	RHEA:32543	Arabidopsis thaliana (Mouse-ear cress)	1,8-cineole synthase 2, chloroplastic (AtTPS-CIN2) (EC 4.2.3.108) (Limonene cyclase) (Terpenoid synthase 23) (AtTPS23)
P16549	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Sus scrofa (Pig)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)
P17636	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Oryctolagus cuniculus (Rabbit)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (FMO 1A1) (FMO form 1) (FMO 1) (Hepatic flavin-containing monooxygenase 1) (Trimethylamine monooxygenase)
P31513	RHEA:31979 RHEA:24468 RHEA:69819 RHEA:58720 RHEA:10796	Homo sapiens (Human)	Flavin-containing monooxygenase 3 (EC 1.14.13.148) (EC 1.14.13.32) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Dimethylaniline oxidase 3) (FMO II) (FMO form 2) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase)
P32417	RHEA:31979 RHEA:24468 RHEA:69819 RHEA:58720 RHEA:10796	Oryctolagus cuniculus (Rabbit)	Flavin-containing monooxygenase 3 (EC 1.14.13.148) (EC 1.14.13.32) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Dimethylaniline oxidase 3) (FMO 1D1) (FMO II) (FMO form 2) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase)
P36365	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Rattus norvegicus (Rat)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)
P49328	RHEA:31979 RHEA:24468 RHEA:69819 RHEA:58720 RHEA:10796	Cavia porcellus (Guinea pig)	Flavin-containing monooxygenase 3 (EC 1.14.13.148) (EC 1.14.13.32) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)
P50285	RHEA:69819 RHEA:74111 RHEA:31979 RHEA:24468	Mus musculus (Mouse)	Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)
