Entry	Rhea ID	Organism	Protein names
A0A3L7I2I8	RHEA:15801 RHEA:36231 RHEA:41223 RHEA:38779 RHEA:40811 RHEA:40427 RHEA:40519 RHEA:40431 RHEA:63304 RHEA:15177 RHEA:40435 RHEA:40831 RHEA:40827 RHEA:41067 RHEA:40479 RHEA:16645 RHEA:40463 RHEA:40467 RHEA:52812 RHEA:63256	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (2-lysophosphatidylcholine acylhydrolase) (EC 3.1.1.5) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (PLA2G6) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)
A0JNU3	RHEA:21016 RHEA:15177 RHEA:17777 RHEA:32967 RHEA:44696 RHEA:44708 RHEA:32991 RHEA:42364 RHEA:44652 RHEA:40435 RHEA:40887 RHEA:40807 RHEA:40891 RHEA:40895 RHEA:40899 RHEA:40827 RHEA:40903 RHEA:40879 RHEA:40959 RHEA:40907 RHEA:41320 RHEA:41352	Mus musculus (Mouse)	60 kDa lysophospholipase (EC 3.1.1.5) (Lysophospholipase-transacylase) [Includes: L-asparaginase (EC 3.5.1.1) (L-asparagine amidohydrolase); 1-alkyl-2-acetylglycerophosphocholine esterase (EC 3.1.1.47) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)]
A2AJ88	RHEA:15177 RHEA:40807 RHEA:40895 RHEA:40499 RHEA:40435 RHEA:49092	Mus musculus (Mouse)	Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-) (EC 3.1.1.5) (Neuropathy target esterase-related esterase) (NRE) (NTE-related esterase)
A4IFJ5	RHEA:15801 RHEA:36231 RHEA:15177 RHEA:40427 RHEA:41075 RHEA:40519 RHEA:40811 RHEA:41307 RHEA:41071 RHEA:41067 RHEA:41123 RHEA:40451 RHEA:40435 RHEA:53704 RHEA:53700 RHEA:53696 RHEA:53692 RHEA:53688 RHEA:41271 RHEA:41099 RHEA:41087	Bos taurus (Bovine)	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]
B0BND0	RHEA:19545 RHEA:44720 RHEA:36083 RHEA:41127 RHEA:41119 RHEA:41003 RHEA:40999 RHEA:41095 RHEA:41091 RHEA:41115 RHEA:61684	Rattus norvegicus (Rat)	Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)
B4F753	RHEA:32979 RHEA:51184 RHEA:40499 RHEA:44584 RHEA:44588 RHEA:40895 RHEA:41091 RHEA:38491 RHEA:44552 RHEA:26132 RHEA:44320 RHEA:44316 RHEA:44312 RHEA:39963 RHEA:38487 RHEA:44732 RHEA:44728 RHEA:48428 RHEA:39959 RHEA:38363 RHEA:59364 RHEA:59368 RHEA:59372	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Lysophosphatidylserine lipase ABHD12 (EC 3.1.1.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-)
D3ZHR2	RHEA:67072 RHEA:67080 RHEA:40787 RHEA:67088 RHEA:40791 RHEA:67084 RHEA:40783 RHEA:67092	Rattus norvegicus (Rat)	ATP-binding cassette sub-family D member 1 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy protein) (ALDP)
D3ZRC4	RHEA:15801 RHEA:18689 RHEA:44604 RHEA:44068 RHEA:15177 RHEA:40643 RHEA:40651 RHEA:40427 RHEA:40819 RHEA:38779 RHEA:40811 RHEA:40639 RHEA:40647 RHEA:40431 RHEA:40571 RHEA:40823 RHEA:41063 RHEA:40579 RHEA:67156 RHEA:40435 RHEA:52812 RHEA:67272	Rattus norvegicus (Rat)	Calcium-independent phospholipase A2-gamma (EC 3.1.1.-) (EC 3.1.1.5) (Intracellular membrane-associated calcium-independent phospholipase A2 gamma) (iPLA2-gamma) (Patatin-like phospholipase domain-containing protein 8)
F1N5C8	RHEA:19545 RHEA:44720 RHEA:36083 RHEA:41127 RHEA:41119 RHEA:41003 RHEA:40999 RHEA:41095 RHEA:41091 RHEA:41115 RHEA:61684	Bos taurus (Bovine)	Glycerophosphocholine choline phosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)
O54728	RHEA:15801 RHEA:36231 RHEA:15177 RHEA:12044 RHEA:41223 RHEA:38779 RHEA:40923 RHEA:40811 RHEA:40971 RHEA:40911 RHEA:40919 RHEA:40975 RHEA:40915 RHEA:40435 RHEA:38575 RHEA:41111 RHEA:40983 RHEA:40979 RHEA:41103 RHEA:41107 RHEA:40927 RHEA:41219 RHEA:42604 RHEA:39939 RHEA:38487 RHEA:38491	Rattus norvegicus (Rat)	Phospholipase B1, membrane-associated (Phospholipase B) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)
