Entry	Rhea ID	Organism	Protein names
A4Q998	RHEA:27646 RHEA:13233 RHEA:27738 RHEA:27750	Anopheles gambiae (African malaria mosquito)	Purine nucleoside phosphorylase (EC 2.4.2.1) (AgPNP) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)
A5K9M4	RHEA:27646 RHEA:13233 RHEA:27738 RHEA:27750	Plasmodium vivax (strain Salvador I)	Purine nucleoside phosphorylase (EC 2.4.2.1) (PvPNP)
B6ZKM3	RHEA:78763 RHEA:78887 RHEA:78883 RHEA:78891 RHEA:78743 RHEA:12917	Carapichea ipecacuanha (Ipecac) (Callicocca ipecacuanha)	Ipecoside beta-D-glucosidase IpeGLU1 (EC 3.2.1.220) (Ipecac alkaloid beta-glucosidase 1) (IpeGLU1) (Strictosidine beta-glucosidase IpeGLU1) (EC 3.2.1.105)
O58328	RHEA:11460 RHEA:62084	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	ADP-dependent glucose/glucosamine kinase (EC 2.7.1.-) (EC 2.7.1.147) (ADP-dependent glucokinase) (ADP-GK) (ADPGK) (Glucosamine kinase) (GlcN kinase)
O60909	RHEA:12404 RHEA:22932 RHEA:17745	Homo sapiens (Human)	Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2)
P00491	RHEA:27646 RHEA:13233 RHEA:27738 RHEA:27750	Homo sapiens (Human)	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)
P04062	RHEA:13269 RHEA:14297 RHEA:11956 RHEA:58264 RHEA:58324 RHEA:58316 RHEA:70303 RHEA:70307 RHEA:70311 RHEA:70315 RHEA:70235 RHEA:70255 RHEA:70239 RHEA:70251 RHEA:62028	Homo sapiens (Human)	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)
P08037	RHEA:12404 RHEA:22932 RHEA:17745 RHEA:31499 RHEA:62552 RHEA:62548 RHEA:83935 RHEA:83939 RHEA:83955 RHEA:83959 RHEA:83963 RHEA:83975 RHEA:85259 RHEA:85291 RHEA:85271 RHEA:85399 RHEA:85387 RHEA:85391 RHEA:84127 RHEA:85227 RHEA:85155 RHEA:85151 RHEA:85471 RHEA:85223 RHEA:84131 RHEA:83979 RHEA:83983	Bos taurus (Bovine)	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]
P0ABP8	RHEA:19805 RHEA:36431 RHEA:27646 RHEA:27642 RHEA:13233 RHEA:27742 RHEA:27738 RHEA:27750	Escherichia coli (strain K12)	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1)
P0C037	RHEA:19805 RHEA:27642 RHEA:52540 RHEA:13233 RHEA:27646 RHEA:16037 RHEA:24388 RHEA:27638	Escherichia coli (strain K12)	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)
P15291	RHEA:12404 RHEA:22932 RHEA:17745 RHEA:31499 RHEA:62552 RHEA:62548 RHEA:83935 RHEA:83939 RHEA:83955 RHEA:83959 RHEA:83963 RHEA:83975 RHEA:85259 RHEA:85291 RHEA:85271 RHEA:85399 RHEA:85387 RHEA:85391 RHEA:84127 RHEA:85227 RHEA:85155 RHEA:85151 RHEA:85471 RHEA:85223 RHEA:84131 RHEA:83979 RHEA:83983	Homo sapiens (Human)	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]
P15535	RHEA:12404 RHEA:22932 RHEA:17745 RHEA:31499 RHEA:62552 RHEA:62548 RHEA:83935 RHEA:83939 RHEA:83955 RHEA:83959 RHEA:83963 RHEA:83975 RHEA:85259 RHEA:85291 RHEA:85271 RHEA:85399 RHEA:85387 RHEA:85391 RHEA:84127 RHEA:85227 RHEA:85155 RHEA:85151 RHEA:85471 RHEA:85223 RHEA:84131 RHEA:83979 RHEA:83983	Mus musculus (Mouse)	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]
P17439	RHEA:13269 RHEA:14297 RHEA:11956 RHEA:58264 RHEA:58316 RHEA:58324 RHEA:70303 RHEA:70307 RHEA:70311 RHEA:70315 RHEA:70235 RHEA:70255 RHEA:70239 RHEA:70251	Mus musculus (Mouse)	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)
P17563	RHEA:11812	Mus musculus (Mouse)	Methanethiol oxidase (MTO) (EC 1.8.3.4) (56 kDa selenium-binding protein) (SBP56) (SP56) (Selenium-binding protein 1)
P18886	RHEA:12661 RHEA:17177 RHEA:44828 RHEA:40279 RHEA:44832 RHEA:44840 RHEA:44844 RHEA:44848 RHEA:44852 RHEA:44856 RHEA:44860	Rattus norvegicus (Rat)	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)
P23492	RHEA:27646 RHEA:13233 RHEA:27738 RHEA:27750	Mus musculus (Mouse)	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)
P23786	RHEA:12661 RHEA:17177 RHEA:44828 RHEA:40279 RHEA:44832 RHEA:44840 RHEA:44844 RHEA:44848 RHEA:44852 RHEA:44856 RHEA:44860	Homo sapiens (Human)	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)
P32198	RHEA:12661 RHEA:16261	Rattus norvegicus (Rat)	Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A) (Succinyltransferase CPT1A) (EC 2.3.1.-)
P50416	RHEA:12661 RHEA:16261	Homo sapiens (Human)	Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A) (Succinyltransferase CPT1A) (EC 2.3.1.-)
P52825	RHEA:12661 RHEA:17177 RHEA:44828 RHEA:40279 RHEA:44832 RHEA:44840 RHEA:44844 RHEA:44848 RHEA:44852 RHEA:44856 RHEA:44860	Mus musculus (Mouse)	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)
