Entry	Rhea ID	Organism	Protein names
A0A1V0QSG6	RHEA:31895 RHEA:29511 RHEA:16965 RHEA:67400 RHEA:80399	Cannabis sativa (Hemp) (Marijuana)	Allo-aromadendrene synthase TPS4FN (EC 4.2.3.-) (Alpha-humulene synthase TPS4FN) (EC 4.2.3.104) (Myrcene synthase TPS4FN) (EC 4.2.3.15) (Palustrol synthase TPS4FN) (EC 4.2.3.-) (Terpene synthase 4FN) (CsTPS4FN) (Valencene synthase TPS4FN) (EC 4.2.3.73)
D3ZMY7	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Rattus norvegicus (Rat)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
F1N2K1	RHEA:53892 RHEA:30231 RHEA:70407	Bos taurus (Bovine)	Prenylcysteine oxidase 1 (EC 1.8.3.5) (Prenylcysteine lyase)
G5CV52	RHEA:68524 RHEA:29511 RHEA:27425 RHEA:68400 RHEA:68468 RHEA:68640 RHEA:16965 RHEA:32691 RHEA:25500 RHEA:32559 RHEA:68788 RHEA:31427 RHEA:30471	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene synthase 17 (SlTPS17) ((+)-valencene synthase TPS17) (EC 4.2.3.73) ((E)-beta-farnesene synthase TPS17) (EC 4.2.3.47) ((E)-beta-ocimene synthase TPS17) (EC 4.2.3.106) ((E)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) ((Z)-beta-ocimene synthase TPS17) (EC 4.2.3.-) ((Z)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) (Alpha-bergamotene synthase TPS17) (EC 4.2.3.54, EC 4.2.3.81) (Beta-bisabolene synthase TPS17) (EC 4.2.3.-) (Beta-myrcene synthase TPS17) (EC 4.2.3.15) (Gamma-gurjunene synthase TPS17) (EC 4.2.3.-) (Gamma-terpinene synthase TPS17) (EC 4.2.3.114) (Limonene synthase TPS17) (EC 4.2.3.-) (Terpinolene synthase TPS17) (EC 4.2.3.113)
G8H5N0	RHEA:29511 RHEA:27425 RHEA:68400 RHEA:68524 RHEA:68468 RHEA:68640 RHEA:16965 RHEA:32691 RHEA:25500 RHEA:32559 RHEA:68788 RHEA:31427 RHEA:30471	Solanum habrochaites (Wild tomato) (Lycopersicon hirsutum)	Terpene synthase 17 (ShTPS17) ((+)-valencene synthase TPS17) (EC 4.2.3.73) ((E)-beta-farnesene synthase TPS17) (EC 4.2.3.47) ((E)-beta-ocimene synthase TPS17) (EC 4.2.3.106) ((E)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) ((Z)-beta-ocimene synthase TPS17) (EC 4.2.3.-) ((Z)-gamma-bisabolene synthase TPS17) (EC 4.2.3.-) (Alpha-bergamotene synthase TPS17) (EC 4.2.3.54, EC 4.2.3.81) (Beta-bisabolene synthase TPS17) (EC 4.2.3.-) (Beta-myrcene synthase TPS17) (EC 4.2.3.15) (Gamma-gurjunene synthase TPS17) (EC 4.2.3.-) (Gamma-terpinene synthase TPS17) (EC 4.2.3.114) (Limonene synthase TPS17) (EC 4.2.3.-) (Terpinolene synthase TPS17) (EC 4.2.3.113)
H9N289	RHEA:36267 RHEA:36271 RHEA:36279 RHEA:36275 RHEA:30315 RHEA:36283	Pseudomonas putida (Arthrobacter siderocapsulatus)	Methylxanthine N1-demethylase NdmA (EC 1.14.13.178) (1-methylxanthine demethylase)
O24915	RHEA:33079 RHEA:17805 RHEA:13617 RHEA:29859	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Aminodeoxyfutalosine nucleosidase (AFL nucleosidase) (Aminofutalosine nucleosidase) (EC 3.2.2.30) (5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase) (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (6-amino-6-deoxyfutalosine N-ribosylhydrolase)
O43451	RHEA:29643 RHEA:29639 RHEA:29635 RHEA:29631 RHEA:27970 RHEA:68796 RHEA:68800 RHEA:68804 RHEA:68864 RHEA:68808	Homo sapiens (Human)	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)
O46411	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Bos taurus (Bovine)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
O75106	RHEA:25265 RHEA:59416 RHEA:30591	Homo sapiens (Human)	Amine oxidase [copper-containing] 2 (EC 1.4.3.21) (Amine oxidase copper-containing 2) (Retina-specific copper amine oxidase) (RAO) (Semicarbazide-sensitive amine oxidase) (SSAO)
P09848	RHEA:10076 RHEA:69639 RHEA:30679 RHEA:69647 RHEA:69655 RHEA:69659 RHEA:69663 RHEA:69667 RHEA:69671 RHEA:69675 RHEA:69679 RHEA:69683 RHEA:69687 RHEA:69699 RHEA:69703 RHEA:69707 RHEA:69711	Homo sapiens (Human)	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]
P09849	RHEA:10076 RHEA:69639 RHEA:30679 RHEA:69647 RHEA:69655 RHEA:69659 RHEA:69663 RHEA:69667 RHEA:69671 RHEA:69675 RHEA:69679 RHEA:69683 RHEA:69687 RHEA:69699 RHEA:69703 RHEA:69707 RHEA:69711	Oryctolagus cuniculus (Rabbit)	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]
