Entry	Rhea ID	Organism	Protein names
A8QL52	RHEA:13781 RHEA:60996 RHEA:61240 RHEA:61244 RHEA:61236 RHEA:61232 RHEA:51404 RHEA:19025 RHEA:61228 RHEA:61224 RHEA:61248 RHEA:61260 RHEA:61264 RHEA:14437 RHEA:20728	Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	L-amino-acid oxidase (Bf-LAAO) (LAO) (EC 1.4.3.2)
C8VG90	RHEA:10336 RHEA:26101	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Homocitrate dehydratase) (EC 4.2.1.-)
D2GZV9	RHEA:36799 RHEA:22156 RHEA:64876 RHEA:35207 RHEA:64880 RHEA:61436	Ailuropoda melanoleuca (Giant panda)	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)
E1BPW0	RHEA:36799 RHEA:22156 RHEA:64876 RHEA:35207 RHEA:64880 RHEA:61436	Bos taurus (Bovine)	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)
E1C1L6	RHEA:36799 RHEA:22156 RHEA:64876 RHEA:35207 RHEA:64880 RHEA:61436	Gallus gallus (Chicken)	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)
F4JYE9	RHEA:23584	Arabidopsis thaliana (Mouse-ear cress)	Dihydrofolate synthetase (AtDFA) (EC 6.3.2.12) (Protein GLOBULAR ARREST 1)
I6Y0R5	RHEA:23584 RHEA:10580	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)
O13917	RHEA:17973 RHEA:25424	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)
O18956	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64896 RHEA:64900 RHEA:64876	Bos taurus (Bovine)	Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)
O35795	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:64896 RHEA:64900 RHEA:64876	Rattus norvegicus (Rat)	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.5) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)
O53166	RHEA:10336 RHEA:17941	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (Iron-responsive protein-like) (IRP-like) (Probable 2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (RNA-binding protein)
O55026	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64896 RHEA:64900 RHEA:64876 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156	Mus musculus (Mouse)	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.5) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)
O75354	RHEA:36799 RHEA:35207 RHEA:22156 RHEA:64876	Homo sapiens (Human)	Ectonucleoside triphosphate diphosphohydrolase 6 (NTPDase 6) (EC 3.6.1.6) (CD39 antigen-like 2)
O75355	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:64896 RHEA:64900 RHEA:64876	Homo sapiens (Human)	Ectonucleoside triphosphate diphosphohydrolase 3 (NTPDase 3) (eNTPDase-3) (EC 3.6.1.5) (CD39 antigen-like 3) (Ecto-ATP diphosphohydrolase 3) (Ecto-ATPDase 3) (Ecto-ATPase 3) (Ecto-apyrase 3) (HB6)
O75356	RHEA:36799 RHEA:22156 RHEA:64876 RHEA:35207 RHEA:64880 RHEA:61436	Homo sapiens (Human)	Nucleoside diphosphate phosphatase ENTPD5 (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Ectonucleoside triphosphate diphosphohydrolase 5) (NTPDase 5) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (Inosine diphosphate phosphatase ENTPD5) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)
P00492	RHEA:17973 RHEA:25424	Homo sapiens (Human)	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)
P00493	RHEA:17973 RHEA:25424	Mus musculus (Mouse)	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8) (HPRT B)
P00494	RHEA:17973 RHEA:25424	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)
P07833	RHEA:17973 RHEA:25424 RHEA:10800	Plasmodium falciparum (isolate K1 / Thailand)	Hypoxanthine-guanine-xanthine phosphoribosyltransferase (HGPRT) (HGXPRT) (HGXPRTase) (EC 2.4.2.22) (EC 2.4.2.8)
P08192	RHEA:23584 RHEA:10580 RHEA:51904 RHEA:51912	Escherichia coli (strain K12)	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)
P09339	RHEA:10336 RHEA:57500	Bacillus subtilis (strain 168)	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Aconitate/2-methylaconitate hydratase) (EC 4.2.1.-) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)
P0A9M2	RHEA:17973 RHEA:25424	Escherichia coli (strain K12)	Hypoxanthine phosphoribosyltransferase (HPRT) (EC 2.4.2.8) (6-oxopurine phosphoribosyltransferase) (6-oxopurine PRTase)
P0A9M5	RHEA:25424 RHEA:10800 RHEA:17973	Escherichia coli (strain K12)	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)
P0ADR8	RHEA:13425 RHEA:20129 RHEA:52708 RHEA:30075 RHEA:20469 RHEA:52704 RHEA:52712	Escherichia coli (strain K12)	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase (EC 3.2.2.-) (EC 3.2.2.10) (AMP nucleosidase) (EC 3.2.2.4) (CMP nucleosidase) (GMP nucleosidase) (IMP nucleosidase) (UMP nucleosidase) (dTMP nucleosidase)
P0AFC0	RHEA:25302	Escherichia coli (strain K12)	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphatase) (dATP pyrophosphohydrolase)
P16276	RHEA:10336	Sus scrofa (Pig)	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)
P19414	RHEA:10336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)
P20004	RHEA:10336	Bos taurus (Bovine)	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)
P20035	RHEA:17973 RHEA:25424 RHEA:10800	Plasmodium falciparum (isolate FCR-3 / Gambia)	Hypoxanthine-guanine-xanthine phosphoribosyltransferase (HGPRT) (HGXPRT) (HGXPRTase) (EC 2.4.2.22) (EC 2.4.2.8)
P21399	RHEA:10336	Homo sapiens (Human)	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)
