Entry	Rhea ID	Organism	Protein names
A0JNC4	RHEA:32727 RHEA:35327 RHEA:36475 RHEA:35379 RHEA:36503 RHEA:36511 RHEA:35319 RHEA:35315 RHEA:36523	Bos taurus (Bovine)	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
A1L3X0	RHEA:32727 RHEA:35327 RHEA:36475 RHEA:35379 RHEA:36503 RHEA:36511 RHEA:35319 RHEA:35315 RHEA:36523	Homo sapiens (Human)	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
A3MU08	RHEA:43628 RHEA:43528	Pyrobaculum calidifontis (strain DSM 21063 / JCM 11548 / VA1)	NAD-dependent L-serine dehydrogenase (EC 1.1.1.387) (L-serine 3-dehydrogenase) (L-SerDH)
B3EY95	RHEA:35711	Acetobacter aceti	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18) (Succinyl-coenzyme A (CoA):acetate CoA-transferase) (SCACT)
C8VSZ2	RHEA:43120	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	Alpha-ketoglutarate-dependent xanthine dioxygenase xanA (EC 1.14.11.48)
D4ADY9	RHEA:32727 RHEA:35327 RHEA:36475 RHEA:35379 RHEA:36503 RHEA:36511 RHEA:35319 RHEA:35315 RHEA:36523	Rattus norvegicus (Rat)	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
O35949	RHEA:32727 RHEA:35327 RHEA:35315 RHEA:35319 RHEA:36511 RHEA:36503 RHEA:36523 RHEA:36507 RHEA:39167	Mus musculus (Mouse)	Very long chain fatty acid elongase 3 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl3) (CIN-2) (Cold-inducible glycoprotein of 30 kDa) (ELOVL fatty acid elongase 3) (ELOVL FA elongase 3) (Elongation of very long chain fatty acids protein 3) (Very long chain 3-ketoacyl-CoA synthase 3) (Very long chain 3-oxoacyl-CoA synthase 3)
O48666	RHEA:32299 RHEA:32295	Panax ginseng (Korean ginseng)	Squalene synthase 1 (PgSS) (PgSS1) (PgssA) (SQS 1) (SQS 4) (EC 2.5.1.21) (FPP:FPP farnesyltransferase SS1) (Farnesyl-diphosphate farnesyltransferase SS1)
P25358	RHEA:32727 RHEA:35319 RHEA:35315 RHEA:35327 RHEA:36507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fatty acid elongase 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELO2) (Elongation of fatty acids protein 2) (Fenpropimorph resistance protein 1) (Glucan synthesis protein 1) (Very-long-chain 3-oxoacyl-CoA synthase 2) (v-SNARE bypass mutant gene 2 protein)
P28903	RHEA:51476 RHEA:51616 RHEA:51620 RHEA:51624 RHEA:51628	Escherichia coli (strain K12)	Anaerobic ribonucleoside-triphosphate reductase (EC 1.1.98.6) (Class III ribonucleoside-triphosphate reductase)
