Entry	Rhea ID	Organism	Protein names
A0A075TRC0	RHEA:12240	Penicillium expansum (Blue mold rot fungus)	6-methylsalicylic acid synthase (6MSAS) (EC 2.3.1.165) (Non-reducing polyketide synthase patK) (Patulin biosynthesis cluster protein K)
A0A096P8D3	RHEA:23632	Ostreococcus tauri (Marine green alga)	Isocitrate dehydrogenase (NAD(+)), mitochondrial (OtIDH) (EC 1.1.1.41)
A0A0H3LKL4	RHEA:27333	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus)	6-hydroxynicotinate 3-monooxygenase (6-HNA monooxygenase) (EC 1.14.13.114)
A0A2I9	RHEA:27746 RHEA:16877	Unknown prokaryotic organism	Cysteine/Cysteine sulfinic acid decarboxylase (EC 4.1.1.-) (EC 4.1.1.29) (Cysteine decarboxylase) (L-cysteine sulfinate decarboxylase) (CSD) (Sulfinoalanine decarboxylase)
A1TFU9	RHEA:27329	Mycolicibacterium vanbaalenii (strain DSM 7251 / JCM 13017 / BCRC 16820 / KCTC 9966 / NRRL B-24157 / PYR-1) (Mycobacterium vanbaalenii)	FAD-dependent urate hydroxylase (EC 1.14.13.113) (Flavoprotein urate hydroxylase)
A6T923	RHEA:27329	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	FAD-dependent urate hydroxylase (EC 1.14.13.113) (FAD-dependent urate oxidase)
B7G620	RHEA:23632	Phaeodactylum tricornutum (strain CCAP 1055/1)	Isocitrate dehydrogenase [NAD(+)] 1, mitochondrial (PtIDH1) (EC 1.1.1.41)
I1SB12	RHEA:11428 RHEA:59312 RHEA:59316 RHEA:59352 RHEA:59344 RHEA:59324	Microdochium nivale (Pink snow mold) (Lanosa nivalis)	Carbohydrate oxidase (EC 1.1.3.-) (EC 1.1.3.5) (Lactose oxidase) (LaO)
I6XD65	RHEA:14545 RHEA:35063	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Nicotinamidase/pyrazinamidase (Nicotinamidase) (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)
K9L4P7	RHEA:11428	Penicillium chrysogenum (Penicillium notatum)	Glucose oxidase (GOD) (GOX) (EC 1.1.3.4) (Beta-D-glucose:oxygen 1-oxido-reductase)
O58679	RHEA:19497 RHEA:17785 RHEA:25221 RHEA:16877	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	L-aspartate/L-glutamate decarboxylase (ADC/GAD) (EC 4.1.1.11) (EC 4.1.1.15) (PhGAD)
P13006	RHEA:11428	Aspergillus niger	Glucose oxidase (GOD) (GOx) (EC 1.1.3.4) (Beta-D-glucose:oxygen 1-oxido-reductase)
P23670	RHEA:19729	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)	Acetoacetate decarboxylase (AAD) (AADase) (ADC) (EC 4.1.1.4)
P25553	RHEA:14277 RHEA:20001	Escherichia coli (strain K12)	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)
P28241	RHEA:23632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)
P28834	RHEA:23632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)
P37063	RHEA:20848	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	Pyruvate oxidase (EC 1.2.3.3) (Pyruvic oxidase) (POX)
P40495	RHEA:11900	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Homoisocitrate dehydrogenase, mitochondrial (HIcDH) (EC 1.1.1.87)
P50213	RHEA:23632	Homo sapiens (Human)	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)
P53184	RHEA:14545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase)
P76251	RHEA:18365	Escherichia coli (strain K12)	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83) (D-malate degradation protein A) (D-malate oxidase)
P81156	RHEA:11428	Penicillium amagasakiense	Glucose oxidase (GOD) (GOx) (EC 1.1.3.4) (Beta-D-glucose:oxygen 1-oxido-reductase)
P86491	RHEA:27333	Pseudomonas fluorescens	6-hydroxynicotinate 3-monooxygenase (6-HNA monooxygenase) (EC 1.14.13.114)
P93762	RHEA:11428 RHEA:59312 RHEA:59344 RHEA:59316 RHEA:59352	Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa)	Hexose oxidase (HOx) (EC 1.1.3.5) [Cleaved into: Hexose oxidase, 40 kDa form; Hexose oxidase, 29 kDa form]
Q0CJ59	RHEA:12240	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	6-methylsalicylic acid synthase (6-MSAS) (EC 2.3.1.165) (Polyketide synthase atX) (Terreic acid biosynthesis protein X)
Q51945	RHEA:18853 RHEA:16457 RHEA:15209 RHEA:13317 RHEA:18365	Pseudomonas putida (Arthrobacter siderocapsulatus)	Tartrate dehydrogenase/decarboxylase (TDH) (EC 1.1.1.93) (EC 4.1.1.73) (D-malate dehydrogenase [decarboxylating]) (EC 1.1.1.83)
Q58130	RHEA:32271 RHEA:32715 RHEA:18365	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	3-isopropylmalate/3-methylmalate dehydrogenase (EC 1.1.1.85) (EC 1.1.1.n5) (3-isopropylmalate dehydrogenase) (3-IPM-DH) (IMDH) (IPMDH) (Beta-IPM dehydrogenase) (D-malate dehydrogenase [decarboxylating]) (EC 1.1.1.83)
