Entry	Rhea ID	Organism	Protein names
C4TP09	RHEA:19473 RHEA:19477	Paenibacillus sp	4-hydroxybenzoate 3-monooxygenase (NAD(P)H) (EC 1.14.13.33) (4-hydroxybenzoate 3-hydroxylase) (4HB 3-hydroxylase)
O26061	RHEA:29043	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
O70473	RHEA:15937 RHEA:14909 RHEA:18925 RHEA:12168 RHEA:23592 RHEA:38111 RHEA:27986 RHEA:58668 RHEA:20193 RHEA:78375 RHEA:63500	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-)
O95864	RHEA:47140 RHEA:47144 RHEA:37023 RHEA:36999 RHEA:46064 RHEA:39567 RHEA:39571	Homo sapiens (Human)	Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)
P00438	RHEA:19477	Pseudomonas fluorescens	p-hydroxybenzoate hydroxylase (PHBH) (PHBHase) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
P00904	RHEA:21732 RHEA:11768	Escherichia coli (strain K12)	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]
P00905	RHEA:21732 RHEA:11768	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]
P00908	RHEA:21732 RHEA:21540 RHEA:23476	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]
P14550	RHEA:15937 RHEA:12168 RHEA:23592 RHEA:38111 RHEA:27986 RHEA:58336 RHEA:58668 RHEA:14909 RHEA:18925 RHEA:58776 RHEA:78375 RHEA:63500	Homo sapiens (Human)	Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-)
P16250	RHEA:15469 RHEA:21540	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	Phosphoribosyl isomerase A (1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase) (EC 5.3.1.16) (N-(5'-phosphoribosyl)anthranilate isomerase) (PRAI) (EC 5.3.1.24) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)
P20586	RHEA:19477	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
P38286	RHEA:48680 RHEA:39151 RHEA:39171 RHEA:39183 RHEA:39195 RHEA:39207	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)
P50384	RHEA:11768	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)
P50578	RHEA:15937 RHEA:23592 RHEA:38111 RHEA:14909 RHEA:18925 RHEA:12168 RHEA:27986 RHEA:58668 RHEA:20193 RHEA:58776 RHEA:78375 RHEA:63500	Sus scrofa (Pig)	Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-)
P51635	RHEA:15937 RHEA:14909 RHEA:18925 RHEA:12168 RHEA:23592 RHEA:38111 RHEA:27986 RHEA:58668 RHEA:20193 RHEA:58776 RHEA:78375 RHEA:63500	Rattus norvegicus (Rat)	Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (3-DG-reducing enzyme) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-)
P9WG57	RHEA:29043	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
Q23221	RHEA:47140 RHEA:47144	Caenorhabditis elegans	Delta(6)-fatty-acid desaturase fat-3 (FAT-3) (EC 1.14.19.3) (Delta(6)-fatty-acid desaturase) (Ceeld6) (Fatty acid desaturase 3)
Q3ZCJ2	RHEA:15937 RHEA:14909 RHEA:18925 RHEA:12168 RHEA:23592 RHEA:38111 RHEA:27986 RHEA:58668 RHEA:20193 RHEA:58776 RHEA:78375 RHEA:63500	Bos taurus (Bovine)	Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-)
Q5R5D5	RHEA:15937 RHEA:14909 RHEA:18925 RHEA:12168 RHEA:23592 RHEA:38111 RHEA:27986 RHEA:58668 RHEA:20193 RHEA:58776 RHEA:78375 RHEA:63500	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-)
Q92370	RHEA:21540 RHEA:23476 RHEA:21732	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]
Q9AGP8	RHEA:17077 RHEA:45756	Arthrobacter globiformis	Dimethylglycine oxidase (DMGO) (EC 1.5.3.10)
