Entry	Rhea ID	Organism	Protein names
B0YD89	RHEA:23780 RHEA:16845	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	2-methylcitrate synthase, mitochondrial (Methylcitrate synthase) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase 2) (EC 2.3.3.16)
H8F0D7	RHEA:23780 RHEA:16845	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase) (CS) (EC 2.3.3.16)
I6Y9Q3	RHEA:23780 RHEA:16845	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase) (EC 2.3.3.16)
O34002	RHEA:23780 RHEA:16845	Antarctic bacterium DS2-3R	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase) (EC 2.3.3.16)
O75390	RHEA:16845	Homo sapiens (Human)	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)
O87198	RHEA:12929 RHEA:16845	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	Homocitrate synthase (HCS) (EC 2.3.3.14)
P00889	RHEA:16845	Sus scrofa (Pig)	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)
P00890	RHEA:16845	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Citrate synthase, mitochondrial (EC 2.3.3.1)
P08679	RHEA:16845	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Citrate synthase, peroxisomal (EC 2.3.3.16)
P0ABH7	RHEA:16845	Escherichia coli (strain K12)	Citrate synthase (EC 2.3.3.16)
P15454	RHEA:20780	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Guanylate kinase (EC 2.7.4.8) (GMP kinase)
P20115	RHEA:16845	Arabidopsis thaliana (Mouse-ear cress)	Citrate synthase 4, mitochondrial (EC 2.3.3.16)
P31006	RHEA:20780	Sus scrofa (Pig)	Guanylate kinase (EC 2.7.4.8) (GMP kinase)
P31660	RHEA:23780 RHEA:16845	Escherichia coli (strain K12)	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase) (EC 2.3.3.16)
P43635	RHEA:16845	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Citrate synthase 3, mitochondrial (EC 2.3.3.1)
P46195	RHEA:20780	Bos taurus (Bovine)	Guanylate kinase (EC 2.7.4.8) (GMP kinase)
Q16774	RHEA:20780	Homo sapiens (Human)	Guanylate kinase (EC 2.7.4.8) (GMP kinase) (Guanylate kinase 1)
Q50I20	RHEA:23780 RHEA:16845	Aspergillus fumigatus (Neosartorya fumigata)	2-methylcitrate synthase, mitochondrial (Methylcitrate synthase) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase 1) (EC 2.3.3.16)
Q56063	RHEA:23780 RHEA:16845	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	2-methylcitrate synthase (2-MCS) (mcs) (EC 2.3.3.5) (Citrate synthase) (EC 2.3.3.16)
Q57600	RHEA:24836	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase (EC 6.3.4.23) (5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate--formate ligase)
Q58185	RHEA:25860	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV)
Q64520	RHEA:20780	Mus musculus (Mouse)	Guanylate kinase (EC 2.7.4.8) (GMP kinase) (Guanylate kinase 1)
Q6C793	RHEA:23780 RHEA:16845	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	2-methylcitrate synthase, mitochondrial (Methylcitrate synthase) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase 2) (EC 2.3.3.16)
Q8MQU6	RHEA:16845	Dictyostelium discoideum (Social amoeba)	Citrate synthase, peroxisomal (EC 2.3.3.16)
Q8VHF5	RHEA:16845	Rattus norvegicus (Rat)	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)
Q9CZU6	RHEA:16845	Mus musculus (Mouse)	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)
Q9M682	RHEA:20780	Arabidopsis thaliana (Mouse-ear cress)	Guanylate kinase 2 (AtGK2) (EC 2.7.4.8) (GMP kinase 2)
