Entry	Rhea ID	Organism	Protein names
I6WU39	RHEA:34123	Cannabis sativa (Hemp) (Marijuana)	Olivetolic acid cyclase (EC 4.4.1.26)
O02691	RHEA:22432 RHEA:13281 RHEA:14929 RHEA:42004 RHEA:24612 RHEA:19409 RHEA:30799 RHEA:31195 RHEA:31159 RHEA:41992 RHEA:42008 RHEA:41980 RHEA:42016 RHEA:42020 RHEA:42012 RHEA:42036 RHEA:42028 RHEA:42024	Bos taurus (Bovine)	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)
O05307	RHEA:48340 RHEA:15421 RHEA:43740 RHEA:33631 RHEA:33627 RHEA:33623 RHEA:33619 RHEA:30751 RHEA:33615 RHEA:44228 RHEA:33607 RHEA:44204 RHEA:44212 RHEA:44216 RHEA:44220 RHEA:44224 RHEA:44192 RHEA:44196 RHEA:44208 RHEA:44200	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Medium/long-chain-fatty-acid--CoA ligase FadD6 (EC 6.2.1.2) (EC 6.2.1.3) (FACL6)
O08756	RHEA:22432 RHEA:13281 RHEA:14929 RHEA:42004 RHEA:24612 RHEA:19409 RHEA:30799 RHEA:31195 RHEA:31159 RHEA:41992 RHEA:42008 RHEA:41980 RHEA:42016 RHEA:42020 RHEA:42012 RHEA:42036 RHEA:42028 RHEA:42024	Mus musculus (Mouse)	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)
O33855	RHEA:48340 RHEA:43740 RHEA:44088 RHEA:33631 RHEA:33627 RHEA:33623 RHEA:33619 RHEA:33607 RHEA:44936 RHEA:19713	Mycobacterium avium	Medium-chain acyl-CoA ligase Mig (EC 6.2.1.2) (Macrophage-induced gene) (Medium-chain fatty acid acyl-CoA synthetase)
O46629	RHEA:21564 RHEA:78899 RHEA:78903 RHEA:78599 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:31111 RHEA:83099 RHEA:47400 RHEA:47444 RHEA:47460 RHEA:83251 RHEA:82935 RHEA:82943 RHEA:83007 RHEA:83135 RHEA:83219 RHEA:83367 RHEA:83383 RHEA:83399 RHEA:84447 RHEA:84451 RHEA:84455 RHEA:84459 RHEA:84695 RHEA:84699 RHEA:84703 RHEA:84707 RHEA:84711 RHEA:84715 RHEA:84839	Bos taurus (Bovine)	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (3-oxoacyl-CoA thiolase) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Long chain 3-ketoacyl-CoA thiolase) (LCKAT)]
O48666	RHEA:32299 RHEA:32295	Panax ginseng (Korean ginseng)	Squalene synthase 1 (PgSS) (PgSS1) (PgssA) (SQS 1) (SQS 4) (EC 2.5.1.21) (FPP:FPP farnesyltransferase SS1) (Farnesyl-diphosphate farnesyltransferase SS1)
O62742	RHEA:16865 RHEA:10408 RHEA:40343 RHEA:46344 RHEA:21564 RHEA:78899 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:47400 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:31111 RHEA:62960 RHEA:62960	Oryctolagus cuniculus (Rabbit)	Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X)
O70351	RHEA:22432 RHEA:13281 RHEA:14929 RHEA:42004 RHEA:24612 RHEA:19409 RHEA:30799 RHEA:31195 RHEA:31159 RHEA:41992 RHEA:42008 RHEA:41980 RHEA:42016 RHEA:42020 RHEA:42012 RHEA:42036 RHEA:42028 RHEA:42024	Rattus norvegicus (Rat)	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)
O95470	RHEA:18593 RHEA:33507	Homo sapiens (Human)	Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase)
O95573	RHEA:15421 RHEA:19713 RHEA:36139 RHEA:52116 RHEA:52112 RHEA:52108 RHEA:52016 RHEA:52012 RHEA:48340 RHEA:30751 RHEA:33619 RHEA:33623 RHEA:33615 RHEA:46208 RHEA:33607 RHEA:33647 RHEA:33651 RHEA:44936 RHEA:44932 RHEA:67848 RHEA:38883	Homo sapiens (Human)	Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2)
P07264	RHEA:32287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
P07857	RHEA:16865 RHEA:10408 RHEA:46344 RHEA:40343 RHEA:21564 RHEA:78899 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:47400 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:31111 RHEA:62960 RHEA:62960	Bos taurus (Bovine)	Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X)
P07871	RHEA:21564 RHEA:21036 RHEA:78895 RHEA:85327 RHEA:85331 RHEA:78639 RHEA:78567 RHEA:83127 RHEA:83083 RHEA:39131 RHEA:39147 RHEA:78899 RHEA:78583 RHEA:78599 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:83095 RHEA:83099 RHEA:47400 RHEA:47444 RHEA:47460 RHEA:83331 RHEA:83367 RHEA:83383 RHEA:83399 RHEA:84391 RHEA:84311 RHEA:84903 RHEA:84835 RHEA:84715 RHEA:84839 RHEA:84451 RHEA:84699 RHEA:84703 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:40343	Rattus norvegicus (Rat)	3-ketoacyl-CoA thiolase B, peroxisomal (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.9) (Acetyl-CoA acyltransferase B) (Beta-ketothiolase B) (Peroxisomal 3-oxoacyl-CoA thiolase B)
P09110	RHEA:21564 RHEA:21036 RHEA:78895 RHEA:85327 RHEA:85331 RHEA:78639 RHEA:78567 RHEA:83127 RHEA:83083 RHEA:39131 RHEA:39147 RHEA:78899 RHEA:78583 RHEA:78599 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:83095 RHEA:83099 RHEA:47400 RHEA:47444 RHEA:47460 RHEA:83331 RHEA:83367 RHEA:83383 RHEA:83399 RHEA:84391 RHEA:84311 RHEA:84903 RHEA:84835 RHEA:84715 RHEA:84839 RHEA:84451 RHEA:84699 RHEA:84703 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:40343	Homo sapiens (Human)	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)
P11915	RHEA:16865 RHEA:10408 RHEA:46344 RHEA:40343 RHEA:21564 RHEA:78899 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:47400 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:31111 RHEA:62960 RHEA:62960	Rattus norvegicus (Rat)	Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (Sterol carrier protein X) (SCP-X)
P18297	RHEA:18953 RHEA:32627	Rattus norvegicus (Rat)	Sepiapterin reductase (SPR) (EC 1.1.1.153)
P21775	RHEA:21564 RHEA:21036 RHEA:78895 RHEA:85327 RHEA:85331 RHEA:78639 RHEA:78567 RHEA:83127 RHEA:83083 RHEA:39131 RHEA:39147 RHEA:78899 RHEA:78583 RHEA:78599 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:83095 RHEA:83099 RHEA:47400 RHEA:47444 RHEA:47460 RHEA:83331 RHEA:83367 RHEA:83383 RHEA:83399 RHEA:84391 RHEA:84311 RHEA:84903 RHEA:84835 RHEA:84715 RHEA:84839 RHEA:84451 RHEA:84699 RHEA:84703 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:40343	Rattus norvegicus (Rat)	3-ketoacyl-CoA thiolase A, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase A) (EC 2.3.1.9) (Beta-ketothiolase A) (Peroxisomal 3-oxoacyl-CoA thiolase A) (Thiolase A)
P22307	RHEA:16865 RHEA:10408 RHEA:46344 RHEA:40343 RHEA:21564 RHEA:78899 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:47400 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:31111 RHEA:62960 RHEA:62960	Homo sapiens (Human)	Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X)
P29704	RHEA:32295 RHEA:32299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Squalene synthase ERG9 (SQS) (SS) (EC 2.5.1.21) (Ergosterol biosynthetic protein 9) (FPP:FPP farnesyltransferase ERG9) (Farnesyl-diphosphate farnesyltransferase ERG9)
