Entry	Rhea ID	Organism	Protein names
A0A0U3BRC5	RHEA:25694 RHEA:66852 RHEA:66856 RHEA:66860	Leucosceptrum canum (Hairy white-wand) (Clerodendron leucosceptrum)	Geranylfarnesyl diphosphate synthase, chloroplastic (LcGFDPS) (EC 2.5.1.81)
A0A1S3XSG2	RHEA:16153 RHEA:71015	Nicotiana tabacum (Common tobacco)	Diamine oxidase [copper-containing] 1, peroxisomal (NtDAO1) (EC 1.4.3.-) (Copper methylamine oxidase) (EC 1.4.3.21) (N-methylputrescine oxidase 2, peroxisomal) (NtMPO2) (EC 1.4.3.-)
A0A1S4BDC4	RHEA:16153 RHEA:71015	Nicotiana tabacum (Common tobacco)	N-methylputrescine oxidase 1, peroxisomal (NtMPO1) (EC 1.4.3.-) (Copper methylamine oxidase) (EC 1.4.3.21)
K0I210	RHEA:73247 RHEA:73243	Ocimum basilicum (Sweet basil)	Flavonoid 6-O-methyltransferase 4 (ObFOMT4) (EC 2.1.1.-) (Ladanein 6-O-methyltransferase) (EC 2.1.1.-) (Scutellarein-7-methyl ether 6-O-methyltransferase) (EC 2.1.1.-)
K0I977	RHEA:31539 RHEA:73079 RHEA:73071 RHEA:73075 RHEA:73083 RHEA:73103 RHEA:73107 RHEA:73111	Ocimum basilicum (Sweet basil)	Flavonoid 7-O-methyltransferase 1 (ObFOMT1) (EC 2.1.1.-) (4'-methylscutellarein 7-O-methyltransferase) (EC 2.1.1.-) (Acacetin 7-O-methyltransferase) (EC 2.1.1.-) (Apigenin 7-O-methyltransferase) (EC 2.1.1.-) (Chrysoeriol 7-O-methyltransferase) (EC 2.1.1.-) (Diosmetin 7-O-methyltransferase) (EC 2.1.1.-) (Luteolin 7-O-methyltransferase) (EC 2.1.1.-) (Naringenin 7-O-methyltransferase) (EC 2.1.1.232) (Scutellarein 7-O-methyltransferase) (EC 2.1.1.-)
K0II72	RHEA:73111 RHEA:73107 RHEA:73103 RHEA:73083 RHEA:31539 RHEA:73071 RHEA:73075 RHEA:73079	Ocimum basilicum (Sweet basil)	Flavonoid 7-O-methyltransferase 2 (ObFOMT2) (EC 2.1.1.-) (4'-methylscutellarein 7-O-methyltransferase) (EC 2.1.1.-) (Acacetin 7-O-methyltransferase) (EC 2.1.1.-) (Apigenin 7-O-methyltransferase) (EC 2.1.1.-) (Chrysoeriol 7-O-methyltransferase) (EC 2.1.1.-) (Diosmetin 7-O-methyltransferase) (EC 2.1.1.-) (Luteolin 7-O-methyltransferase) (EC 2.1.1.-) (Naringenin 7-O-methyltransferase) (EC 2.1.1.232) (Scutellarein 7-O-methyltransferase) (EC 2.1.1.-)
M1KXD0	RHEA:73427 RHEA:73431 RHEA:73435 RHEA:73439	Ocimum basilicum (Sweet basil)	Flavonoid-6-hydroxylase (ObF6H) (EC 1.14.14.-) (CYP450 monooxygenase 82D33) (Cytochrome P450 82D33)
P07871	RHEA:21564 RHEA:21036 RHEA:78895 RHEA:85327 RHEA:85331 RHEA:78639 RHEA:78567 RHEA:83127 RHEA:83083 RHEA:39131 RHEA:39147 RHEA:78899 RHEA:78583 RHEA:78599 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:83095 RHEA:83099 RHEA:47400 RHEA:47444 RHEA:47460 RHEA:83331 RHEA:83367 RHEA:83383 RHEA:83399 RHEA:84391 RHEA:84311 RHEA:84903 RHEA:84835 RHEA:84715 RHEA:84839 RHEA:84451 RHEA:84699 RHEA:84703 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:40343	Rattus norvegicus (Rat)	3-ketoacyl-CoA thiolase B, peroxisomal (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.9) (Acetyl-CoA acyltransferase B) (Beta-ketothiolase B) (Peroxisomal 3-oxoacyl-CoA thiolase B)
P09110	RHEA:21564 RHEA:21036 RHEA:78895 RHEA:85327 RHEA:85331 RHEA:78639 RHEA:78567 RHEA:83127 RHEA:83083 RHEA:39131 RHEA:39147 RHEA:78899 RHEA:78583 RHEA:78599 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:83095 RHEA:83099 RHEA:47400 RHEA:47444 RHEA:47460 RHEA:83331 RHEA:83367 RHEA:83383 RHEA:83399 RHEA:84391 RHEA:84311 RHEA:84903 RHEA:84835 RHEA:84715 RHEA:84839 RHEA:84451 RHEA:84699 RHEA:84703 RHEA:78903 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:40343	Homo sapiens (Human)	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)
P0C278	RHEA:77903	Shewanella frigidimarina	Fumarate reductase (cytochrome) (EC 1.3.2.4) (Flavocytochrome c) (Flavocytochrome c3) (Fcc3)
