Entry	Rhea ID	Organism	Protein names
A0A0C5PHQ7	RHEA:32727 RHEA:35379 RHEA:36523 RHEA:39675 RHEA:36511 RHEA:39679 RHEA:36503 RHEA:35391 RHEA:36475 RHEA:36483	Tachysurus fulvidraco (Yellow catfish) (Pimelodus fulvidraco)	Very long chain fatty acid elongase 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Elongation of very long chain fatty acids protein 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)
A0JNC4	RHEA:32727 RHEA:35327 RHEA:36475 RHEA:35379 RHEA:36503 RHEA:36511 RHEA:35319 RHEA:35315 RHEA:36523	Bos taurus (Bovine)	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
A1L3X0	RHEA:32727 RHEA:35327 RHEA:36475 RHEA:35379 RHEA:36503 RHEA:36511 RHEA:35319 RHEA:35315 RHEA:36523	Homo sapiens (Human)	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
B6HVC6	RHEA:20956 RHEA:48340 RHEA:64788 RHEA:33627 RHEA:20373 RHEA:36299 RHEA:36251	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)	Phenylacetyl-CoA ligase (PCL) (EC 6.2.1.-) (EC 6.2.1.17) (EC 6.2.1.2) (EC 6.2.1.30) (EC 6.2.1.34)
D4A612	RHEA:32727 RHEA:36491 RHEA:36483 RHEA:36475 RHEA:36479	Rattus norvegicus (Rat)	Very long chain fatty acid elongase 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Elongation of very long chain fatty acids protein 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2)
D4ADY9	RHEA:32727 RHEA:35327 RHEA:36475 RHEA:35379 RHEA:36503 RHEA:36511 RHEA:35319 RHEA:35315 RHEA:36523	Rattus norvegicus (Rat)	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
F1S5L4	RHEA:15325 RHEA:37203 RHEA:37199 RHEA:37195 RHEA:35723 RHEA:35727 RHEA:33203	Sus scrofa (Pig)	Glycerol-3-phosphate acyltransferase 1, mitochondrial (GPAT-1) (EC 2.3.1.15)
I3PB37	RHEA:19641 RHEA:36299 RHEA:10132 RHEA:64788 RHEA:36251	Petunia hybrida (Petunia)	4-coumarate:CoA ligase 1 (Ph-4CL1) (Ph4CL1) (EC 6.2.1.12) ((E)-caffeate:CoA ligase 4CL1) (EC 6.2.1.-) (Benzoate:CoA ligase 4CL1) (EC 6.2.1.25) (Trans-cinnamate:CoA ligase 4CL1) (EC 6.2.1.-) (Trans-ferulate:CoA ligase 4CL1) (EC 6.2.1.-)
O24146	RHEA:19641 RHEA:36299 RHEA:36251 RHEA:64788 RHEA:72419 RHEA:72423 RHEA:72431 RHEA:72435 RHEA:72439 RHEA:72443	Nicotiana tabacum (Common tobacco)	4-coumarate--CoA ligase 2 (4CL 2) (Nt4CL-19) (Nt4CL-2) (EC 6.2.1.12) (4-coumaroyl-CoA synthase 2) (Caffeate--CoA ligase) (EC 6.2.1.-) (Cinnamate--CoA ligase) (EC 6.2.1.-) (Ferulate--CoA ligase) (EC 6.2.1.34)
O24370	RHEA:22780 RHEA:34495	Solanum tuberosum (Potato)	Linoleate 13S-lipoxygenase 2-1, chloroplastic (EC 1.13.11.12) (Lipoxygenase 2-1)
O35949	RHEA:32727 RHEA:35327 RHEA:35315 RHEA:35319 RHEA:36511 RHEA:36503 RHEA:36523 RHEA:36507 RHEA:39167	Mus musculus (Mouse)	Very long chain fatty acid elongase 3 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl3) (CIN-2) (Cold-inducible glycoprotein of 30 kDa) (ELOVL fatty acid elongase 3) (ELOVL FA elongase 3) (Elongation of very long chain fatty acids protein 3) (Very long chain 3-ketoacyl-CoA synthase 3) (Very long chain 3-oxoacyl-CoA synthase 3)
P08170	RHEA:22780 RHEA:34495 RHEA:50840 RHEA:50828 RHEA:50832	Glycine max (Soybean) (Glycine hispida)	Seed linoleate 13S-lipoxygenase-1 (EC 1.13.11.12) (Lipoxygenase-1) (L-1)
P0A7A7	RHEA:15325 RHEA:35723	Escherichia coli (strain K12)	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)
P17814	RHEA:36251 RHEA:19641 RHEA:64788 RHEA:36299 RHEA:72439 RHEA:72443 RHEA:72419 RHEA:72423 RHEA:72431 RHEA:72435	Oryza sativa subsp. japonica (Rice)	4-coumarate--CoA ligase 1 (4CL 1) (Os4CL1) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumaroyl-CoA synthase 1)
