Entry	Rhea ID	Organism	Protein names
A0A095AMW7	RHEA:46276	Leuconostoc mesenteroides	Malolactic enzyme (MLE) (EC 4.1.1.101)
A4UVI1	RHEA:46424 RHEA:46420 RHEA:46060	Papio anubis (Olive baboon)	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)
B1WC61	RHEA:17721 RHEA:14477 RHEA:47236 RHEA:47240 RHEA:43448 RHEA:47316 RHEA:47296 RHEA:48176 RHEA:48196 RHEA:48204 RHEA:48200 RHEA:48208 RHEA:83023 RHEA:47304 RHEA:82939 RHEA:82951 RHEA:48192 RHEA:83055 RHEA:47300 RHEA:47432 RHEA:47448 RHEA:83335 RHEA:83371 RHEA:83387 RHEA:83155 RHEA:83159 RHEA:83207 RHEA:83223 RHEA:48188 RHEA:84463 RHEA:84467 RHEA:84471 RHEA:84475 RHEA:84595 RHEA:84599 RHEA:84603 RHEA:84607 RHEA:84611 RHEA:84619 RHEA:84623 RHEA:85107 RHEA:85123	Rattus norvegicus (Rat)	Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.7, EC 1.3.8.8)
B4F753	RHEA:32979 RHEA:51184 RHEA:40499 RHEA:44584 RHEA:44588 RHEA:40895 RHEA:41091 RHEA:38491 RHEA:44552 RHEA:26132 RHEA:44320 RHEA:44316 RHEA:44312 RHEA:39963 RHEA:38487 RHEA:44732 RHEA:44728 RHEA:48428 RHEA:39959 RHEA:38363 RHEA:59364 RHEA:59368 RHEA:59372	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Lysophosphatidylserine lipase ABHD12 (EC 3.1.1.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-)
D0E8I5	RHEA:41444	Uncultured bacterium HF130_AEPn_1	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) (EC 1.13.11.78) (Di-iron oxygenase) (Nonheme iron-dependent oxygenase)
F9UMS6	RHEA:46276	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	Malolactic enzyme (MLE) (EC 4.1.1.101)
G5EG11	RHEA:46524 RHEA:46528 RHEA:46420 RHEA:46424	Caenorhabditis elegans	Delta(5) fatty acid desaturase fat-4 (FAT-4) (EC 1.14.19.37) (EC 1.14.19.44) (FAT-4 Delta(5) desaturase) (Fatty acid desaturase 4)
G5EGA5	RHEA:25856 RHEA:45096 RHEA:66040 RHEA:42196 RHEA:42192 RHEA:42180 RHEA:42176	Caenorhabditis elegans	Delta(12) fatty acid desaturase fat-2 (FAT-2) (EC 1.14.19.-) (EC 1.14.19.6) (Fatty acid desaturase 2)
H8WR05	RHEA:47320 RHEA:47324	Variovorax paradoxus	Beta-phenylalanine transaminase (EC 2.6.1.-) (Aromatic beta-amino acid aminotransferase) (Beta-phenylalanine aminotransferase) (VpAT)
H9A1V3	RHEA:43740	Cannabis sativa (Hemp) (Marijuana)	Hexanoyl-CoA synthase (EC 6.2.1.-) (Acyl-activating enzyme 1) (CsAAE1)
I6Y778	RHEA:19913 RHEA:42048 RHEA:45828 RHEA:45832	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	3-oxoacyl-[acyl-carrier-protein] reductase [NADH] (EC 1.1.1.212) (Beta-ketoacyl CoA reductase) (FASII-like 3-oxoacyl-thioester reductase) (HMwFabG)
M4IRL4	RHEA:46184 RHEA:46172 RHEA:43740 RHEA:46168 RHEA:66992 RHEA:66988	Humulus lupulus (European hop)	Isovalerate--CoA ligase CCL2 (HlCCL2) (EC 6.2.1.-) (3-methylpentanoate--CoA ligase AAE2) (EC 6.2.1.-) (4-methylpentanoate--CoA ligase AAE2) (EC 6.2.1.-) (Butanoate--CoA ligase CCL3) (EC 6.2.1.-) (Hexanoate--CoA ligase CCL3) (EC 6.2.1.-) (Pentanoate--CoA ligase CCL3) (EC 6.2.1.-)
M4IS88	RHEA:23176 RHEA:20373 RHEA:46172 RHEA:46184 RHEA:46168 RHEA:43740 RHEA:46176 RHEA:46180 RHEA:66996 RHEA:66992 RHEA:66988	Humulus lupulus (European hop)	Acetate--CoA ligase CCL3 (HlCCL3) (EC 6.2.1.1) (2-methylbutanoate--CoA ligase CCL4) (EC 6.2.1.-) (2-methylpropanoate--CoA ligase CCL4) (EC 6.2.1.-) (Butanoate--CoA ligase CCL3) (EC 6.2.1.-) (Hexanoate--CoA ligase CCL3) (EC 6.2.1.-) (Isovalerate--CoA ligase CCL3) (EC 6.2.1.-) (Pentanoate--CoA ligase CCL3) (EC 6.2.1.-) (Propionate--CoA ligase CCL3) (EC 6.2.1.17)
O05307	RHEA:48340 RHEA:15421 RHEA:43740 RHEA:33631 RHEA:33627 RHEA:33623 RHEA:33619 RHEA:30751 RHEA:33615 RHEA:44228 RHEA:33607 RHEA:44204 RHEA:44212 RHEA:44216 RHEA:44220 RHEA:44224 RHEA:44192 RHEA:44196 RHEA:44208 RHEA:44200	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Medium/long-chain-fatty-acid--CoA ligase FadD6 (EC 6.2.1.2) (EC 6.2.1.3) (FACL6)
O07427	RHEA:34019 RHEA:44324 RHEA:44328 RHEA:44320 RHEA:44316 RHEA:44312 RHEA:38487 RHEA:38491	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Monoacylglycerol lipase (MGL) (EC 3.1.1.23)
O13666	RHEA:46560	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	Delta(7)-sterol 5(6)-desaturase erg32 (EC 1.14.19.20) (C-5 sterol desaturase erg32) (Ergosterol Delta(5,6) desaturase erg32) (Ergosterol biosynthetic protein 32) (Sterol-C5-desaturase erg32)
O14975	RHEA:38879 RHEA:33655 RHEA:38879 RHEA:15421 RHEA:19713 RHEA:30751 RHEA:33607 RHEA:21380 RHEA:44936 RHEA:47264 RHEA:36139 RHEA:54536 RHEA:33639 RHEA:44932 RHEA:22976	Homo sapiens (Human)	Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)
O33855	RHEA:48340 RHEA:43740 RHEA:44088 RHEA:33631 RHEA:33627 RHEA:33623 RHEA:33619 RHEA:33607 RHEA:44936 RHEA:19713	Mycobacterium avium	Medium-chain acyl-CoA ligase Mig (EC 6.2.1.2) (Macrophage-induced gene) (Medium-chain fatty acid acyl-CoA synthetase)
O34962	RHEA:18253 RHEA:15641 RHEA:46276	Bacillus subtilis (strain 168)	Bifunctional malic/malolactic enzyme (EC 1.1.1.40) (EC 4.1.1.101) (Malolactic enzyme) (MLE) (NADP-dependent malic enzyme) (NADP-ME)
