Entry	Rhea ID	Organism	Protein names
A0A1L5YRA2	RHEA:18585 RHEA:17937	Scylla paramamosain (Mud crab)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Allergen Scy p 8) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase) (allergen Scy p 8.0101)
F5A6E9	RHEA:18585 RHEA:17937	Procambarus clarkii (Red swamp crayfish) (Cambarus clarkii)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase) (allergen Pro c 8.0101)
G3J531	RHEA:17685	Cordyceps militaris (strain CM01) (Caterpillar fungus)	Isoorotate decarboxylase (IDCase) (EC 4.1.1.66) (Uracil-5-carboxylate decarboxylase)
O81192	RHEA:18209 RHEA:32567 RHEA:32575	Salvia officinalis (Sage)	(+)-bornyl diphosphate synthase, chloroplastic (BPPS) (EC 5.5.1.8) ((+)-alpha-pinene synthase) (EC 4.2.3.121) ((+)-camphene synthase) (EC 4.2.3.116) (SBS)
P00939	RHEA:18585 RHEA:17937	Oryctolagus cuniculus (Rabbit)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
P00940	RHEA:17937 RHEA:18585	Gallus gallus (Chicken)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
P04177	RHEA:18201	Rattus norvegicus (Rat)	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)
P07101	RHEA:18201	Homo sapiens (Human)	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)
P07741	RHEA:16609	Homo sapiens (Human)	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
P08030	RHEA:16609	Mus musculus (Mouse)	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
P0A731	RHEA:17937	Escherichia coli (strain K12)	Methylglyoxal synthase (MGS) (EC 4.2.3.3)
P0A7J0	RHEA:18457	Escherichia coli (strain K12)	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (DHBPS) (EC 4.1.99.12)
P0AC38	RHEA:16601	Escherichia coli (strain K12)	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)
P0C0Y5	RHEA:16765	Cladosporium herbarum (Davidiella tassiana)	NADP-dependent mannitol dehydrogenase (MtDH) (EC 1.1.1.138) (Mannitol 2-dehydrogenase [NADP(+)]) (allergen Cla h 8)
P17289	RHEA:18201	Bos taurus (Bovine)	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)
P17751	RHEA:18585 RHEA:17937	Mus musculus (Mouse)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
P18459	RHEA:18201	Drosophila melanogaster (Fruit fly)	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Protein Pale) (Tyrosine 3-hydroxylase) (TH)
P24529	RHEA:18201	Mus musculus (Mouse)	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)
P31166	RHEA:16609	Arabidopsis thaliana (Mouse-ear cress)	Adenine phosphoribosyltransferase 1, chloroplastic (APRT 1) (AtAPT1) (EC 2.4.2.7)
P33025	RHEA:18337	Escherichia coli (strain K12)	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70)
P36972	RHEA:16609	Rattus norvegicus (Rat)	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
P47229	RHEA:17161	Paraburkholderia xenovorans (strain LB400)	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (HOPDA hydrolase) (EC 3.7.1.8) (2,6-dioxo-6-phenylhexa-3-enoate hydrolase)
P47924	RHEA:18457 RHEA:23704	Arabidopsis thaliana (Mouse-ear cress)	Bifunctional riboflavin biosynthesis protein RIBA 1, chloroplastic (AtRIBA1) [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]
P48500	RHEA:17937 RHEA:18585	Rattus norvegicus (Rat)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
P49435	RHEA:16609	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Adenine phosphoribosyltransferase 1 (APRT 1) (EC 2.4.2.7)
P60174	RHEA:18585 RHEA:17937	Homo sapiens (Human)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
P70712	RHEA:16813 RHEA:25143	Rattus norvegicus (Rat)	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)
P75063	RHEA:18369	Mycoplasmoides pneumoniae (strain ATCC 29342 / M129 / Subtype 1) (Mycoplasma pneumoniae)	Glycerol 3-phosphate oxidase (GlpO) (EC 1.1.3.21) (L-alpha-glycerophosphate oxidase)
P83788	RHEA:16813 RHEA:25143	Pseudomonas fluorescens	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)
P86216	RHEA:18585 RHEA:17937	Mesocricetus auratus (Golden hamster)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
P90986	RHEA:18201	Caenorhabditis elegans	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Abnormal catecholamine distribution protein 2) (Tyrosine 3-hydroxylase) (TH)
P9WHF1	RHEA:18457 RHEA:23704	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]
P9WNH5	RHEA:32035 RHEA:17161	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase (EC 3.7.1.17) (2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase) (HOPDA hydrolase) (EC 3.7.1.8) (Meta-cleavage product hydrolase) (MCP hydrolase)
Q05979	RHEA:16813 RHEA:25143	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)
Q0QFQ2	RHEA:18237	Aquipseudomonas alcaligenes (Pseudomonas alcaligenes)	Gentisate 1,2 dioxygenase 2 (GDOII) (EC 1.13.11.4)
Q10657	RHEA:18585 RHEA:17937	Caenorhabditis elegans	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
Q16719	RHEA:16813 RHEA:25143	Homo sapiens (Human)	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)
Q5A3V6	RHEA:18457	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)
Q5R928	RHEA:17937 RHEA:18585	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
Q60364	RHEA:18457	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (DHBPS) (EC 4.1.99.12)
Q76IQ3	RHEA:18201	Canis lupus familiaris (Dog) (Canis familiaris)	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)
Q83V25	RHEA:16557	Pseudomonas fluorescens	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (ACMSD) (EC 4.1.1.45) (Alpha-amino-beta-carboxy-muconic-epsilon-semialdehyde decarboxylase)
Q8BWU8	RHEA:17889	Mus musculus (Mouse)	Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1)
Q8TBG4	RHEA:17889	Homo sapiens (Human)	Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1)
Q8TDX5	RHEA:16557	Homo sapiens (Human)	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)
Q8TG90	RHEA:18457	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (DS) (EC 4.1.99.12)
Q99258	RHEA:18457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)
Q9AGP8	RHEA:17077 RHEA:45756	Arthrobacter globiformis	Dimethylglycine oxidase (DMGO) (EC 1.5.3.10)
Q9CXF0	RHEA:16813 RHEA:25143	Mus musculus (Mouse)	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)
Q9LCC6	RHEA:16601	Bacillus sp	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)
Q9S3U6	RHEA:18237	Aquipseudomonas alcaligenes (Pseudomonas alcaligenes)	Gentisate 1,2 dioxygenase 1 (GDOI) (EC 1.13.11.4)
Q9SUW2	RHEA:16609	Arabidopsis thaliana (Mouse-ear cress)	Adenine phosphoribosyltransferase 3 (EC 2.4.2.7)
A0A060X6Z0	RHEA:18201	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH) (Tyrosine hydroxylase)
A0PPL6	RHEA:18457 RHEA:23704	Mycobacterium ulcerans (strain Agy99)	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]
A0Q3H7	RHEA:18457 RHEA:23704	Clostridium novyi (strain NT)	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]
A0QI09	RHEA:18457 RHEA:23704	Mycobacterium avium (strain 104)	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]
A0RIB3	RHEA:18457 RHEA:23704	Bacillus thuringiensis (strain Al Hakam)	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]
A1B8Z3	RHEA:17141	Paracoccus denitrificans (strain Pd 1222)	L-aspartate--glyoxylate aminotransferase (EC 2.6.1.35)
A1C688	RHEA:16813 RHEA:25143	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	Kynureninase 1 (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5-1) (L-kynurenine hydrolase 1)
A1KIK4	RHEA:18457 RHEA:23704	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]
A1T8K1	RHEA:18457 RHEA:23704	Mycolicibacterium vanbaalenii (strain DSM 7251 / JCM 13017 / BCRC 16820 / KCTC 9966 / NRRL B-24157 / PYR-1) (Mycobacterium vanbaalenii)	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]
