Entry	Rhea ID	Organism	Protein names
A0A0E3JHZ7	RHEA:19641 RHEA:86359	Taxus baccata (English yew)	Beta-phenylalanine coenzyme A ligase ((3R)-beta-phenylalanine-CoA ligase) (Phenylalanoyl-CoA ligase) (EC 6.2.1.78) (4-coumarate-CoA ligase) (EC 6.2.1.12)
A0A1L5YRA2	RHEA:18585 RHEA:17937	Scylla paramamosain (Mud crab)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Allergen Scy p 8) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase) (allergen Scy p 8.0101)
A0AA38KJ08	RHEA:19641 RHEA:86359	Taxus chinensis (Chinese yew) (Taxus wallichiana var. chinensis)	Beta-phenylalanine coenzyme A ligase ((3R)-beta-phenylalanine-CoA ligase) (Phenylalanoyl-CoA ligase) (EC 6.2.1.78) (4-coumarate-CoA ligase) (EC 6.2.1.12) (Acyl-activating enzyme 16) (TmAAE16)
A1CP85	RHEA:21968 RHEA:21096 RHEA:17737 RHEA:13121 RHEA:21256	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]
A1D244	RHEA:21968 RHEA:21096 RHEA:17737 RHEA:13121 RHEA:21256	Aspergillus fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Neosartorya fischeri)	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]
A1Z746	RHEA:20545	Drosophila melanogaster (Fruit fly)	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase) (Protein cinnabar)
A2AS89	RHEA:16029 RHEA:19501 RHEA:75931 RHEA:20569	Mus musculus (Mouse)	Guanidino acid hydrolase, mitochondrial (EC 3.5.3.-) (Arginase, mitochondrial) (EC 3.5.3.1) (Guanidinobutyrase, mitochondrial) (EC 3.5.3.7) (Guanidinopropionase, mitochondrial) (EC 3.5.3.17)
A3LSZ2	RHEA:21968 RHEA:21096 RHEA:17737 RHEA:13121 RHEA:21256	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]
A4RD09	RHEA:21968 RHEA:21096 RHEA:17737 RHEA:13121 RHEA:21256	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]
A5H2P4	RHEA:21968 RHEA:21096 RHEA:17737 RHEA:13121 RHEA:21256	Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239) (Yeast) (Saccharomyces elongisporus)	Pentafunctional AROM polypeptide 2 [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]
