Entry	Rhea ID	Organism	Protein names
A0A2I9	RHEA:27746 RHEA:16877	Unknown prokaryotic organism	Cysteine/Cysteine sulfinic acid decarboxylase (EC 4.1.1.-) (EC 4.1.1.29) (Cysteine decarboxylase) (L-cysteine sulfinate decarboxylase) (CSD) (Sulfinoalanine decarboxylase)
A1B8Z1	RHEA:27934 RHEA:27938	Paracoccus denitrificans (strain Pd 1222)	3-hydroxy-D-aspartate aldolase (EC 4.1.3.41) (beta-hydroxyaspartate aldolase)
A4Q998	RHEA:27646 RHEA:13233 RHEA:27738 RHEA:27750	Anopheles gambiae (African malaria mosquito)	Purine nucleoside phosphorylase (EC 2.4.2.1) (AgPNP) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)
A5K9M4	RHEA:27646 RHEA:13233 RHEA:27738 RHEA:27750	Plasmodium vivax (strain Salvador I)	Purine nucleoside phosphorylase (EC 2.4.2.1) (PvPNP)
A5W059	RHEA:22748 RHEA:28935 RHEA:15641	Pseudomonas putida (strain ATCC 700007 / DSM 6899 / JCM 31910 / BCRC 17059 / LMG 24140 / F1)	4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase (HMG/CHA aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112)
A6H630	RHEA:35603 RHEA:28002 RHEA:24452	Mus musculus (Mouse)	Damage-control phosphatase 1 (EC 3.1.3.-) (Acidic residue methyltransferase 1) (Protein-glutamate O-methyltransferase) (EC 2.1.1.-) (Sugar phosphate phosphatase ARMT1)
E0SRA9	RHEA:30627 RHEA:22068	Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1)	Ketol-acid reductoisomerase (NAD(P)(+)) (KARI) (EC 1.1.1.383) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)
F4HU51	RHEA:16781 RHEA:30135 RHEA:40119 RHEA:30139 RHEA:40131 RHEA:40151 RHEA:16645 RHEA:40139 RHEA:40143	Arabidopsis thaliana (Mouse-ear cress)	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)
G2IQQ8	RHEA:22748 RHEA:28935 RHEA:15641	Sphingobium sp. (strain NBRC 103272 / SYK-6)	4-carboxy-4-hydroxy-2-oxoadipate aldolase (CHA aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112)
O00154	RHEA:67680 RHEA:16645 RHEA:30143 RHEA:30135 RHEA:40139 RHEA:40119 RHEA:40059 RHEA:30139	Homo sapiens (Human)	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)
O06728	RHEA:27526	Bacillus subtilis (strain 168)	Farnesyl diphosphate phosphatase YisP (EC 3.1.7.6)
O14734	RHEA:14541 RHEA:31511 RHEA:20289 RHEA:40111 RHEA:40799 RHEA:40115 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:16645 RHEA:30139 RHEA:40219 RHEA:15673 RHEA:40103 RHEA:11516 RHEA:40575 RHEA:40583 RHEA:40587 RHEA:40591 RHEA:40595 RHEA:40135 RHEA:40131 RHEA:40139 RHEA:40143 RHEA:40147 RHEA:40151 RHEA:40223 RHEA:59952 RHEA:16305 RHEA:59936 RHEA:59940 RHEA:59948	Homo sapiens (Human)	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (HIV-Nef-associated acyl-CoA thioesterase) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)
O46629	RHEA:21564 RHEA:78899 RHEA:78903 RHEA:78599 RHEA:35279 RHEA:18161 RHEA:31091 RHEA:31183 RHEA:31087 RHEA:31203 RHEA:31111 RHEA:83099 RHEA:47400 RHEA:47444 RHEA:47460 RHEA:83251 RHEA:82935 RHEA:82943 RHEA:83007 RHEA:83135 RHEA:83219 RHEA:83367 RHEA:83383 RHEA:83399 RHEA:84447 RHEA:84451 RHEA:84455 RHEA:84459 RHEA:84695 RHEA:84699 RHEA:84703 RHEA:84707 RHEA:84711 RHEA:84715 RHEA:84839	Bos taurus (Bovine)	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (3-oxoacyl-CoA thiolase) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Long chain 3-ketoacyl-CoA thiolase) (LCKAT)]
O55023	RHEA:24056 RHEA:27670 RHEA:44152 RHEA:30739 RHEA:30735 RHEA:44156 RHEA:44160 RHEA:82131 RHEA:29315 RHEA:19933 RHEA:16689 RHEA:35603 RHEA:13105 RHEA:37343	Mus musculus (Mouse)	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)
