Entry	Rhea ID	Organism	Protein names
A0JND9	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64896 RHEA:64900 RHEA:64876	Bos taurus (Bovine)	Ectonucleoside triphosphate diphosphohydrolase 8 (E-NTPDase 8) (NTPDase 8) (NTPDase8) (EC 3.6.1.5)
A8MXV4	RHEA:50044 RHEA:64988 RHEA:49980 RHEA:50016 RHEA:49976 RHEA:67464 RHEA:67468 RHEA:67472 RHEA:50036 RHEA:67524 RHEA:67532 RHEA:67536 RHEA:67540 RHEA:67544 RHEA:67528 RHEA:50032 RHEA:50028 RHEA:50024 RHEA:67592	Homo sapiens (Human)	Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)
A8R3S4	RHEA:51020 RHEA:62200 RHEA:33567 RHEA:62204	Pseudomonas putida (Arthrobacter siderocapsulatus)	Quinoprotein ethanol dehydrogenase (QEDH) (EC 1.1.2.8) (Quinoprotein alcohol dehydrogenase (cytochrome c)) (Quinoprotein alcohol dehydrogenase (cytochrome c550)) (Quinoprotein alcohol dehydrogenase ADH I) (ADH I)
C5AXV8	RHEA:62200 RHEA:79343 RHEA:79539	Methylorubrum extorquens (strain ATCC 14718 / DSM 1338 / JCM 2805 / NCIMB 9133 / AM1) (Methylobacterium extorquens)	Lanthanide-dependent ethanol dehydrogenase (Lanthanide-dependent EtDH) (Ln-dependent EtDH) (EC 1.1.2.-) (Lanthanide-dependent formaldehyde dehydrogenase) (EC 1.2.2.-) (PQQ-dependent ethanol dehydrogenase)
D2GZV9	RHEA:36799 RHEA:22156 RHEA:64876 RHEA:35207 RHEA:64880 RHEA:61436	Ailuropoda melanoleuca (Giant panda)	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)
E1BPW0	RHEA:36799 RHEA:22156 RHEA:64876 RHEA:35207 RHEA:64880 RHEA:61436	Bos taurus (Bovine)	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)
E1C1L6	RHEA:36799 RHEA:22156 RHEA:64876 RHEA:35207 RHEA:64880 RHEA:61436	Gallus gallus (Chicken)	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)
G5EGA5	RHEA:25856 RHEA:45096 RHEA:66040 RHEA:42196 RHEA:42192 RHEA:42180 RHEA:42176	Caenorhabditis elegans	Delta(12) fatty acid desaturase fat-2 (FAT-2) (EC 1.14.19.-) (EC 1.14.19.6) (Fatty acid desaturase 2)
O18956	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64896 RHEA:64900 RHEA:64876	Bos taurus (Bovine)	Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)
O35795	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:64896 RHEA:64900 RHEA:64876	Rattus norvegicus (Rat)	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.5) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)
