Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
P77555	reviewed	Escherichia coli (strain K12)	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	1.1.1.350	RHEA:15329
P58408	reviewed	Escherichia coli O157:H7	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	1.1.1.350	RHEA:15329
A0A011NAY2	unreviewed	Mannheimia granulomatis	Ureidoglycolate dehydrogenase		
A0A011TN24	unreviewed	Aquamicrobium defluvii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A011V1R8	unreviewed	Aquamicrobium defluvii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A061A5Y9	unreviewed	Streptomyces iranensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A068T1K8	unreviewed	Neorhizobium galegae bv. orientalis str. HAMBI 540	Ureidoglycolate dehydrogenase		
A0A069P2V3	unreviewed	Caballeronia grimmiae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A075R1V5	unreviewed	Brevibacillus laterosporus LMG 15441	Ureidoglycolate dehydrogenase (EC 1.1.1.350)	1.1.1.350	
A0A075R5Y2	unreviewed	Brevibacillus laterosporus LMG 15441	Ureidoglycolate dehydrogenase (EC 1.1.1.350)	1.1.1.350	
A0A078M0E0	unreviewed	Jeotgalicoccus saudimassiliensis	Ureidoglycolate dehydrogenase (NAD(+))		
A0A078M3D2	unreviewed	Jeotgalicoccus saudimassiliensis	Ureidoglycolate dehydrogenase (NAD(+))		
A0A085GIC9	unreviewed	Buttiauxella agrestis ATCC 33320	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A085GPM7	unreviewed	Ewingella americana (strain ATCC 33852 / DSM 4580 / CCUG 14506 / JCM 5911 / LMG 7869 / NCTC 12157 / CDC 1468-78)	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A085J984	unreviewed	Tatumella ptyseos ATCC 33301	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A090ZLQ6	unreviewed	Paenibacillus macerans (Bacillus macerans)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A091BYF3	unreviewed	Tetragenococcus muriaticus 3MR10-3	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A095UYI2	unreviewed	Tatumella morbirosei	Ureidoglycolate dehydrogenase		
A0A099W4C0	unreviewed	Listeria booriae	Ureidoglycolate dehydrogenase		
A0A099W631	unreviewed	Listeria booriae	Ureidoglycolate dehydrogenase		
A0A0A3I3A4	unreviewed	Ureibacillus manganicus DSM 26584	Ureidoglycolate dehydrogenase		
A0A0A3I8W4	unreviewed	Ureibacillus manganicus DSM 26584	Ureidoglycolate dehydrogenase		
A0A0A3XIS8	unreviewed	Bradyrhizobium japonicum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A0A6XYX4	unreviewed	Heyndrickxia ginsengihumi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0B0IDL0	unreviewed	Halalkalibacter okhensis	Ureidoglycolate dehydrogenase		
A0A0B2BEC3	unreviewed	Mumia flava	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A0C1U0J8	unreviewed	Clostridium argentinense CDC 2741	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0C2W5Q8	unreviewed	Jeotgalibacillus soli	Ureidoglycolate dehydrogenase		
A0A0C5WTZ1	unreviewed	Photobacterium gaetbulicola Gung47	Ureidoglycolate dehydrogenase		
A0A0D0SQ95	unreviewed	Staphylococcus gallinarum	Ureidoglycolate dehydrogenase		
A0A0D6XTF2	unreviewed	Staphylococcus microti	Ureidoglycolate dehydrogenase		
A0A0D6XUG2	unreviewed	Staphylococcus microti	Ureidoglycolate dehydrogenase		
A0A0E3K4T0	unreviewed	Clostridium scatologenes	Ureidoglycolate dehydrogenase		
A0A0F6AY13	unreviewed	Salmonella typhimurium (strain 14028s / SGSC 2262)	Ureidoglycolate dehydrogenase		
A0A0F7HP70	unreviewed	Salinicoccus halodurans	Ureidoglycolate dehydrogenase		
A0A0G3SK05	unreviewed	Serratia marcescens	Ureidoglycolate dehydrogenase		
A0A0H2V4Z9	unreviewed	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0H2VB02	unreviewed	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0H2YWE3	unreviewed	Escherichia coli O1:K1 / APEC	Ureidoglycolate dehydrogenase		
A0A0H2Z332	unreviewed	Escherichia coli O1:K1 / APEC	Ureidoglycolate dehydrogenase		
A0A0H3EEL4	unreviewed	Escherichia coli O83:H1 (strain NRG 857C / AIEC)	Ureidoglycolate dehydrogenase		
A0A0H3F574	unreviewed	Rahnella sp. (strain Y9602)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0H3GU07	unreviewed	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	Malate/lactate/ureidoglycolate dehydrogenase		
A0A0H3HAK4	unreviewed	Klebsiella michiganensis (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686 / BUCSAV 143 / CCM 1901)	Malate/lactate/ureidoglycolate dehydrogenase		
A0A0H3NIL1	unreviewed	Salmonella typhimurium (strain SL1344)	Ureidoglycolate dehydrogenase		
A0A0J9EDC9	unreviewed	Candidatus Rhodobacter oscarellae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0K6GUD7	unreviewed	Gulbenkiania indica	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A0K6HCC0	unreviewed	Pseudidiomarina woesei	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A0K6I423	unreviewed	Pannonibacter indicus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A0K6IKV4	unreviewed	Marinomonas fungiae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A0K8P4D9	unreviewed	Piscinibacter sakaiensis (Ideonella sakaiensis)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0L0MIJ3	unreviewed	Candidatus Burkholderia verschuerenii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
