Entry	Reviewed	Protein names	Gene Names	EC number	Pathway	Rhea ID
Q96529	reviewed	Adenylosuccinate synthetase, chloroplastic (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	PURA At3g57610 F15B8.200	6.3.4.4	PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 1/2. {ECO:0000255|HAMAP-Rule:MF_03125}.	RHEA:15753
Q9M8D3	reviewed	Probable phosphoribosylformylglycinamidine synthase, chloroplastic/mitochondrial (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	At1g74260 F1O17.7	6.3.5.3	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 1/2.	RHEA:17129
Q9SI61	reviewed	Amidophosphoribosyltransferase 1, chloroplastic (AtATase1) (PRPP1) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase 1) (AtGPRAT1)	ASE1 GPRAT1 At2g16570 F1P15	2.4.2.14	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/2.	RHEA:14905
Q9STG9	reviewed	Amidophosphoribosyltransferase 2, chloroplastic (AtATase2) (AtPURF2) (PRPP2) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase 2) (AtGPRAT2) (Protein CHLOROPLAST IMPORT APPARATUS 1) (Protein DIFFERENTIAL DEVELOPMENT OF VASCULAR ASSOCIATED CELLS)	ASE2 CIA1 DOV1 GPRAT2 PURF2 At4g34740 T4L20.320	2.4.2.14	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/2.	RHEA:14905
P47996	reviewed	Inosine-5'-monophosphate dehydrogenase 1 (IMP dehydrogenase 1) (IMPD 1) (IMPDH 1) (EC 1.1.1.205)	IMPDH At1g79470 T8K14.11	1.1.1.205	PATHWAY: Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_03156}.	RHEA:11708
Q05728	reviewed	Phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	PUR5 At3g55010 F28P10.10 T15C9.10	6.3.3.1	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 2/2.	RHEA:23032
Q9SA34	reviewed	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205)	At1g16350 F3O9.15	1.1.1.205	PATHWAY: Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_03156}.	RHEA:11708
Q9T0J5	reviewed	Amidophosphoribosyltransferase 3, chloroplastic (AtATase3) (PRPP3) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase 3) (AtGPRAT3)	ASE3 GPRAT3 At4g38880 F19H22.3 T9A14	2.4.2.14	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/2.	RHEA:14905
P38025	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic (EC 6.3.2.6) (SAICAR synthetase)	PUR7 At3g21110 MSA6.15 MSA6.26	6.3.2.6	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 1/2.	RHEA:22628
P52420	reviewed	Phosphoribosylamine--glycine ligase, chloroplastic (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase)	PUR2 At1g09830 F21M12.22	6.3.4.13	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 2/2.	RHEA:17453
P52422	reviewed	Phosphoribosylglycinamide formyltransferase, chloroplastic (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	PUR3 At1g31220 F28K20.18	2.1.2.2	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide from N(1)-(5-phospho-D-ribosyl)glycinamide (10-formyl THF route): step 1/1.	RHEA:15053
