Entry	Rhea ID	Organism	Protein names
A0A4Y3R138	RHEA:29043	Streptomyces cacaoi	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0ABM8DLK1	RHEA:29043	Candidatus Borrelia fainii	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A011UAM3	RHEA:29043	Hominimerdicola alba SY3	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A011VR84	RHEA:29043	Hominimerdicola alba SY3	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A016QU48	RHEA:29043	Deinococcus phoenicis	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A017HAA3	RHEA:29043	Limimaricola hongkongensis DSM 17492	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A017RR35	RHEA:29043	Fervidicella metallireducens AeB	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A022KWL7	RHEA:29043	Brachybacterium muris UCD-AY4	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A023D6T6	RHEA:29043	Acidomonas methanolica NBRC 104435	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A023PX96	RHEA:29043	Borrelia anserina Es	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A024JVY2	RHEA:29043	Mycobacterium triplex	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A031FLZ0	RHEA:29043	Microbacterium oleivorans	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A031LPP8	RHEA:29043	Candidatus Acidianus copahuensis	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A037ZJC2	RHEA:29043	Actibacterium mucosum KCTC 23349	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A051U6Y0	RHEA:29043	Mycobacterium [tuberculosis] TKK-01-0051	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A058ZLB9	RHEA:29043	Actibacterium atlanticum	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A059MRY8	RHEA:29043	Rhodococcus aetherivorans	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A060JFF8	RHEA:29043	Rhodoluna lacicola	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A060ZJ17	RHEA:29043	Streptomyces iranensis	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A061SSG9	RHEA:29043	Sulfitobacter mediterraneus	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A064CC30	RHEA:29043	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A066TV00	RHEA:29043	Amycolatopsis rifamycinica	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
A0A068NIX6	RHEA:29043	Fimbriimonas ginsengisoli Gsoil 348	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
