Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
A0A085GIC9	unreviewed	Buttiauxella agrestis ATCC 33320	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A085GPM7	unreviewed	Ewingella americana (strain ATCC 33852 / DSM 4580 / CCUG 14506 / JCM 5911 / LMG 7869 / NCTC 12157 / CDC 1468-78)	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A085J984	unreviewed	Tatumella ptyseos ATCC 33301	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A090ZLQ6	unreviewed	Paenibacillus macerans (Bacillus macerans)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A091BYF3	unreviewed	Tetragenococcus muriaticus 3MR10-3	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A0A6XYX4	unreviewed	Heyndrickxia ginsengihumi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0C1U0J8	unreviewed	Clostridium argentinense CDC 2741	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0H2V4Z9	unreviewed	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0H2VB02	unreviewed	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0H3F574	unreviewed	Rahnella sp. (strain Y9602)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0J9EDC9	unreviewed	Candidatus Rhodobacter oscarellae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0K8P4D9	unreviewed	Piscinibacter sakaiensis (Ideonella sakaiensis)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0L0MIJ3	unreviewed	Candidatus Burkholderia verschuerenii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0T9N1V9	unreviewed	Yersinia intermedia	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A157PGJ5	unreviewed	Bordetella trematum	Malate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A157S7A4	unreviewed	Bordetella ansorpii	Malate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A157SKJ7	unreviewed	Bordetella ansorpii	Malate/L-lactate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A1B7IVI8	unreviewed	Buttiauxella brennerae ATCC 51605	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A1R4GBC0	unreviewed	Agrococcus casei LMG 22410	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A1S2LHV8	unreviewed	Anaerobacillus isosaccharinicus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A1X6WQS9	unreviewed	Vagococcus fluvialis bH819	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
