Entry	Rhea ID	Organism	Protein names
A0A140N5J7	RHEA:11500	Escherichia coli (strain B / BL21-DE3)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase)
A0PVU7	RHEA:14341 RHEA:10524 RHEA:12188 RHEA:15213	Mycobacterium ulcerans (strain Agy99)	Multifunctional 2-oxoglutarate metabolism enzyme (2-hydroxy-3-oxoadipate synthase) (HOA synthase) (HOAS) (EC 2.2.1.5) (2-oxoglutarate carboxy-lyase) (2-oxoglutarate decarboxylase) (Alpha-ketoglutarate decarboxylase) (KG decarboxylase) (KGD) (EC 4.1.1.71) (Alpha-ketoglutarate-glyoxylate carboligase) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]
A0R2B1	RHEA:14341 RHEA:10524 RHEA:12188 RHEA:15213	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	Multifunctional 2-oxoglutarate metabolism enzyme (2-hydroxy-3-oxoadipate synthase) (HOA synthase) (HOAS) (EC 2.2.1.5) (2-oxoglutarate carboxy-lyase) (2-oxoglutarate decarboxylase) (Alpha-ketoglutarate decarboxylase) (KG decarboxylase) (KGD) (EC 4.1.1.71) (Alpha-ketoglutarate-glyoxylate carboligase) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]
A1KI36	RHEA:14341 RHEA:10524 RHEA:12188 RHEA:15213	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	Multifunctional 2-oxoglutarate metabolism enzyme (2-hydroxy-3-oxoadipate synthase) (HOA synthase) (HOAS) (EC 2.2.1.5) (2-oxoglutarate carboxy-lyase) (2-oxoglutarate decarboxylase) (Alpha-ketoglutarate decarboxylase) (KG decarboxylase) (KGD) (EC 4.1.1.71) (Alpha-ketoglutarate-glyoxylate carboligase) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]
A1TDK2	RHEA:14341 RHEA:10524 RHEA:12188 RHEA:15213	Mycolicibacterium vanbaalenii (strain DSM 7251 / JCM 13017 / BCRC 16820 / KCTC 9966 / NRRL B-24157 / PYR-1) (Mycobacterium vanbaalenii)	Multifunctional 2-oxoglutarate metabolism enzyme (2-hydroxy-3-oxoadipate synthase) (HOA synthase) (HOAS) (EC 2.2.1.5) (2-oxoglutarate carboxy-lyase) (2-oxoglutarate decarboxylase) (Alpha-ketoglutarate decarboxylase) (KG decarboxylase) (KGD) (EC 4.1.1.71) (Alpha-ketoglutarate-glyoxylate carboligase) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]
A1UK81	RHEA:14341 RHEA:10524 RHEA:12188 RHEA:15213	Mycobacterium sp. (strain KMS)	Multifunctional 2-oxoglutarate metabolism enzyme (2-hydroxy-3-oxoadipate synthase) (HOA synthase) (HOAS) (EC 2.2.1.5) (2-oxoglutarate carboxy-lyase) (2-oxoglutarate decarboxylase) (Alpha-ketoglutarate decarboxylase) (KG decarboxylase) (KGD) (EC 4.1.1.71) (Alpha-ketoglutarate-glyoxylate carboligase) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]
A3MTR6	RHEA:11816 RHEA:12356	Pyrobaculum calidifontis (strain DSM 21063 / JCM 11548 / VA1)	Bifunctional phosphoglucose/phosphomannose isomerase (Bifunctional PGI/PMI) (EC 5.3.1.8) (EC 5.3.1.9) (Glucose-6-phosphate isomerase) (GPI) (Mannose-6-phosphate isomerase)
A3Q3N5	RHEA:14341 RHEA:10524 RHEA:12188 RHEA:15213	Mycobacterium sp. (strain JLS)	Multifunctional 2-oxoglutarate metabolism enzyme (2-hydroxy-3-oxoadipate synthase) (HOA synthase) (HOAS) (EC 2.2.1.5) (2-oxoglutarate carboxy-lyase) (2-oxoglutarate decarboxylase) (Alpha-ketoglutarate decarboxylase) (KG decarboxylase) (KGD) (EC 4.1.1.71) (Alpha-ketoglutarate-glyoxylate carboligase) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]
A5U1U6	RHEA:14341 RHEA:10524 RHEA:12188 RHEA:15213	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	Multifunctional 2-oxoglutarate metabolism enzyme (2-hydroxy-3-oxoadipate synthase) (HOA synthase) (HOAS) (EC 2.2.1.5) (2-oxoglutarate carboxy-lyase) (2-oxoglutarate decarboxylase) (Alpha-ketoglutarate decarboxylase) (KG decarboxylase) (KGD) (EC 4.1.1.71) (Alpha-ketoglutarate-glyoxylate carboligase) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]
K7WQ45	RHEA:55520 RHEA:11328 RHEA:64572 RHEA:64580	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Nerylneryl diphosphate synthase CPT2, chloroplastic (EC 2.5.1.142) (Cis-prenyltransferase 2) (SlCPT2)
P06744	RHEA:11816 RHEA:16249 RHEA:85579 RHEA:85583 RHEA:85575	Homo sapiens (Human)	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (EC 5.1.3.-) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)
P06745	RHEA:11816 RHEA:16249 RHEA:85579 RHEA:85583 RHEA:85575	Mus musculus (Mouse)	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (EC 5.1.3.-) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
P08059	RHEA:11816 RHEA:16249 RHEA:85579 RHEA:85583 RHEA:85575	Sus scrofa (Pig)	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (EC 5.1.3.-) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
P0A6L0	RHEA:12821	Escherichia coli (strain K12)	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)
P0A6T1	RHEA:11816	Escherichia coli (strain K12)	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
P0AEP7	RHEA:10136	Escherichia coli (strain K12)	Glyoxylate carboligase (EC 4.1.1.47) (Tartronate-semialdehyde synthase)
P11986	RHEA:10716	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Inositol-3-phosphate synthase (MIP synthase) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (IPS) (MI-1-P synthase)
P12709	RHEA:11816 RHEA:16249 RHEA:85579 RHEA:85583 RHEA:85575	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (EC 5.1.3.-) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
P30147	RHEA:11952	Escherichia coli (strain K12)	Hydroxypyruvate isomerase (EC 5.3.1.22) (Glyoxylate-induced protein)
P33644	RHEA:27642 RHEA:27646 RHEA:11852 RHEA:24408	Escherichia coli (strain K12)	Peptidoglycan editing factor PgeF (PG-editing factor) (EC 3.5.-.-) (Adenosine deaminase) (EC 3.5.4.4) (Polyphenol oxidase) (EC 1.10.3.-) (Proofreading amidase PgeF) (Purine nucleoside phosphorylase) (EC 2.4.2.1) (S-methyl-5'-thioadenosine phosphorylase) (EC 2.4.2.28)
P34795	RHEA:11816	Arabidopsis thaliana (Mouse-ear cress)	Glucose-6-phosphate isomerase, cytosolic (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
P42801	RHEA:10716	Arabidopsis thaliana (Mouse-ear cress)	Inositol-3-phosphate synthase isozyme 1 (AtIPS1) (MIP synthase 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase 1) (AtMIPS 1) (MI-1-P synthase 1)
P50309	RHEA:11816 RHEA:16249 RHEA:85579 RHEA:85583 RHEA:85575	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (EC 5.1.3.-) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
P50389	RHEA:11852 RHEA:19805 RHEA:36431	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (5'-methylthioadenosine phosphorylase I) (MTA phosphorylase I) (MTAPI) (EC 2.4.2.28)
